Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
161910.201       11506      154488  0.256E-01  0.997E+00
161922.201       22578      301864  0.492E-01  0.995E+00
161934.200       28718      450800  0.544E-01  0.994E+00
161946.200       35272      598552  0.105E+00  0.991E+00
161958.200       40189      750523  0.178E+00  0.989E+00
162010.200       46905      918582  0.343E+01  0.978E+00
162022.201       49373     1095541  0.203E+02  0.970E+00
162034.200       52068     1258708  0.615E+02  0.965E+00
162046.200       54592     1443923  0.718E+02  0.964E+00
162058.200       56507     1606392  0.718E+02  0.964E+00
162110.200       58798     1768771  0.344E+02  0.966E+00
162122.200       62856     1928517  0.780E+02  0.963E+00
162134.200       65001     2084182  0.694E+02  0.964E+00
162146.200       68010     2246506  0.781E+02  0.963E+00
162158.201       70358     2407777  0.767E+02  0.963E+00
162210.226       72360     2544000  0.180E+03  0.222E+01
162222.200       74996     2704924  0.815E+02  0.963E+00
162234.201       79619     2865339  0.848E+02  0.963E+00
162246.201       81899     3009716  0.781E+02  0.963E+00
162258.200       84289     3164286  0.621E+02  0.964E+00
162310.205       87110     3326000  0.816E+02  0.802E+00
162322.200       89599     3491640  0.815E+02  0.963E+00
162334.200       93299     3651278  0.781E+02  0.963E+00
162346.200       97351     3813941  0.814E+02  0.963E+00
162358.200      100831     3980460  0.814E+02  0.963E+00
162410.200      103745     4135723  0.803E+02  0.963E+00
162422.225      105941     4292000  0.209E+03  0.186E+01
162434.200      107988     4452685  0.103E+03  0.962E+00
162446.200      111706     4603386  0.848E+02  0.963E+00
162458.200      114445     4758094  0.815E+02  0.963E+00
162510.200      116634     4918635  0.598E+02  0.964E+00
162522.200      119211     5069937  0.815E+02  0.963E+00
162534.200      121817     5225240  0.815E+02  0.963E+00
162546.200      124278     5375463  0.815E+02  0.963E+00
162558.200      126755     5529750  0.937E+02  0.961E+00
162610.200      129777     5679657  0.937E+02  0.961E+00
162622.200      131896     5832924  0.937E+02  0.961E+00
162634.200      136236     5986602  0.807E+02  0.962E+00
162646.200      138783     6139861  0.937E+02  0.961E+00
162658.200      142522     6293683  0.100E+03  0.960E+00
162710.202      145067     6452000  0.783E+02  0.773E+00
162722.200      148618     6619496  0.622E+02  0.962E+00
162734.200      153620     6774904  0.782E+02  0.961E+00
162746.200      156210     6938345  0.100E+03  0.960E+00
162758.200      158581     7093186  0.100E+03  0.960E+00
162810.200      161825     7246402  0.111E+03  0.960E+00
162822.200      164359     7412813  0.973E+02  0.960E+00
162834.200      166626     7575611  0.973E+02  0.960E+00
162846.200      168520     7738814  0.699E+02  0.961E+00
162858.200      170494     7892840  0.808E+02  0.961E+00
