 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,     0.262466941521033E+00 ,    -0.186961485083683E+00 ,    -0.111430175530218E+00 , 
   0.49828 ,     0.610106880737649E+00 ,    -0.205728614864961E+00 ,     0.794467144200540E-01 , 
   0.52832 ,     0.603733907046844E+00 ,    -0.207920916051422E+00 ,     0.160288050235646E+00 , 
   0.55835 ,     0.309659154479731E+00 ,    -0.193827028276837E+00 ,     0.145432023216017E+00 , 
   0.58838 ,    -0.166120887624437E+00 ,    -0.164587936997937E+00 ,     0.601760556209436E-01 , 
   0.61841 ,    -0.701942842822921E+00 ,    -0.121671896408696E+00 ,    -0.656587688391001E-01 , 
   0.64843 ,    -0.118483510822179E+01 ,    -0.665632976322772E-01 ,    -0.203922892089597E+00 , 
   0.67846 ,    -0.153067640116593E+01 ,    -0.745639852873741E-03 ,    -0.332924001422065E+00 , 
   0.70848 ,    -0.169673011349346E+01 ,     0.740351637190485E-01 ,    -0.440046808222123E+00 , 
   0.73850 ,    -0.168482430086947E+01 ,     0.155330923844274E+00 ,    -0.521978996848541E+00 , 
   0.76852 ,    -0.153536457640242E+01 ,     0.239542118976504E+00 ,    -0.582841945806404E+00 , 
   0.79854 ,    -0.131412814419935E+01 ,     0.321647752711833E+00 ,    -0.630939342811986E+00 , 
   0.82855 ,    -0.109506043853426E+01 ,     0.395273659908026E+00 ,    -0.675060274398681E+00 , 
   0.85856 ,    -0.942861011259064E+00 ,     0.453185945776533E+00 ,    -0.721272455000940E+00 , 
   0.88857 ,    -0.898931084387839E+00 ,     0.488194691282226E+00 ,    -0.770932952117156E+00 , 
   0.91857 ,    -0.973346432748582E+00 ,     0.494345554344378E+00 ,    -0.820288891800790E+00 , 
   0.94858 ,    -0.114413329858380E+01 ,     0.468188350482633E+00 ,    -0.861628305478468E+00 , 
   0.97858 ,    -0.136356267399528E+01 ,     0.409863632617232E+00 ,    -0.885567974142544E+00 , 
   1.00857 ,    -0.156976039623061E+01 ,     0.323753970618453E+00 ,    -0.883813126752320E+00 , 
   1.03857 ,    -0.170093332238768E+01 ,     0.218507935768152E+00 ,    -0.851643819290089E+00 , 
   1.06856 ,    -0.170911394809264E+01 ,     0.106351541645728E+00 ,    -0.789484085088295E+00 , 
   1.09855 ,    -0.157057689133690E+01 ,     0.173377261108440E-02 ,    -0.703160322384719E+00 , 
   1.12853 ,    -0.129089747546349E+01 ,    -0.805164471821043E-01 ,    -0.602790206282769E+00 , 
   1.15851 ,    -0.903812023991160E+00 ,    -0.127241727464587E+00 ,    -0.500581411605320E+00 , 
   1.18849 ,    -0.464342315599837E+00 ,    -0.128882877271624E+00 ,    -0.408081703135431E+00 , 
   1.21846 ,    -0.377933602029578E-01 ,    -0.809559523139043E-01 ,    -0.333549674554571E+00 , 
   1.24843 ,     0.313000698519642E+00 ,     0.151754687715598E-01 ,    -0.280082477647944E+00 , 
   1.27840 ,     0.539559906019795E+00 ,     0.152369738833341E+00 ,    -0.244954705956464E+00 , 
   1.30836 ,     0.616443219226510E+00 ,     0.318611001776375E+00 ,    -0.220336425485026E+00 , 
   1.33832 ,     0.545157518784209E+00 ,     0.498597392243535E+00 ,    -0.195236035744312E+00 , 
   1.36827 ,     0.352745058395823E+00 ,     0.675749516070780E+00 ,    -0.158229719943840E+00 , 
   1.39822 ,     0.855914973440921E-01 ,     0.834311166055434E+00 ,    -0.100357903972078E+00 , 
   1.42817 ,    -0.200082618348352E+00 ,     0.961211351613234E+00 ,    -0.175300602388406E-01 , 
