 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,     0.304572051745610E+01 ,    -0.790530243265430E+00 ,    -0.952757560009918E+00 , 
   0.49828 ,     0.374400541005449E+01 ,    -0.814023958908894E+00 ,    -0.778378922052359E+00 , 
   0.52832 ,     0.376232948048565E+01 ,    -0.772066077416814E+00 ,    -0.589905096452409E+00 , 
   0.55835 ,     0.320288316607443E+01 ,    -0.687579485016794E+00 ,    -0.389535824070747E+00 , 
   0.58838 ,     0.224440837545130E+01 ,    -0.588438264302297E+00 ,    -0.182141865809385E+00 , 
   0.61841 ,     0.110165521210579E+01 ,    -0.501132039816366E+00 ,     0.239500240055677E-01 , 
   0.64843 ,    -0.164577625481583E-01 ,    -0.445218484246342E+00 ,     0.216932057061360E+00 , 
   0.67846 ,    -0.942316640624883E+00 ,    -0.429644058925446E+00 ,     0.382378384179152E+00 , 
   0.70848 ,    -0.157295079286866E+01 ,    -0.451583122028841E+00 ,     0.504932048556100E+00 , 
   0.73850 ,    -0.187829552101514E+01 ,    -0.497901961814937E+00 ,     0.570565225552861E+00 , 
   0.76852 ,    -0.189458479701321E+01 ,    -0.548810439767582E+00 ,     0.569020675970343E+00 , 
   0.79854 ,    -0.170591585603921E+01 ,    -0.582829648937230E+00 ,     0.495976783286900E+00 , 
   0.82855 ,    -0.141902123895401E+01 ,    -0.581963684448326E+00 ,     0.354503679203305E+00 , 
   0.85856 ,    -0.113710769870084E+01 ,    -0.535959823849292E+00 ,     0.155489960517875E+00 , 
   0.88857 ,    -0.938202260987388E+00 ,    -0.444767396024059E+00 ,    -0.831032113443014E-01 , 
   0.91857 ,    -0.861965026928605E+00 ,    -0.318708147727533E+00 ,    -0.338095948391670E+00 , 
   0.94858 ,    -0.906769440174675E+00 ,    -0.176362398108318E+00 ,    -0.583788769134324E+00 , 
   0.97858 ,    -0.103650877472989E+01 ,    -0.406525328740314E-01 ,    -0.795094374263814E+00 , 
   1.00857 ,    -0.119456106641703E+01 ,     0.660288628461958E-01 ,    -0.950615263706628E+00 , 
   1.03857 ,    -0.132103278275684E+01 ,     0.126616459754110E+00 ,    -0.103519455670256E+01 , 
   1.06856 ,    -0.136902744276021E+01 ,     0.133098580516708E+00 ,    -0.104156483038160E+01 , 
   1.09855 ,    -0.131626067478153E+01 ,     0.884120553483695E-01 ,    -0.970879658593483E+00 , 
   1.12853 ,    -0.116967797078808E+01 ,     0.613068453350580E-02 ,    -0.832102846871014E+00 , 
   1.15851 ,    -0.962486378917614E+00 ,    -0.919749062517176E-01 ,    -0.640414882542789E+00 , 
   1.18849 ,    -0.744778462651518E+00 ,    -0.180002232278459E+00 ,    -0.414941689955415E+00 , 
   1.21846 ,    -0.570319900704207E+00 ,    -0.232788997171998E+00 ,    -0.176193660712011E+00 , 
   1.24843 ,    -0.482808248835915E+00 ,    -0.230632584654058E+00 ,     0.563871219212995E-01 , 
   1.27840 ,    -0.504865132259165E+00 ,    -0.162950732549714E+00 ,     0.266432176596506E+00 , 
   1.30836 ,    -0.632249735947026E+00 ,    -0.302086749643024E-01 ,     0.441975362227722E+00 , 
   1.33832 ,    -0.834486477033117E+00 ,     0.156204782611734E+00 ,     0.576012519237773E+00 , 
   1.36827 ,    -0.106159601611419E+01 ,     0.376063008716223E+00 ,     0.666334516348069E+00 , 
   1.39822 ,    -0.125524865103949E+01 ,     0.603886642193547E+00 ,     0.714785208135943E+00 , 
   1.42817 ,    -0.136171961332600E+01 ,     0.813298980083694E+00 ,     0.726162075628614E+00 , 
   1.45811 ,    -0.134370588346466E+01 ,     0.981311126091247E+00 ,     0.706994574112096E+00 , 
   1.48805 ,    -0.118840862355876E+01 ,     0.109175502074778E+01 ,     0.664407700199445E+00 , 
   1.51798 ,    -0.910191318203820E+00 ,     0.113729113666485E+01 ,     0.605218662390528E+00 , 
   1.54791 ,    -0.547369558028952E+00 ,     0.111972672886634E+01 ,     0.535340126215345E+00 , 
   1.57783 ,    -0.153987110331213E+00 ,     0.104872257718662E+01 ,     0.459491989418090E+00 , 
   1.60775 ,     0.211502396745027E+00 ,     0.939270432913874E+00 ,     0.381169143535130E+00 , 
   1.63766 ,     0.498122337937759E+00 ,     0.808530706278887E+00 ,     0.302783096523913E+00 , 
   1.66757 ,     0.672269311833156E+00 ,     0.672694329683192E+00 ,     0.225891444604735E+00 , 
   1.69747 ,     0.723584469166692E+00 ,     0.544467714724849E+00 ,     0.151445528037898E+00 , 
   1.72737 ,     0.665712664932778E+00 ,     0.431598092927413E+00 ,     0.800137669294517E-01 , 
