   r (Ang),     Ge-Ge,     Ge-O ,     O-O  
   0.06545 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.13090 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.19635 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.26180 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.32725 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.39271 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.45816 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.52361 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.58906 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.65451 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.71996 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.78541 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.85086 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.91631 ,         0.000000000000000 ,         0.382921935778312 ,         0.000000000000000 , 
   0.98176 ,         0.000000000000000 ,         0.667171651156141 ,         0.000000000000000 , 
   1.04721 ,         0.000000000000000 ,         1.172815248794492 ,         0.000000000000000 , 
   1.11267 ,         0.000000000000000 ,         0.519466886645355 ,         0.000000000000000 , 
   1.17812 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   1.24357 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   1.30902 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   1.37447 ,         0.000000000000000 ,         0.680910874654350 ,         0.000000000000000 , 
   1.43992 ,         0.000000000000000 ,         1.395961066272562 ,         0.000000000000000 , 
   1.50537 ,         0.000000000000000 ,         3.831692156549369 ,         0.000000000000000 , 
   1.57082 ,         0.000000000000000 ,         3.910091052595262 ,         0.000000000000000 , 
   1.63627 ,         0.000000000000000 ,         4.204177579125836 ,         0.000000000000000 , 
   1.70172 ,         0.000000000000000 ,         4.553386898846431 ,         0.000000000000000 , 
   1.76718 ,         0.000000000000000 ,         4.531337736312743 ,         0.000000000000000 , 
   1.83263 ,         0.000000000000000 ,         3.734679273096860 ,         0.000000000000000 , 
   1.89808 ,         0.000000000000000 ,         1.696154858103735 ,         0.000000000000000 , 
   1.96353 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   2.02898 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   2.09443 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   2.15988 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   2.22533 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   2.29078 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   2.35623 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   2.42168 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   2.48714 ,         0.000000000000000 ,         0.000000000000000 ,         0.051994651444767 , 
   2.55259 ,         0.000000000000000 ,         0.049362587787562 ,         0.987251755751239 , 
   2.61804 ,         0.000000000000000 ,         0.469254369504905 ,         1.830092041069130 , 
   2.68349 ,         0.000000000000000 ,         1.473925811294807 ,         1.563254648342977 , 
   2.74894 ,         0.000000000000000 ,         1.149199938680710 ,         2.128148034593907 , 
   2.81439 ,         0.000000000000000 ,         1.218191871945155 ,         1.705468620723217 , 
   2.87984 ,         0.000000000000000 ,         1.318577915298779 ,         1.473704728863341 , 
   2.94529 ,         0.000000000000000 ,         1.483091749123687 ,         1.779710098948425 , 
