Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
135550.508       16552       41813  0.769E+00  0.412E+02
135602.509       25081       77190  0.364E+00  0.184E+02
135614.509       31471      113529  0.214E+00  0.938E+01
135626.508       35572      147957  0.158E+00  0.614E+01
135638.509       38643      181890  0.127E+00  0.457E+01
135650.508       40844      213036  0.111E+00  0.379E+01
135702.508       43472      249239  0.937E-01  0.301E+01
135714.508       45647      286468  0.814E-01  0.255E+01
135726.508       47703      326015  0.744E-01  0.221E+01
135738.508       48798      352893  0.713E-01  0.209E+01
135750.508       49835      379524  0.679E-01  0.199E+01
135802.508       50891      409690  0.650E-01  0.188E+01
135814.508       52183      446475  0.626E-01  0.180E+01
135826.508       53393      482987  0.606E-01  0.171E+01
135838.508       54459      516901  0.588E-01  0.165E+01
135850.508       55656      550072  0.560E-01  0.156E+01
135902.508       56960      583208  0.537E-01  0.148E+01
135914.508       58019      616200  0.526E-01  0.142E+01
135926.509       58777      637558  0.516E-01  0.138E+01
135938.516       59547      657927  0.500E-01  0.135E+01
135950.508       60497      685259  0.492E-01  0.132E+01
140002.508       61241      708228  0.484E-01  0.130E+01
140014.508       62070      732769  0.481E-01  0.129E+01
140026.508       62963      761313  0.458E-01  0.128E+01
140038.508       63922      790360  0.453E-01  0.126E+01
140050.508       64909      819381  0.441E-01  0.124E+01
140102.508       65901      848333  0.432E-01  0.121E+01
140114.508       66875      877379  0.411E-01  0.117E+01
140126.508       67777      906410  0.401E-01  0.114E+01
140138.508       68636      935477  0.392E-01  0.111E+01
140150.508       69600      964579  0.380E-01  0.108E+01
140202.508       70455      993394  0.373E-01  0.106E+01
140214.508       71475     1026329  0.356E-01  0.104E+01
140226.508       72536     1064210  0.350E-01  0.101E+01
140238.508       73263     1093977  0.345E-01  0.101E+01
140250.508       74019     1122017  0.335E-01  0.993E+00
140302.508       74935     1150397  0.325E-01  0.966E+00
140314.508       75774     1178265  0.324E-01  0.945E+00
140326.508       76659     1205856  0.315E-01  0.915E+00
140338.508       77473     1234206  0.308E-01  0.910E+00
