Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
143933.290        8067       15752  0.192E+01  0.109E+03
143945.290       13870       28641  0.109E+01  0.589E+02
143957.297       18432       39118  0.686E+00  0.368E+02
144009.289       22972       50386  0.434E+00  0.228E+02
144021.289       27980       63161  0.265E+00  0.126E+02
144033.290       32322       75177  0.177E+00  0.732E+01
144045.298       36694       88667  0.118E+00  0.408E+01
144057.289       41172      104870  0.793E-01  0.226E+01
144109.293       44332      119436  0.587E-01  0.150E+01
144121.290       47902      137628  0.433E-01  0.977E+00
144133.291       50188      151905  0.364E-01  0.755E+00
144145.301       51761      164039  0.326E-01  0.646E+00
144157.291       53119      177102  0.293E-01  0.575E+00
144209.289       54589      190588  0.263E-01  0.517E+00
144221.289       55965      204807  0.253E-01  0.455E+00
144233.290       57552      223464  0.245E-01  0.403E+00
144245.315       58715      239813  0.239E-01  0.374E+00
144257.289       59950      257529  0.236E-01  0.346E+00
144309.290       61028      276625  0.231E-01  0.329E+00
144321.290       61996      294795  0.226E-01  0.318E+00
144333.290       62752      311234  0.220E-01  0.312E+00
144345.330       63473      326887  0.228E-01  0.302E+00
144357.289       64156      342962  0.222E-01  0.298E+00
144409.290       64790      358180  0.231E-01  0.290E+00
144421.292       65624      377786  0.225E-01  0.286E+00
144433.290       66372      395948  0.227E-01  0.281E+00
144445.364       66821      409417  0.216E-01  0.285E+00
144457.289       67315      423570  0.217E-01  0.282E+00
144509.290       68003      440924  0.227E-01  0.274E+00
144521.293       68589      455603  0.233E-01  0.270E+00
144533.290       68965      465885  0.233E-01  0.268E+00
144545.300       69275      472548  0.228E-01  0.270E+00
144557.299       69629      483151  0.225E-01  0.269E+00
144609.289       70052      495666  0.229E-01  0.267E+00
144621.289       70626      512055  0.224E-01  0.267E+00
144633.290       71136      525831  0.226E-01  0.265E+00
144645.294       71581      538205  0.228E-01  0.264E+00
144657.289       72211      554835  0.231E-01  0.261E+00
144709.289       72774      570033  0.232E-01  0.260E+00
144721.290       73451      584945  0.230E-01  0.259E+00
144733.297       73921      601062  0.223E-01  0.260E+00
144745.289       74348      615194  0.223E-01  0.259E+00
144757.311       74770      629314  0.226E-01  0.258E+00
144809.290       75156      642015  0.227E-01  0.257E+00
144821.290       75641      656424  0.231E-01  0.255E+00
144833.289       76239      672266  0.226E-01  0.256E+00
144845.290       76794      689602  0.229E-01  0.253E+00
144857.290       77333      703321  0.239E-01  0.250E+00
144909.290       77790      719484  0.232E-01  0.251E+00
144921.300       78276      735208  0.231E-01  0.251E+00
