 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.225008310844413E+01 ,     0.208621466163888E+00 ,    -0.952141853585673E+00 , 
   0.49828 ,    -0.242836931688218E+01 ,     0.840667280834724E-01 ,    -0.983838197067482E+00 , 
   0.52832 ,    -0.258710999952220E+01 ,    -0.262178345784628E-01 ,    -0.101543772069467E+01 , 
   0.55835 ,    -0.272430823943449E+01 ,    -0.122075733381184E+00 ,    -0.104660804143609E+01 , 
   0.58839 ,    -0.283847625207565E+01 ,    -0.203801553001929E+00 ,    -0.107694910862625E+01 , 
   0.61842 ,    -0.292862724230335E+01 ,    -0.272058170768556E+00 ,    -0.110598018505044E+01 , 
   0.64846 ,    -0.299425349847961E+01 ,    -0.327781448489376E+00 ,    -0.113313071451799E+01 , 
   0.67849 ,    -0.303529284151562E+01 ,    -0.372078526973917E+00 ,    -0.115773643672529E+01 , 
   0.70853 ,    -0.305208586846248E+01 ,    -0.406126036786139E+00 ,    -0.117904187551512E+01 , 
   0.73856 ,    -0.304532661653202E+01 ,    -0.431074359746849E+00 ,    -0.119620999998992E+01 , 
   0.76860 ,    -0.301600932228334E+01 ,    -0.447963548902281E+00 ,    -0.120833945577958E+01 , 
   0.79863 ,    -0.296537386735460E+01 ,    -0.457655674038595E+00 ,    -0.121448930796933E+01 , 
   0.82867 ,    -0.289485229840136E+01 ,    -0.460787256772723E+00 ,    -0.121371075383846E+01 , 
   0.85870 ,    -0.280601850239715E+01 ,    -0.457744159672059E+00 ,    -0.120508478142549E+01 , 
   0.88874 ,    -0.270054273128534E+01 ,    -0.448659874258278E+00 ,    -0.118776429879920E+01 , 
   0.91878 ,    -0.258015222742767E+01 ,    -0.433436695858569E+00 ,    -0.116101886775712E+01 , 
   0.94881 ,    -0.244659873030544E+01 ,    -0.411787863283742E+00 ,    -0.112427987088203E+01 , 
   0.97885 ,    -0.230163317252138E+01 ,    -0.383297459127591E+00 ,    -0.107718374459540E+01 , 
   1.00888 ,    -0.214698742495517E+01 ,    -0.347493785100729E+00 ,    -0.101961083948299E+01 , 
   1.03892 ,    -0.198436254982323E+01 ,    -0.303931107258937E+00 ,    -0.951717532331526E+00 , 
   1.06895 ,    -0.181542268537163E+01 ,    -0.252274153914098E+00 ,    -0.873959414027060E+00 , 
   1.09899 ,    -0.164179343121048E+01 ,    -0.192379572213175E+00 ,    -0.787103707868828E+00 , 
   1.12902 ,    -0.146506343777627E+01 ,    -0.124368716296751E+00 ,    -0.692229520362320E+00 , 
   1.15906 ,    -0.128678783042565E+01 ,    -0.486866393778122E-01 ,    -0.590715070478520E+00 , 
   1.18909 ,    -0.110849211610899E+01 ,     0.338570361329155E-01 ,    -0.484211656939885E+00 , 
   1.21913 ,    -0.931675321299731E+00 ,     0.122068639421103E+00 ,    -0.374604774902000E+00 , 
   1.24916 ,    -0.757811282373045E+00 ,     0.214374381450611E+00 ,    -0.263963449081550E+00 , 
   1.27920 ,    -0.588347239012444E+00 ,     0.308848341159581E+00 ,    -0.154479474533509E+00 , 
   1.30923 ,    -0.424699150190545E+00 ,     0.403263739907928E+00 ,    -0.483988144512296E-01 , 
   1.33927 ,    -0.268243442328791E+00 ,     0.495165360313644E+00 ,     0.520521349868129E-01 , 
   1.36930 ,    -0.120305191861295E+00 ,     0.581959706094633E+00 ,     0.144742366374708E+00 , 
   1.39934 ,     0.178569778530080E-01 ,     0.661018427919135E+00 ,     0.227710931591515E+00 , 
