Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
194742.720     2148512     2508108
194754.718     4021492     4692947
194806.718     5764430     6728270
194818.718     7537791     8797990
194830.718     9313932    10871664
194842.718    11092866    12943165
194854.718    12868751    15010505
194906.718    14712767    17160837
194918.718    16509682    19255295
194930.718    18252622    21289062
194942.718    20109399    23458186
194954.718    21944588    25602558
195006.718    23818711    27790434
195018.718    25601763    29873202
195030.718    27422326    31994766
195042.718    29156482    34021162
195054.718    30941794    36103679
003801.888    32602496    38041380
003813.888    34638981    40416234
003825.888    36458353    42537358
003837.888    38258163    44637591
003849.888    40059269    46742524
003901.888    41852805    48834535
003913.888    43659025    50942585
003925.888    45467832    53050568
003937.888    47260778    55140197
003949.888    49067305    57248588
004001.890    50868143    59349645
004013.888    52674031    61457104
004025.888    54471486    63554292
004037.890    56281385    65665516
004049.888    58098516    67790123
004101.888    59907077    69896935
004113.890    61722528    72015118
004125.888    63540218    74133602
004137.888    65328432    76219933
004149.890    67134511    78326364
004201.888    68940114    80435442
004213.888    70749541    82543342
004225.888    72544321    84636843
004237.888    74365967    86764371
004249.888    76176395    88877851
004301.888    77980503    90985070
004313.888    79778002    93083605
004325.888    81600370    95211779
004337.888    83432706    97352416
004349.888    85248589    99473214
004401.888    87055976   101586268
004413.888    88879519   103711193
004425.888    90701228   105833862
