 Results from RMCProfile version 6.7.9.5

 (Version 6f format configuration file)                                          

 0 experiments   1 partials

 Partial g(r)'s are printed out below

   128  1 are NR and NPAR

   r (Ang)
   0.06545   249.51191
   0.13090     0.00000
   0.19635     0.00000
   0.26180     0.00000
   0.32725     0.00000
   0.39271     7.49112
   0.45816     5.50705
   0.52361     0.00000
   0.58906     3.33366
   0.65451     0.00000
   0.71996     0.00000
   0.78541     1.87603
   0.85086     0.00000
   0.91631     2.75704
   0.98176     1.20091
   1.04721     0.00000
   1.11267     0.00000
   1.17812     0.00000
   1.24357     0.00000
   1.30902     0.67562
   1.37447     1.22564
   1.43992     0.00000
   1.50537     1.02178
   1.57082     0.93842
   1.63627     0.86486
   1.70172     0.00000
   1.76718     1.11224
   1.83263     1.37896
   1.89808     0.32138
   1.96353     0.60062
   2.02898     0.28125
   2.09443     0.79184
   2.15988     0.24819
   2.22533     0.46762
   2.29078     0.44128
   2.35623     0.20855
   2.42168     0.39487
   2.48714     0.74872
   2.55259     0.17771
   2.61804     0.33786
   2.68349     0.64317
   2.74894     0.61291
   2.81439     0.58473
   2.87984     0.55846
   2.94529     0.66739
   3.01074     7.15334
   3.07619     2.93665
   3.14164     3.98873
   3.20710     3.94016
   3.27255     2.81107
   3.33800     3.74112
   3.40345     4.39831
   3.46890     7.21689
   3.53435     1.11233
   3.59980     0.89354
   3.66525     0.60334
   3.73070     0.83194
   3.79615     0.64280
   3.86161     0.69885
   3.92706     0.97608
   3.99251     0.72641
   4.05796     0.70317
   4.12341     0.68103
   4.18886     0.72590
   4.25431     0.95964
   4.31976     0.93078
   4.38521     1.02363
   4.45066     0.52610
   4.51611     0.56774
   4.58157     1.21359
   4.64702     1.01879
   4.71247     0.99068
   4.77792     0.81156
   4.84337     0.98722
   4.90882     1.20134
   4.97427     0.98274
   5.03972     1.36769
   5.10517     1.37727
   5.17062     1.42925
   5.23607     1.09810
   5.30153     1.23594
   5.36698     1.04519
   5.43243     1.05939
   5.49788     1.18755
   5.56333     1.34683
   5.62878     1.16950
   5.69423     1.21420
   5.75968     1.04714
   5.82513     1.26261
   5.89058     1.20134
   5.95604     1.20772
   6.02149     1.11774
   6.08694     1.06258
   6.15239     1.22364
   6.21784     1.10816
   6.28329     1.31983
   6.34874     1.23531
   6.41419     0.98507
   6.47964     1.02042
   6.54509     1.08121
   6.61054     0.84792
   6.67600     1.11717
   6.74145     0.94271
   6.80690     0.92467
   6.87235     0.85810
   6.93780     0.84199
   7.00325     0.80272
   7.06870     0.90379
   7.13415     0.75078
   7.19960     0.73719
   7.26505     0.83366
   7.33050     0.68955
   7.39596     0.91025
   7.46141     0.64477
   7.52686     0.94018
   7.59231     1.04457
   7.65776     0.88857
   7.72321     0.97064
   7.78866     1.18345
   7.85411     0.73207
   7.91956     0.94157
   7.98501     1.03516
   8.05046     1.14346
   8.11592     0.87898
   8.18137     0.89957
   8.24682     0.83427
   8.31227     0.88822
   8.37772     0.92389
