Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
182424.297        4404       13484  0.296E-01  0.954E+00
182436.297        5920       25282  0.262E-01  0.784E+00
182448.297        6842       35748  0.248E-01  0.725E+00
182500.309        7898       47914  0.235E-01  0.675E+00
182512.298        8587       57169  0.229E-01  0.646E+00
182524.299        9097       64603  0.226E-01  0.637E+00
182536.298        9827       75101  0.221E-01  0.623E+00
182548.319       10347       83804  0.219E-01  0.614E+00
182600.298       11076       93828  0.216E-01  0.611E+00
182612.342       11709      103729  0.211E-01  0.609E+00
182624.309       12535      114529  0.207E-01  0.606E+00
182636.297       13243      125154  0.205E-01  0.602E+00
182648.336       14114      138810  0.201E-01  0.600E+00
182700.303       14958      152120  0.197E-01  0.599E+00
182712.297       15919      167437  0.192E-01  0.594E+00
182724.297       16900      183614  0.190E-01  0.588E+00
182736.307       18109      201033  0.187E-01  0.588E+00
182748.335       19129      217413  0.184E-01  0.586E+00
182800.317       20061      231812  0.181E-01  0.586E+00
182812.305       21076      246919  0.179E-01  0.584E+00
182824.302       22113      264143  0.177E-01  0.582E+00
182836.297       23145      280412  0.175E-01  0.582E+00
182848.304       24353      300029  0.174E-01  0.580E+00
182900.298       25177      313495  0.172E-01  0.582E+00
182912.298       26134      328888  0.169E-01  0.579E+00
182924.300       27201      344257  0.169E-01  0.577E+00
182936.297       28184      359021  0.167E-01  0.574E+00
182948.328       28985      371938  0.164E-01  0.577E+00
183000.348       29987      386807  0.163E-01  0.573E+00
183012.297       31101      402718  0.161E-01  0.573E+00
183024.305       31882      415093  0.159E-01  0.572E+00
183036.297       33090      432503  0.156E-01  0.574E+00
183048.297       34072      447029  0.153E-01  0.578E+00
183100.356       35048      462222  0.151E-01  0.580E+00
183112.297       35937      476349  0.151E-01  0.578E+00
183124.297       36907      491385  0.149E-01  0.575E+00
183136.329       37999      507915  0.148E-01  0.577E+00
183148.299       39169      525248  0.147E-01  0.578E+00
183200.297       40305      542999  0.145E-01  0.576E+00
183212.301       41348      558585  0.143E-01  0.583E+00
183224.302       42434      575617  0.142E-01  0.581E+00
183236.323       43516      592000  0.136E-01  0.532E+00
183248.297       44635      608197  0.141E-01  0.577E+00
183300.317       45780      624774  0.141E-01  0.574E+00
183312.297       46949      641916  0.141E-01  0.570E+00
183324.297       47938      657341  0.138E-01  0.574E+00
183336.370       48984      673019  0.137E-01  0.574E+00
183348.304       50140      690180  0.137E-01  0.574E+00
183400.303       51232      706932  0.136E-01  0.576E+00
183412.297       51802      715664  0.136E-01  0.572E+00
183424.297       52842      731098  0.134E-01  0.579E+00
183436.297       53955      748022  0.135E-01  0.576E+00
183448.299       54930      763198  0.132E-01  0.579E+00
183500.300       55906      779338  0.134E-01  0.573E+00
183512.297       56734      791358  0.134E-01  0.571E+00
183524.309       57635      805327  0.133E-01  0.571E+00
183536.297       58591      820333  0.132E-01  0.574E+00
183548.298       59652      836190  0.130E-01  0.577E+00
183600.297       60765      852781  0.132E-01  0.568E+00
183612.298       61707      866406  0.131E-01  0.566E+00
183624.301       62810      881810  0.127E-01  0.575E+00
183636.298       63783      895528  0.127E-01  0.571E+00
183648.297       64814      910246  0.126E-01  0.572E+00
183700.297       65838      924765  0.125E-01  0.574E+00
183712.305       66842      939907  0.123E-01  0.575E+00
183724.297       67904      955236  0.124E-01  0.574E+00
183736.297       68894      969679  0.123E-01  0.576E+00
183748.302       70085      986644  0.121E-01  0.576E+00
183800.297       71274     1003473  0.119E-01  0.581E+00
183812.297       72165     1017593  0.119E-01  0.578E+00
183824.297       73172     1032020  0.119E-01  0.577E+00
183836.297       74228     1047655  0.119E-01  0.575E+00
183848.298       75126     1060218  0.119E-01  0.578E+00
183900.320       76143     1076003  0.120E-01  0.575E+00
183912.378       77038     1089568  0.118E-01  0.576E+00
183924.297       78054     1105359  0.122E-01  0.564E+00
183936.300       78996     1120013  0.122E-01  0.562E+00
183948.297       80030     1134322  0.120E-01  0.565E+00
184000.297       81054     1150565  0.119E-01  0.564E+00
184012.297       82046     1166166  0.118E-01  0.564E+00
184024.297       83239     1182113  0.117E-01  0.567E+00
184036.298       84355     1199610  0.121E-01  0.553E+00
184048.298       85533     1216493  0.121E-01  0.551E+00
184100.297       86542     1232242  0.122E-01  0.546E+00
184112.300       87519     1248521  0.123E-01  0.543E+00
184124.297       88600     1265232  0.124E-01  0.541E+00
184136.298       89539     1279093  0.122E-01  0.545E+00
184148.301       90595     1296528  0.124E-01  0.537E+00
184200.298       91551     1311548  0.126E-01  0.535E+00
184212.298       92686     1327329  0.123E-01  0.536E+00
184224.297       93856     1344550  0.119E-01  0.549E+00
184236.331       94908     1359255  0.117E-01  0.555E+00
184248.298       95975     1374014  0.115E-01  0.558E+00
184300.304       96947     1388015  0.116E-01  0.557E+00
184312.297       97779     1399890  0.113E-01  0.561E+00
184324.297       98904     1415797  0.112E-01  0.564E+00
184336.297       99949     1430668  0.111E-01  0.568E+00
184348.301      100960     1443882  0.109E-01  0.571E+00
184400.297      102225     1461161  0.108E-01  0.576E+00
184412.297      103350     1475451  0.107E-01  0.575E+00
184424.297      104599     1492679  0.107E-01  0.576E+00
184436.297      105728     1509012  0.105E-01  0.583E+00
184448.297      106596     1521361  0.105E-01  0.580E+00
184500.297      107718     1536748  0.104E-01  0.585E+00
184512.297      108767     1552158  0.105E-01  0.577E+00
184524.297      109802     1567154  0.107E-01  0.572E+00
184536.304      110822     1583082  0.106E-01  0.575E+00
184548.298      111723     1596252  0.105E-01  0.578E+00
184600.297      112897     1613045  0.105E-01  0.575E+00
184612.300      113967     1628775  0.103E-01  0.577E+00
184624.298      115098     1645523  0.103E-01  0.579E+00
191501.927      116118     1659765  0.101E-01  0.583E+00
191511.309      117159     1674414  0.102E-01  0.583E+00
191523.309      118181     1689515  0.102E-01  0.582E+00
191535.344      119044     1701096  0.104E-01  0.576E+00
191547.368      119886     1714093  0.103E-01  0.578E+00
191559.335      120496     1722513  0.102E-01  0.582E+00
191611.309      121500     1736164  0.101E-01  0.583E+00
191623.363      122330     1747712  0.100E-01  0.586E+00
191635.401      123143     1759150  0.103E-01  0.576E+00
191647.321      123789     1768257  0.104E-01  0.573E+00
191659.319      124696     1780781  0.103E-01  0.577E+00
191711.310      125360     1789869  0.104E-01  0.574E+00
191723.340      126102     1799848  0.104E-01  0.573E+00
191735.310      126901     1811509  0.103E-01  0.578E+00
191747.309      127992     1825545  0.101E-01  0.580E+00
191759.309      128976     1838590  0.102E-01  0.577E+00
191811.334      130085     1853708  0.103E-01  0.573E+00
191823.318      130977     1865590  0.102E-01  0.577E+00
191835.318      131819     1876528  0.102E-01  0.577E+00
191847.309      132636     1887935  0.100E-01  0.579E+00
191859.309      133463     1898275  0.100E-01  0.580E+00
191911.310      134602     1913474  0.100E-01  0.581E+00
191923.321      135427     1924952  0.990E-02  0.584E+00
191935.310      136342     1937427  0.981E-02  0.587E+00
191947.329      137266     1949722  0.962E-02  0.593E+00
191959.317      137868     1958004  0.961E-02  0.591E+00
192011.309      138556     1966585  0.970E-02  0.589E+00
192023.310      139158     1975478  0.954E-02  0.592E+00
192035.376      139977     1987197  0.950E-02  0.593E+00
192047.386      140545     1995152  0.957E-02  0.591E+00
192059.309      141429     2006528  0.957E-02  0.592E+00
192111.333      142001     2014408  0.955E-02  0.593E+00
192123.310      142533     2022885  0.956E-02  0.590E+00
192135.310      143349     2034219  0.956E-02  0.590E+00
192147.309      144218     2046835  0.963E-02  0.586E+00
192159.309      145435     2063106  0.957E-02  0.589E+00
192211.310      146312     2074104  0.949E-02  0.594E+00
192223.309      147643     2092713  0.945E-02  0.593E+00
192235.309      149580     2118715  0.945E-02  0.592E+00
