 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.146534346801396E+01 ,     0.185712711540188E+01 ,     0.222518590652232E+01 , 
   0.49828 ,    -0.195044335416434E+01 ,     0.118953970754879E+01 ,     0.120645814673703E+01 , 
   0.52832 ,    -0.233017606770168E+01 ,     0.634136916479126E+00 ,     0.337885108610906E+00 , 
   0.55835 ,    -0.260603225999694E+01 ,     0.192183220872665E+00 ,    -0.376499380186524E+00 , 
   0.58839 ,    -0.278318482081850E+01 ,    -0.138930137548490E+00 ,    -0.937764242822866E+00 , 
   0.61842 ,    -0.287003546074126E+01 ,    -0.365320481442009E+00 ,    -0.135167833088846E+01 , 
   0.64846 ,    -0.287764262288388E+01 ,    -0.496126161193837E+00 ,    -0.162814844416632E+01 , 
   0.67849 ,    -0.281906122769363E+01 ,    -0.542922412490251E+00 ,    -0.178052915668008E+01 , 
   0.70853 ,    -0.270862797588869E+01 ,    -0.519070285027886E+00 ,    -0.182483980253526E+01 , 
   0.73856 ,    -0.256122744977504E+01 ,    -0.439030261666506E+00 ,    -0.177892660464207E+01 , 
   0.76860 ,    -0.239157402355689E+01 ,    -0.317672597695634E+00 ,    -0.166160872570252E+01 , 
   0.79863 ,    -0.221354266864462E+01 ,    -0.169615308164038E+00 ,    -0.149184600088182E+01 , 
   0.82867 ,    -0.203957825418757E+01 ,    -0.861821064742009E-02 ,    -0.128796338003285E+01 , 
   0.85870 ,    -0.188020810591411E+01 ,     0.152942348138215E+00 ,    -0.106696284935358E+01 , 
   0.88874 ,    -0.174367667155951E+01 ,     0.304498272515031E+00 ,    -0.843948072483081E+00 , 
   0.91878 ,    -0.163571447119465E+01 ,     0.437599790508823E+00 ,    -0.631680498883646E+00 , 
   0.94881 ,    -0.155944643947979E+01 ,     0.546102680150151E+00 ,    -0.440278580722470E+00 , 
   0.97885 ,    -0.151543766070076E+01 ,     0.626230754757652E+00 ,    -0.277064385969309E+00 , 
   1.00888 ,    -0.150186771633294E+01 ,     0.676517813822795E+00 ,    -0.146554663486334E+00 , 
   1.03892 ,    -0.151481874382458E+01 ,     0.697638928462321E+00 ,    -0.505866561382689E-01 , 
   1.06895 ,    -0.154865713755744E+01 ,     0.692145888046458E+00 ,     0.114370139928390E-01 , 
   1.09899 ,    -0.159648484573839E+01 ,     0.664125664680792E+00 ,     0.422049827714479E-01 , 
   1.12902 ,    -0.165063360033111E+01 ,     0.618803684973877E+00 ,     0.460795597620935E-01 , 
   1.15906 ,    -0.170317425651766E+01 ,     0.562115424593851E+00 ,     0.286314508713866E-01 , 
   1.18909 ,    -0.174641373114941E+01 ,     0.500270315493606E+00 ,    -0.384585883732379E-02 , 
   1.21913 ,    -0.177335375669683E+01 ,     0.439331198280088E+00 ,    -0.448153124668798E-01 , 
   1.24916 ,    -0.177808867663072E+01 ,     0.384830645064644E+00 ,    -0.879442700521933E-01 , 
   1.27920 ,    -0.175612360463599E+01 ,     0.341442559494693E+00 ,    -0.127499591657584E+00 , 
   1.30923 ,    -0.170459920639986E+01 ,     0.312723716256150E+00 ,    -0.158672217681351E+00 , 
   1.33927 ,    -0.162241485417380E+01 ,     0.300935554412361E+00 ,    -0.177818452956423E+00 , 
   1.36930 ,    -0.151024764450878E+01 ,     0.306951833739885E+00 ,    -0.182610396244332E+00 , 
   1.39934 ,    -0.137047044727461E+01 ,     0.330252957445839E+00 ,    -0.172093328620122E+00 , 
   1.42937 ,    -0.120697746986467E+01 ,     0.369003111820289E+00 ,    -0.146653092609283E+00 , 
   1.45941 ,    -0.102493050238497E+01 ,     0.420202110666550E+00 ,    -0.107901287572576E+00 , 
   1.48944 ,    -0.830442826954435E+00 ,     0.479900168676060E+00 ,    -0.584902375641933E-01 , 
   1.51948 ,    -0.630220548935438E+00 ,     0.543460933817717E+00 ,    -0.187296214783815E-02 , 
   1.54951 ,    -0.431182722743508E+00 ,     0.605856108670337E+00 ,     0.579743416595498E-01 , 
   1.57955 ,    -0.240082048230234E+00 ,     0.661973957510432E+00 ,     0.116848597975182E+00 , 
   1.60958 ,    -0.631471205955120E-01 ,     0.706923949366161E+00 ,     0.170616119611400E+00 , 
