 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.236235891134814E+01 ,     0.428276706710859E+00 ,     0.239116370490274E+00 , 
   0.49828 ,    -0.242770891120179E+01 ,     0.310669674268352E+00 ,     0.847517663642286E-03 , 
   0.52832 ,    -0.245228912666913E+01 ,     0.233521012542116E+00 ,    -0.177212011693865E+00 , 
   0.55835 ,    -0.243878770964325E+01 ,     0.195880761486643E+00 ,    -0.296500696684001E+00 , 
   0.58839 ,    -0.239131664813220E+01 ,     0.195382687091606E+00 ,    -0.360617482343219E+00 , 
   0.61842 ,    -0.231514838554375E+01 ,     0.228403801804367E+00 ,    -0.375057046070539E+00 , 
   0.64846 ,    -0.221640691704839E+01 ,     0.290270425508131E+00 ,    -0.346874562976862E+00 , 
   0.67849 ,    -0.210173011268069E+01 ,     0.375500408975855E+00 ,    -0.284297338961644E+00 , 
   0.70853 ,    -0.197792108021874E+01 ,     0.478069793246097E+00 ,    -0.196302649728522E+00 , 
   0.73856 ,    -0.185160649917694E+01 ,     0.591691399027472E+00 ,    -0.921821301352982E-01 , 
   0.76860 ,    -0.172891903924849E+01 ,     0.710092654994543E+00 ,     0.188869278277486E-01 , 
   0.79863 ,    -0.161521928076516E+01 ,     0.827280378776368E+00 ,     0.128243968148868E+00 , 
   0.82867 ,    -0.151487008575944E+01 ,     0.937781187455268E+00 ,     0.228103716625668E+00 , 
   0.85870 ,    -0.143107327042448E+01 ,     0.103684767725826E+01 ,     0.311855995414743E+00 , 
   0.88874 ,    -0.136577487917059E+01 ,     0.112062239380678E+01 ,     0.374295220580130E+00 , 
   0.91878 ,    -0.131964155476313E+01 ,     0.118625381535585E+01 ,     0.411771761604342E+00 , 
   0.94881 ,    -0.129210664661240E+01 ,     0.123196097929077E+01 ,     0.422261375910971E+00 , 
   0.97885 ,    -0.128148100788725E+01 ,     0.125704587675865E+01 ,     0.405353028757496E+00 , 
   1.00888 ,    -0.128512009749507E+01 ,     0.126185520035034E+01 ,     0.362159364647419E+00 , 
   1.03892 ,    -0.129963619843065E+01 ,     0.124769533852046E+01 ,     0.295157717723934E+00 , 
   1.06895 ,    -0.132114243130873E+01 ,     0.121670656152811E+01 ,     0.207972663833568E+00 , 
   1.09899 ,    -0.134551388397465E+01 ,     0.117170404598208E+01 ,     0.105113584118554E+00 , 
   1.12902 ,    -0.136865065393990E+01 ,     0.111599466688772E+01 ,    -0.831757660451763E-02 , 
   1.15906 ,    -0.138672792250594E+01 ,     0.105317929822351E+01 ,    -0.126932278639569E+00 , 
   1.18909 ,    -0.139641931379102E+01 ,     0.986950680694053E+00 ,    -0.245358950727259E+00 , 
   1.21913 ,    -0.139508166045410E+01 ,     0.920896738557267E+00 ,    -0.358528778921504E+00 , 
   1.24916 ,    -0.138089178366824E+01 ,     0.858318580755926E+00 ,    -0.461929870889126E+00 , 
   1.27920 ,    -0.135292884875512E+01 ,     0.802071351880217E+00 ,    -0.551818119197203E+00 , 
   1.30923 ,    -0.131119910744277E+01 ,     0.754434672100090E+00 ,    -0.625375784450431E+00 , 
   1.33927 ,    -0.125660319706450E+01 ,     0.717017704090881E+00 ,    -0.680811885269135E+00 , 
   1.36930 ,    -0.119084944729457E+01 ,     0.690702002133624E+00 ,    -0.717401747413595E+00 , 
   1.39934 ,    -0.111631966482621E+01 ,     0.675623333052399E+00 ,    -0.735466353532932E+00 , 
   1.42937 ,    -0.103589646178267E+01 ,     0.671191710385991E+00 ,    -0.736295276318433E+00 , 
   1.45941 ,    -0.952763226919683E+00 ,     0.676147047923141E+00 ,    -0.722019812031029E+00 , 
   1.48944 ,    -0.870189205649289E+00 ,     0.688646203304180E+00 ,    -0.695445319725151E+00 , 
   1.51948 ,    -0.791312790216926E+00 ,     0.706375820632772E+00 ,    -0.659853602557372E+00 , 
   1.54951 ,    -0.718936001482514E+00 ,     0.726684350425607E+00 ,    -0.618787362340443E+00 , 
   1.57955 ,    -0.655342287723598E+00 ,     0.746725964490532E+00 ,    -0.575829273742286E+00 , 
   1.60958 ,    -0.602148233576913E+00 ,     0.763608811104114E+00 ,    -0.534388054119233E+00 , 
   1.63962 ,    -0.560197660450255E+00 ,     0.774540170428601E+00 ,    -0.497503079271890E+00 , 
   1.66966 ,    -0.529504036210976E+00 ,     0.776961550153156E+00 ,    -0.467677678683208E+00 , 
   1.69969 ,    -0.509244247796626E+00 ,     0.768667567748262E+00 ,    -0.446749329894307E+00 , 
   1.72973 ,    -0.497803791281022E+00 ,     0.747903544208651E+00 ,    -0.435802678250688E+00 , 
   1.75976 ,    -0.492870470651701E+00 ,     0.713438018641199E+00 ,    -0.435128769854175E+00 , 
   1.78980 ,    -0.491570935378186E+00 ,     0.664607809483817E+00 ,    -0.444231245969377E+00 , 
   1.81983 ,    -0.490641980288301E+00 ,     0.601334718655508E+00 ,    -0.461877651430772E+00 , 
   1.84987 ,    -0.486626609754879E+00 ,     0.524114422052779E+00 ,    -0.486191596318087E+00 , 
   1.87990 ,    -0.476083533108389E+00 ,     0.433979440453520E+00 ,    -0.514779404047820E+00 , 
   1.90994 ,    -0.455798076617399E+00 ,     0.332439274068297E+00 ,    -0.544883184652262E+00 , 
   1.93997 ,    -0.422982498861596E+00 ,     0.221401757866352E+00 ,    -0.573551068724310E+00 , 
   1.97001 ,    -0.375454371766285E+00 ,     0.103080413145186E+00 ,    -0.597814675792229E+00 , 
   2.00004 ,    -0.311782992323909E+00 ,    -0.201069914878307E-01 ,    -0.614863790459115E+00 , 
   2.03008 ,    -0.231395639065743E+00 ,    -0.145643308714531E+00 ,    -0.622208669186857E+00 , 
   2.06011 ,    -0.134637772300936E+00 ,    -0.271015085198236E+00 ,    -0.617821359262231E+00 , 
   2.09015 ,    -0.227838649299335E-01 ,    -0.393809010533103E+00 ,    -0.600248811873915E+00 , 
   2.12018 ,     0.102001706744863E+00 ,    -0.511797540196264E+00 ,    -0.568692323854465E+00 , 
   2.15022 ,     0.236751539781182E+00 ,    -0.623010298972255E+00 ,    -0.523049841372307E+00 , 
   2.18025 ,     0.377825085232600E+00 ,    -0.725788810676381E+00 ,    -0.463919787191825E+00 , 
   2.21029 ,     0.521074470788189E+00 ,    -0.818823112943831E+00 ,    -0.392567210832269E+00 , 
   2.24032 ,     0.662037321341402E+00 ,    -0.901169844082169E+00 ,    -0.310855090792666E+00 , 
   2.27036 ,     0.796146264984841E+00 ,    -0.972252376212525E+00 ,    -0.221145432025139E+00 , 
   2.30039 ,     0.918944024979172E+00 ,    -0.103184446385370E+01 ,    -0.126176307064355E+00 , 
   2.33043 ,     0.102629282709392E+01 ,    -0.108003963604298E+01 ,    -0.289221123538659E-01 , 
   2.36046 ,     0.111456729594518E+01 ,    -0.111720914903086E+01 ,     0.675549978024899E-01 , 
   2.39050 ,     0.118082103902157E+01 ,    -0.114395171266934E+01 ,     0.160254303486448E+00 , 
   2.42054 ,     0.122291865686071E+01 ,    -0.116103839588944E+01 ,     0.246378363788082E+00 , 
   2.45057 ,     0.123962687883332E+01 ,    -0.116935610618151E+01 ,     0.323460192285312E+00 , 
   2.48061 ,     0.123066079109715E+01 ,    -0.116985283719680E+01 ,     0.389469474963973E+00 , 
   2.51064 ,     0.119668356656792E+01 ,    -0.116348751009689E+01 ,     0.442892887330206E+00 , 
   2.54068 ,     0.113926058900729E+01 ,    -0.115118672913249E+01 ,     0.482785140727317E+00 , 
   2.57071 ,     0.106077124784609E+01 ,    -0.113381016744228E+01 ,     0.508789095115345E+00 , 
   2.60075 ,     0.964283838579612E+00 ,    -0.111212563637589E+01 ,     0.521125018082736E+00 , 
   2.63078 ,     0.853400822079138E+00 ,    -0.108679421319336E+01 ,     0.520550749927627E+00 , 
   2.66082 ,     0.732083082732919E+00 ,    -0.105836514897555E+01 ,     0.508296060991996E+00 , 
   2.69085 ,     0.604462713638917E+00 ,    -0.102727968860225E+01 ,     0.485975780112322E+00 , 
   2.72089 ,     0.474654209870951E+00 ,    -0.993882439690348E+00 ,     0.455487267597516E+00 , 
   2.75092 ,     0.346573761415797E+00 ,    -0.958438552127146E+00 ,     0.418898456724005E+00 , 
   2.78096 ,     0.223775629268865E+00 ,    -0.921154730557557E+00 ,     0.378332969173228E+00 , 
   2.81099 ,     0.109313413181458E+00 ,    -0.882202006127241E+00 ,     0.335858718422270E+00 , 
   2.84103 ,     0.563245419838813E-02 ,    -0.841738239105994E+00 ,     0.293385968178623E+00 , 
   2.87106 ,    -0.855022442004520E-01 ,    -0.799928500283099E+00 ,     0.252580047328756E+00 , 
   2.90110 ,    -0.163040235461601E+00 ,    -0.756961768197733E+00 ,     0.214792892167045E+00 , 
   2.93113 ,    -0.226641757622392E+00 ,    -0.713062757096003E+00 ,     0.181016357803082E+00 , 
   2.96117 ,    -0.276637593083799E+00 ,    -0.668498128263971E+00 ,     0.151858889654096E+00 , 
   2.99120 ,    -0.313956375215707E+00 ,    -0.623576803796561E+00 ,     0.127545753412667E+00 , 
   3.02124 ,    -0.340024682201680E+00 ,    -0.578644565120543E+00 ,     0.107941668289644E+00 , 
   3.05127 ,    -0.356646536435797E+00 ,    -0.534073548344955E+00 ,     0.925934494129464E-01 , 
   3.08131 ,    -0.365869797199369E+00 ,    -0.490247617696255E+00 ,     0.807892078861330E-01 , 
   3.11134 ,    -0.369847359264165E+00 ,    -0.447544884692827E+00 ,     0.716298356299001E-01 , 
   3.14138 ,    -0.370701040589889E+00 ,    -0.406318828184181E+00 ,     0.641079560413604E-01 , 
   3.17142 ,    -0.370395574481194E+00 ,    -0.366879549674168E+00 ,     0.571892730513008E-01 , 
   3.20145 ,    -0.370629255879822E+00 ,    -0.329476667471169E+00 ,     0.498913049436986E-01 , 
