Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
182404.859        2761       30754  0.341E-01  0.108E+01
182416.860        3247       53097  0.327E-01  0.103E+01
182428.864        3989       65887  0.326E-01  0.103E+01
182440.863        4239       81249  0.320E-01  0.100E+01
182452.869        4964       93615  0.322E-01  0.986E+00
182504.861        5132      106757  0.318E-01  0.978E+00
182516.861        5219      114623  0.317E-01  0.971E+00
182528.881        5299      122487  0.315E-01  0.969E+00
182540.862        5402      132834  0.315E-01  0.964E+00
182552.896        5503      142368  0.312E-01  0.963E+00
182604.861        5600      152424  0.312E-01  0.960E+00
182616.862        5724      164417  0.311E-01  0.958E+00
182628.860        5821      174268  0.311E-01  0.953E+00
182640.863        5946      187387  0.310E-01  0.950E+00
182652.859        6139      205612  0.310E-01  0.946E+00
182704.859        6304      221875  0.309E-01  0.945E+00
182716.865        6466      236997  0.308E-01  0.943E+00
182728.861        6604      252012  0.310E-01  0.935E+00
182740.860        7028      265938  0.309E-01  0.935E+00
182752.859        7180      282544  0.308E-01  0.931E+00
182804.861        7353      299324  0.308E-01  0.928E+00
182816.873        7562      315220  0.306E-01  0.924E+00
182828.860        8220      331844  0.310E-01  0.929E+00
182840.860        8377      345090  0.307E-01  0.923E+00
182852.866        8540      361349  0.306E-01  0.918E+00
182904.864        8681      376015  0.305E-01  0.918E+00
182916.859        9494      391167  0.319E-01  0.954E+00
182928.860       10108      407270  0.311E-01  0.921E+00
182940.859       10632      423597  0.313E-01  0.923E+00
182952.860       10848      438939  0.310E-01  0.914E+00
183004.864       11281      456536  0.310E-01  0.920E+00
183016.860       11519      473817  0.306E-01  0.914E+00
183028.859       11700      488718  0.306E-01  0.908E+00
183040.862       11876      505453  0.305E-01  0.907E+00
183052.897       12032      520177  0.306E-01  0.906E+00
183104.866       12458      537369  0.308E-01  0.905E+00
183116.860       13683      555067  0.315E-01  0.912E+00
183128.859       13949      572106  0.309E-01  0.906E+00
183140.894       14113      586381  0.307E-01  0.902E+00
183152.859       14260      601547  0.306E-01  0.900E+00
183204.860       14667      619159  0.309E-01  0.903E+00
183216.860       14929      635464  0.307E-01  0.892E+00
183228.860       15096      648331  0.304E-01  0.890E+00
183240.859       15300      665470  0.304E-01  0.889E+00
183252.861       15436      679726  0.304E-01  0.887E+00
183304.861       15610      695843  0.304E-01  0.885E+00
183316.861       15793      711566  0.304E-01  0.885E+00
183328.859       15951      725906  0.304E-01  0.883E+00
183340.866       16212      741158  0.303E-01  0.886E+00
183352.864       16977      758012  0.307E-01  0.900E+00
183404.860       17182      774729  0.304E-01  0.892E+00
183416.863       17386      792843  0.303E-01  0.888E+00
183428.864       17645      808998  0.303E-01  0.890E+00
183440.865       17843      824977  0.302E-01  0.887E+00
183452.859       18056      843902  0.301E-01  0.886E+00
183504.866       18217      860476  0.302E-01  0.885E+00
183516.859       18627      877661  0.305E-01  0.892E+00
183528.860       18917      893114  0.303E-01  0.886E+00
183540.859       19157      907811  0.302E-01  0.885E+00
183552.860       19358      925129  0.301E-01  0.883E+00
183604.860       19512      937447  0.300E-01  0.884E+00
183616.864       19722      954816  0.300E-01  0.882E+00
183628.860       19937      971946  0.300E-01  0.880E+00
183640.865       20127      988095  0.300E-01  0.887E+00
183652.860       21249     1004031  0.311E-01  0.908E+00
183704.890       21550     1018952  0.304E-01  0.890E+00
183716.859       21917     1035883  0.309E-01  0.896E+00
183728.865       22278     1054742  0.303E-01  0.880E+00
183740.860       22487     1069831  0.302E-01  0.877E+00
183752.866       22804     1084469  0.301E-01  0.877E+00
183804.862       23445     1100130  0.302E-01  0.874E+00
183816.860       23675     1115896  0.300E-01  0.872E+00
183828.863       23883     1131053  0.300E-01  0.874E+00
183840.859       24116     1146589  0.299E-01  0.871E+00
183852.865       24340     1162441  0.298E-01  0.872E+00
183904.859       24570     1177415  0.297E-01  0.872E+00
183916.865       24774     1192942  0.299E-01  0.868E+00
183928.860       24991     1209260  0.298E-01  0.871E+00
183940.891       25256     1226811  0.299E-01  0.869E+00
183952.863       25503     1244083  0.298E-01  0.868E+00
184004.861       25702     1259765  0.298E-01  0.869E+00
184016.859       25857     1271632  0.297E-01  0.870E+00
184028.859       26086     1287292  0.297E-01  0.870E+00
184040.860       26340     1303394  0.296E-01  0.869E+00
184052.862       26557     1319207  0.297E-01  0.868E+00
184104.860       26793     1333993  0.297E-01  0.867E+00
184116.861       27003     1348338  0.296E-01  0.867E+00
184128.866       27508     1365644  0.300E-01  0.876E+00
184140.860       27806     1381390  0.296E-01  0.868E+00
184152.867       28044     1399106  0.296E-01  0.864E+00
184204.867       28268     1415608  0.295E-01  0.865E+00
184216.860       28541     1431658  0.295E-01  0.866E+00
184228.860       28832     1448977  0.296E-01  0.870E+00
184240.865       29255     1465326  0.293E-01  0.864E+00
184252.859       29493     1481143  0.294E-01  0.866E+00
184304.883       29763     1495875  0.293E-01  0.867E+00
184316.859       30014     1513935  0.293E-01  0.863E+00
184328.864       30253     1530179  0.292E-01  0.865E+00
184340.865       30487     1546222  0.293E-01  0.862E+00
184352.860       30867     1563312  0.293E-01  0.860E+00
184404.872       31108     1579436  0.293E-01  0.860E+00
184416.859       31383     1594445  0.294E-01  0.859E+00
184428.866       31609     1609714  0.293E-01  0.859E+00
184440.860       31866     1625601  0.292E-01  0.860E+00
184452.860       32119     1642508  0.293E-01  0.857E+00
184504.877       32380     1658595  0.292E-01  0.857E+00
184516.898       32662     1674391  0.291E-01  0.860E+00
184528.861       32906     1692050  0.291E-01  0.861E+00
184540.865       33146     1707050  0.291E-01  0.860E+00
184552.864       33393     1722389  0.291E-01  0.862E+00
184604.863       33692     1738879  0.291E-01  0.859E+00
184616.860       33963     1755476  0.292E-01  0.861E+00
184628.860       34263     1772109  0.292E-01  0.859E+00
191503.874       34445     1784401  0.292E-01  0.858E+00
191515.875       34682     1798292  0.291E-01  0.859E+00
191527.872       34936     1813701  0.292E-01  0.857E+00
191539.872       35174     1828732  0.291E-01  0.857E+00
191551.875       35361     1841351  0.291E-01  0.857E+00
191603.873       35593     1855953  0.292E-01  0.854E+00
191615.872       35874     1871236  0.292E-01  0.854E+00
191627.881       36148     1886476  0.291E-01  0.856E+00
191639.872       36303     1897310  0.291E-01  0.853E+00
191651.872       36454     1907808  0.291E-01  0.854E+00
191703.940       36936     1920169  0.292E-01  0.860E+00
191715.901       37119     1933331  0.292E-01  0.857E+00
191727.872       37273     1944192  0.291E-01  0.856E+00
191739.872       37415     1955676  0.290E-01  0.856E+00
191751.872       37594     1970511  0.290E-01  0.856E+00
191803.879       37938     1984946  0.292E-01  0.855E+00
191815.873       38149     2000301  0.291E-01  0.855E+00
191827.874       38339     2014254  0.291E-01  0.855E+00
191839.879       38491     2025375  0.291E-01  0.853E+00
191851.879       38723     2039753  0.291E-01  0.855E+00
191903.873       38968     2053827  0.291E-01  0.852E+00
191915.871       39184     2067471  0.291E-01  0.851E+00
191927.879       39635     2079859  0.294E-01  0.862E+00
191939.873       40081     2093246  0.295E-01  0.859E+00
191951.914       40238     2101948  0.294E-01  0.855E+00
192003.878       40376     2110832  0.293E-01  0.853E+00
192015.872       40530     2121488  0.292E-01  0.853E+00
192027.909       40736     2133080  0.296E-01  0.856E+00
192039.874       41020     2143051  0.293E-01  0.855E+00
192051.877       41161     2151919  0.293E-01  0.851E+00
192103.872       41306     2162085  0.292E-01  0.852E+00
192115.887       41463     2173394  0.292E-01  0.851E+00
192127.871       41823     2184994  0.295E-01  0.856E+00
192139.885       41996     2195698  0.292E-01  0.851E+00
192151.872       42241     2211382  0.292E-01  0.850E+00
192203.930       42438     2225634  0.291E-01  0.852E+00
192215.872       42631     2238737  0.291E-01  0.853E+00
