Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
164518.061      904079     1868851
164530.061     1711332     3541403
164542.061     2451271     5073819
164554.061     3180208     6589700
164606.061     3931649     8148301
164618.061     4655576     9650471
164630.061     5370435    11127563
164642.061     6143385    12730646
164654.061     6930865    14358400
164706.061     7746197    16038530
164718.061     8562107    17725022
164730.061     9372778    19400842
164742.061    10182147    21066720
164754.061    10951514    22659024
164806.061    11680961    24169869
164818.061    12419706    25695455
164830.061    13081500    27061612
164842.062    13686127    28309223
164854.061    14267080    29507374
164906.061    15096435    31218503
164918.061    15890891    32859063
164930.061    16670575    34471412
164942.061    17411683    36002495
164954.061    18223575    37681156
165006.061    19089254    39468559
165018.061    19916439    41174009
165030.061    20765248    42928104
165042.061    21604977    44661720
165054.061    22485582    46480876
165106.061    23339136    48245204
165118.061    24223020    50072102
165130.063    24730885    51125266
165142.071    24936118    51550903
165154.062    25167389    52031601
165206.061    25426887    52568798
165218.061    25751826    53244121
165230.061    26063397    53889705
165242.061    26417360    54621569
165254.062    26738499    55286712
165306.061    27097532    56033256
165318.065    27367874    56590711
165330.061    27605318    57087499
165342.065    27831392    57557314
165354.062    28135564    58187600
165406.086    28383125    58701725
165418.062    28690035    59336492
165430.061    28942814    59856354
165442.061    29201642    60394930
165454.061    29541169    61097507
165506.077    29789447    61611709
