 Results from RMCProfile version 6.7.9.5

 (Version 6f format configuration file)                                          

 0 experiments   1 partials

 Partial g(r)'s are printed out below

   128  1 are NR and NPAR

   r (Ang)
   0.06545     0.00000
   0.13090     0.00000
   0.19635     0.00000
   0.26180     0.00000
   0.32725     0.00000
   0.39271     0.00000
   0.45816     0.00000
   0.52361     0.00000
   0.58906     3.33366
   0.65451     0.00000
   0.71996     0.00000
   0.78541     0.00000
   0.85086     0.00000
   0.91631     1.37852
   0.98176     0.00000
   1.04721     0.00000
   1.11267     1.87008
   1.17812     0.83406
   1.24357     0.74859
   1.30902     2.02686
   1.37447     0.00000
   1.43992     1.67515
   1.50537     0.00000
   1.57082     0.46921
   1.63627     0.43243
   1.70172     0.00000
   1.76718     1.11224
   1.83263     0.34474
   1.89808     1.60688
   1.96353     0.60062
   2.02898     0.56250
   2.09443     0.79184
   2.15988     0.99278
   2.22533     1.16905
   2.29078     0.66193
   2.35623     0.62566
   2.42168     0.78974
   2.48714     0.56154
   2.55259     1.24394
   2.61804     1.01359
   2.68349     0.80396
   2.74894     0.45968
   2.81439     0.58473
   2.87984     1.25653
   2.94529     2.80304
   3.01074     2.55476
   3.07619     3.42609
   3.14164     1.64242
   3.20710     1.46349
   3.27255     2.37860
   3.33800     2.39016
   3.40345     2.99885
   3.46890     1.73205
   3.53435     2.13197
   3.59980     1.42967
   3.66525     0.51715
   3.73070     1.41430
   3.79615     0.56245
   3.86161     0.85415
   3.92706     0.60066
   3.99251     0.29057
   4.05796     1.05476
   4.12341     0.81723
   4.18886     0.79189
   4.25431     0.63976
   4.31976     0.80668
   4.38521     0.72257
   4.45066     0.58456
   4.51611     0.96515
   4.58157     1.15843
   4.64702     0.85793
   4.71247     0.57355
   4.77792     1.26806
   4.84337     0.59233
   4.90882     1.39355
   4.97427     1.21673
   5.03972     0.91179
   5.10517     1.42170
   5.17062     0.73628
   5.23607     0.97139
   5.30153     0.86516
   5.36698     1.08539
   5.43243     0.74550
   5.49788     0.65124
   5.56333     1.15977
   5.62878     1.16950
   5.69423     0.96421
   5.75968     1.22166
   5.82513     0.88724
   5.89058     0.63404
   5.95604     1.30565
   6.02149     1.37323
   6.08694     1.15634
   6.15239     0.79537
   6.21784     0.86856
   6.28329     0.96788
   6.34874     0.89057
   6.41419     1.12579
   6.47964     1.13074
   6.54509     1.10824
   6.61054     1.11290
   6.67600     1.03922
   6.74145     0.68792
   6.80690     0.69975
   6.87235     0.83359
   6.93780     0.81793
   7.00325     0.96798
   7.06870     0.92696
   7.13415     0.91003
   7.19960     0.91590
   7.26505     0.89947
   7.33050     0.68955
   7.39596     0.78324
   7.46141     0.97755
   7.52686     1.14457
   7.59231     1.04457
   7.65776     0.98730
   7.72321     0.95122
   7.78866     1.03074
   7.85411     0.86347
   7.91956     0.97849
   7.98501     0.79907
   8.05046     0.89333
   8.11592     0.93172
   8.18137     0.91687
   8.24682     0.97048
   8.31227     0.97201
   8.37772     0.85790
