Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
121735.973     1595389     1890374
121747.979     2988074     3553095
121759.973     4312810     5142210
121811.975     5678314     6775547
121823.973     7058744     8432949
121835.973     8433694    10084166
121847.973     9711158    11619625
121859.973    11088082    13266640
121911.973    12515276    14973075
121923.973    13930159    16665696
121935.973    15355300    18371107
121947.973    16787213    20079289
121959.973    18214625    21785762
122011.973    19614189    23461847
122023.973    20951856    25066257
122035.973    22318560    26692500
122047.973    23739599    28390033
122059.973    25097497    30019434
122111.973    26481326    31667301
122123.973    27849201    33300893
122135.973    29248207    34968279
122147.973    30673572    36668278
122159.973    32003809    38254781
122211.973    33384800    39897467
122223.973    34794288    41578113
122235.973    36304121    43389101
122247.973    37726755    45090018
122259.979    39094839    46735901
122311.973    40485717    48404879
122323.973    41828494    50011757
122335.974    43183978    51634450
122347.973    44469312    53176175
122359.973    45769746    54732963
122411.973    47264898    56527002
122423.973    48747539    58302750
122435.975    50337778    60205914
122447.973    51940639    62128238
122459.973    53525451    64024127
122511.973    55076045    65880737
122523.973    56579853    67680526
122535.973    57973473    69347878
122547.973    59388832    71045437
122559.973    60752586    72675539
122611.973    62152130    74354775
122623.973    63474566    75942740
122635.973    64778425    77515040
122647.973    66088726    79089050
122659.973    67461245    80727830
122711.973    68772071    82292552
122723.973    70082034    83863179
122735.973    71383949    85416178
122747.973    72806548    87111099
122759.975    74194065    88771245
122811.973    75630936    90494300
122823.973    77123433    92284977
122835.973    78599442    94044168
122847.973    79967602    95678570
122859.973    81277015    97245075
122911.973    82686724    98928112
122923.979    84031740   100533819
122935.973    85366575   102125412
122947.973    86799100   103835313
122959.973    88257025   105572739
123011.973    89541441   107102930
123023.973    90813463   108622243
123035.975    92087813   110152347
123047.973    93509307   111850724
123059.973    95023720   113669463
123111.973    96404166   115324003
123123.973    97727608   116906190
123135.973    99107620   118551505
123147.973   100551092   120276272
123159.973   101908571   121899438
123211.973   103273695   123532747
123223.973   104829504   125396376
123235.973   106316690   127174589
123247.975   107750582   128898052
123259.973   109142881   130574284
123311.973   110507189   132204568
123323.973   112033161   134031309
123335.973   113489624   135775324
123347.973   114954297   137525500
123359.973   116344328   139194039
123411.975   117777911   140907878
123423.973   119207509   142619677
123435.973   120552459   144235036
123447.973   121855159   145803043
123459.973   123318305   147560324
123511.974   124737950   149256400
123523.973   126124254   150915482
123535.973   127655169   152744069
123547.973   129030289   154382842
123559.975   130322372   155926703
123611.973   131675076   157546576
123623.973   132983361   159113707
123635.973   134294352   160678004
123647.973   135849955   162533110
123659.973   137350299   164327019
123711.973   138837221   166101344
123723.973   140267654   167807829
123735.980   141659107   169468493
123747.973   143021929   171094197
123759.973   144376033   172709844
123811.973   145738046   174333181
123823.973   147195574   176072882
123835.973   148628177   177789742
123847.973   150052132   179494049
123859.973   151466843   181192215
123911.973   152903305   182907006
123923.973   154343808   184623272
123935.973   155773269   186328988
123947.975   157191446   188029114
123959.979   158606722   189724844
124011.979   160018637   191412313
124023.979   161432268   193104506
124035.979   162847566   194791150
124047.975   164254118   196477046
124059.979   165660748   198161321
124111.979   167076194   199852201
124123.979   168483451   201539245
124135.979   169894656   203227100
124147.975   171312874   204921461
124159.975   172726289   206618063
124211.979   174142488   208311889
124223.979   175554588   210006266
124235.979   176966924   211708364
124247.975   178386364   213409807
124259.975   179811611   215113943
124311.975   181238268   216817056
124323.975   182654610   218518441
124335.975   184077312   220217339
124347.975   185530373   221951541
124359.979   186979896   223680782
124411.979   188419452   225407057
124423.975   189868196   227139110
124435.980   191008760   228502416
