 Results from RMCProfile version 6.7.9.5

 (Version 6f format configuration file)                                          

 0 experiments   1 partials

 Partial g(r)'s are printed out below

   128  1 are NR and NPAR

   r (Ang)
   0.06545     0.00000
   0.13090     0.00000
   0.19635     0.00000
   0.26180     0.00000
   0.32725     0.00000
   0.39271     0.00000
   0.45816     0.00000
   0.52361     0.00000
   0.58906     0.00000
   0.65451     2.70080
   0.71996     2.23238
   0.78541     0.00000
   0.85086     0.00000
   0.91631     0.00000
   0.98176     0.00000
   1.04721     0.00000
   1.11267     0.00000
   1.17812     0.83406
   1.24357     0.00000
   1.30902     0.00000
   1.37447     0.00000
   1.43992     0.00000
   1.50537     0.00000
   1.57082     0.00000
   1.63627     0.86486
   1.70172     0.00000
   1.76718     0.37075
   1.83263     0.34474
   1.89808     0.32138
   1.96353     0.30031
   2.02898     0.00000
   2.09443     0.00000
   2.15988     0.99278
   2.22533     0.46762
   2.29078     0.22064
   2.35623     0.20855
   2.42168     0.78974
   2.48714     0.18718
   2.55259     0.35541
   2.61804     0.16893
   2.68349     0.16079
   2.74894     0.76613
   2.81439     0.14618
   2.87984     0.27923
   2.94529     0.93435
   3.01074     2.42702
   3.07619     1.59069
   3.14164     1.29047
   3.20710     2.36410
   3.27255     2.37860
   3.33800     2.70192
   3.40345     2.09919
   3.46890     2.02073
   3.53435     1.76119
   3.59980     1.78709
   3.66525     0.60334
   3.73070     0.66555
   3.79615     0.72315
   3.86161     0.62120
   3.92706     0.90099
   3.99251     1.59811
   4.05796     0.63285
   4.12341     0.95344
   4.18886     0.72590
   4.25431     0.83169
   4.31976     0.55847
   4.38521     0.66235
   4.45066     0.70147
   4.51611     0.56774
   4.58157     0.60680
   4.64702     0.48258
   4.71247     0.93854
   4.77792     0.81156
   4.84337     1.13530
   4.90882     0.57664
   4.97427     1.35712
   5.03972     0.95738
   5.10517     1.37727
   5.17062     1.55918
   5.23607     0.54905
   5.30153     1.11235
   5.36698     0.80399
   5.43243     0.98092
   5.49788     0.72785
   5.56333     1.08495
   5.62878     0.65785
   5.69423     0.92850
   5.75968     0.62828
   5.82513     1.19436
   5.89058     1.23471
   5.95604     0.94660
   6.02149     1.02194
   6.08694     0.87507
   6.15239     0.85655
   6.21784     1.01831
   6.28329     1.17319
   6.34874     0.77566
   6.41419     1.26651
   6.47964     1.18590
   6.54509     1.18933
   6.61054     1.13940
   6.67600     1.19511
   6.74145     0.71340
   6.80690     1.09960
   6.87235     1.22586
   6.93780     0.91416
   7.00325     0.89715
   7.06870     0.74157
   7.13415     0.68253
   7.19960     0.93824
   7.26505     0.89947
   7.33050     0.86193
   7.39596     0.80441
   7.46141     0.95675
   7.52686     0.96062
   7.59231     0.80352
   7.65776     1.20451
   7.72321     1.14535
   7.78866     1.04983
   7.85411     0.80715
   7.91956     1.14465
   7.98501     0.92619
   8.05046     1.05413
   8.11592     1.26573
   8.18137     1.12446
   8.24682     1.29397
   8.31227     1.03905
   8.37772     1.23735
