Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
162038.809      663395      780502
162050.817     1243933     1472402
162102.808     1802074     2145868
162114.814     2418838     2890806
162126.813     2904624     3473700
162138.821     3541188     4237517
162150.811     4187955     5014405
162202.815     4780805     5725200
162214.820     5367596     6429427
162226.808     5860068     7024113
162238.808     6394699     7667322
162250.810     6978511     8373292
162302.819     7544116     9056284
162314.810     8164133     9803998
162326.811     8869918    10656122
162338.812     9438912    11346601
162350.810    10130285    12187877
162402.808    10763392    12949603
162414.818    11373036    13686001
162426.808    11995960    14441137
162438.808    12609794    15185152
162450.813    13082602    15754700
162502.813    13672636    16466986
162514.812    14192127    17097661
162526.810    14768527    17795450
162538.810    15385049    18538946
162550.814    15799500    19041444
162602.808    16490589    19886702
162614.808    17040101    20557207
162626.813    17644277    21289800
162638.810    18265079    22049269
162650.813    18843563    22754300
162702.813    19363332    23386300
162714.812    19926327    24067005
162726.812    20443393    24692801
162738.814    21093640    25480758
162750.808    21614212    26106792
162802.814    22240228    26868201
162814.808    22896014    27660948
162826.808    23539421    28439729
162838.813    24165542    29202925
162850.809    24922318    30123527
162902.810    25340847    30631700
162914.812    25987115    31417730
162926.810    26527945    32077738
162938.812    27215819    32909301
162950.810    27953956    33789239
163002.812    28566934    34528461
163014.809    29062187    35126466
163026.817    29723931    35925676
163038.828    30231519    36542170
163050.815    30922951    37380683
163102.809    31507400    38093504
163114.813    32064766    38771704
163126.816    32674848    39515981
163138.814    33319147    40295311
163150.807    33942081    41048005
163202.811    34703708    41975063
163214.813    35265704    42660100
163226.813    35860968    43388932
163238.813    36451143    44106598
163250.816    37073701    44870659
163302.810    37635287    45550900
163314.810    38667996    46804293
163326.810    40504805    49031804
163338.814    42275618    51170566
163350.807    44079695    53354775
163402.810    45967277    55635505
163414.814    47711544    57745146
163426.810    49460490    59849100
163438.810    51206944    61950501
163450.814    53085129    64203909
163502.807    54966937    66487320
163514.814    56849773    68775112
163526.814    58665590    70972011
163538.814    60391786    73067356
163550.810    62139004    75175452
163602.814    64031175    77457046
163614.814    65903786    79713316
163626.810    67774698    81985999
163638.814    69625157    84217643
163650.809    71476341    86454917
163702.810    73265612    88611554
163714.814    75002521    90712004
163726.809    76811808    92893477
163738.810    78713763    95200616
163750.814    80475083    97331229
163802.810    82223380    99445269
163814.814    83986000   101576955
163826.814    85742045   103692300
163838.810    87472625   105789518
163850.814    89202232   107873045
163902.814    90933639   109960839
163914.810    92679159   112065052
163926.814    94436995   114179371
163938.810    96200546   116309349
163950.809    98073643   118563400
164002.807    99950678   120825804
164014.814   101789361   123043054
164026.810   103617066   125232901
164038.814   105363833   127346292
164050.808   107148280   129503739
164102.809   108905563   131625100
164114.814   110659477   133753848
164126.814   112415012   135866551
164138.808   114171959   137975676
164150.814   115908481   140082890
164202.814   117661038   142204747
164214.810   119410737   144321162
164226.814   121161905   146443474
164238.814   122902583   148549674
164250.810   124646481   150668412
164302.814   126398822   152783507
164314.810   128157206   154889741
164326.810   129907625   157006900
164338.808   131647546   159108731
164350.810   133391232   161219743
164402.808   135225092   163450500
164414.814   136983499   165578676
164426.810   138744634   167709668
164438.810   140508110   169834852
164450.807   142271195   171965750
164502.810   144025707   174103349
164514.814   145776137   176231471
164526.814   147544538   178367863
164538.810   149294859   180483311
164550.814   151132422   182699969
164602.818   153040734   185015752
164614.810   154773953   187107666
164626.808   156506875   189207095
164638.808   158237734   191300893
164650.814   159968833   193409482
164702.808   161711355   195525031
164714.808   163437070   197634039
164726.810   165199768   199765028
164738.810   166951284   201900184
164750.814   168693834   204017718
164802.809   170438624   206129714
164814.808   172237994   208290117
164826.808   173788998   210162620
164838.814   175411500   212146067
164850.814   176991699   214063090
164902.814   178530790   215938239
164914.810   180138850   217883026
164926.810   181769791   219850691
164938.809   183372903   221795688
164950.814   185045983   223826389
165002.820   186989961   226181923
165014.809   188912955   228506673
165026.814   190665965   230627579
