 Results from RMCProfile version 6.7.9.5

 (Version 6f format configuration file)                                          

 0 experiments   1 partials

 Partial g(r)'s are printed out below

   128  1 are NR and NPAR

   r (Ang)
   0.06545     0.00000
   0.13090     0.00000
   0.19635     0.00000
   0.26180     0.00000
   0.32725    10.77626
   0.39271    14.98224
   0.45816     5.50705
   0.52361     8.43603
   0.58906     6.66733
   0.65451     0.00000
   0.71996     0.00000
   0.78541     0.00000
   0.85086     1.59865
   0.91631     1.37852
   0.98176     3.60273
   1.04721     1.05553
   1.11267     0.93504
   1.17812     3.33624
   1.24357     2.24578
   1.30902     2.02686
   1.37447     1.83846
   1.43992     2.79192
   1.50537     2.04357
   1.57082     0.93842
   1.63627     0.86486
   1.70172     1.59924
   1.76718     1.48298
   1.83263     3.44740
   1.89808     0.96413
   1.96353     1.20124
   2.02898     1.68750
   2.09443     2.37553
   2.15988     1.73736
   2.22533     2.57192
   2.29078     1.98578
   2.35623     1.66844
   2.42168     1.77691
   2.48714     1.49745
   2.55259     2.31017
   2.61804     0.84466
   2.68349     1.76871
   2.74894     0.76613
   2.81439     1.02328
   2.87984     2.09421
   2.94529     0.93435
   3.01074     2.17155
   3.07619     2.08013
   3.14164     1.75973
   3.20710     1.91379
   3.27255     1.72989
   3.33800     2.07840
   3.40345     1.19954
   3.46890     2.50185
   3.53435     2.50275
   3.59980     0.98290
   3.66525     2.06860
   3.73070     1.49749
   3.79615     0.72315
   3.86161     1.78594
   3.92706     1.35149
   3.99251     1.30754
   4.05796     1.05476
   4.12341     1.56636
   4.18886     1.12185
   4.25431     1.15157
   4.31976     0.93078
   4.38521     1.32470
   4.45066     1.11066
   4.51611     0.96515
   4.58157     1.65490
   4.64702     1.12603
   4.71247     1.51210
   4.77792     1.21734
   4.84337     1.03658
   4.90882     1.00912
   4.97427     0.93594
   5.03972     0.68384
   5.10517     1.06628
   5.17062     1.16938
   5.23607     1.47821
   5.30153     0.94756
   5.36698     0.96479
   5.43243     1.21634
   5.49788     1.45570
   5.56333     1.34683
   5.62878     1.02332
   5.69423     0.92850
   5.75968     1.04714
   5.82513     1.02374
   5.89058     0.93438
   5.95604     1.20772
   6.02149     1.21355
   6.08694     1.21884
   6.15239     1.04009
   6.21784     1.10816
   6.28329     1.26118
   6.34874     1.09167
   6.41419     0.75991
   6.47964     0.85495
   6.54509     0.91903
   6.61054     0.87442
   6.67600     0.75344
   6.74145     0.84079
   6.80690     0.82470
   6.87235     0.90714
   6.93780     0.96227
   7.00325     0.99159
   7.06870     1.11236
   7.13415     0.75078
   7.19960     1.00526
   7.26505     1.14080
   7.33050     1.05587
   7.39596     0.95259
   7.46141     0.76956
   7.52686     1.08326
   7.59231     1.02448
   7.65776     0.90832
   7.72321     0.91240
   7.78866     1.27889
   7.85411     1.05118
   7.91956     0.96003
   7.98501     0.85355
   8.05046     0.94693
   8.11592     0.77350
   8.18137     0.69198
   8.24682     1.10668
   8.31227     0.88822
   8.37772     0.87439
