 Results from RMCProfile version 6.7.9.5

 (Version 6f format configuration file)                                          

 0 experiments   1 partials

 Partial g(r)'s are printed out below

   128  1 are NR and NPAR

   r (Ang)
   0.06545     0.00000
   0.13090     0.00000
   0.19635     0.00000
   0.26180     0.00000
   0.32725     0.00000
   0.39271     0.00000
   0.45816     0.00000
   0.52361     0.00000
   0.58906     0.00000
   0.65451     2.70080
   0.71996     0.00000
   0.78541     0.00000
   0.85086     1.59865
   0.91631     0.00000
   0.98176     0.00000
   1.04721     0.00000
   1.11267     0.00000
   1.17812     0.00000
   1.24357     0.74859
   1.30902     0.00000
   1.37447     0.61282
   1.43992     0.00000
   1.50537     0.51089
   1.57082     0.46921
   1.63627     0.00000
   1.70172     0.39981
   1.76718     0.00000
   1.83263     1.03422
   1.89808     0.00000
   1.96353     0.00000
   2.02898     0.28125
   2.09443     1.05579
   2.15988     0.00000
   2.22533     0.23381
   2.29078     0.22064
   2.35623     0.20855
   2.42168     0.19743
   2.48714     0.00000
   2.55259     0.35541
   2.61804     0.33786
   2.68349     0.16079
   2.74894     0.15323
   2.81439     0.14618
   2.87984     1.11691
   2.94529     2.40261
   3.01074     2.55476
   3.07619     2.44721
   3.14164     1.75973
   3.20710     2.25152
   3.27255     0.97306
   3.33800     1.76664
   3.40345     1.99923
   3.46890     2.21318
   3.53435     1.85389
   3.59980     1.78709
   3.66525     0.68953
   3.73070     0.41597
   3.79615     0.56245
   3.86161     0.62120
   3.92706     1.05116
   3.99251     0.87170
   4.05796     0.63285
   4.12341     0.81723
   4.18886     1.18784
   4.25431     0.95964
   4.31976     0.93078
   4.38521     0.78278
   4.45066     0.52610
   4.51611     0.79483
   4.58157     0.88261
   4.64702     0.75068
   4.71247     0.57355
   4.77792     0.65939
   4.84337     0.54297
   4.90882     0.81691
   4.97427     1.02954
   5.03972     0.77502
   5.10517     1.33284
   5.17062     0.86621
   5.23607     0.97139
   5.30153     0.90636
   5.36698     0.80399
   5.43243     0.70626
   5.49788     1.07262
   5.56333     1.08495
   5.62878     1.05986
   5.69423     0.99993
   5.75968     0.76790
   5.82513     0.92137
   5.89058     1.13460
   5.95604     0.75075
   6.02149     0.89419
   6.08694     1.06258
   6.15239     0.94832
   6.21784     1.19801
   6.28329     1.34916
   6.34874     0.68947
   6.41419     1.26651
   6.47964     1.10316
   6.54509     1.00012
   6.61054     1.03341
   6.67600     0.96128
   6.74145     1.04462
   6.80690     0.89968
   6.87235     1.15231
   6.93780     0.86605
   7.00325     1.13325
   7.06870     0.85744
   7.13415     0.95554
   7.19960     1.02760
   7.26505     1.05304
   7.33050     0.92658
   7.39596     1.07960
   7.46141     1.10234
   7.52686     1.12413
   7.59231     0.88387
   7.65776     0.69111
   7.72321     0.97064
   7.78866     1.06892
   7.85411     0.91978
   7.91956     1.14465
   7.98501     0.96251
   8.05046     0.67893
   8.11592     0.82624
   8.18137     1.12446
   8.24682     1.03858
   8.31227     0.95525
   8.37772     1.17136
