Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
011351.666     1766627     2057745
011403.672     3299196     3855392
011415.667     4845690     5673620
011427.668     6356532     7448904
011439.666     7857777     9216884
011451.666     9365557    10992198
011503.672    10876641    12764313
011515.672    12396914    14551563
011527.672    13918339    16338824
011539.672    15437481    18126564
011551.672    16954351    19912101
011603.666    18472910    21698940
011615.672    19989278    23481282
011627.668    21513181    25271357
011639.666    23029190    27053649
011651.668    24547507    28838846
011703.672    26066530    30625006
011715.666    27581115    32405000
011727.672    29100191    34188854
011739.672    30623232    35979315
011751.668    32144343    37768379
011803.668    33804658    39720400
011815.666    35506029    41720145
011827.666    37210571    43726436
011839.668    38921031    45739096
011851.672    40633921    47754896
011903.672    42347672    49771837
011915.672    44048748    51770125
011927.668    45746501    53763748
011939.668    47484101    55804990
011951.672    49216524    57844080
012003.672    50943183    59875762
012015.668    52669948    61906952
012027.672    54400967    63943409
012039.668    56134470    65982679
012051.666    57872985    68026032
012103.672    59613234    70073199
012115.666    61341581    72103988
012127.672    63071815    74137703
012139.668    64806090    76177418
012151.666    66494198    78162220
012203.666    68056694    79999688
012215.668    69613372    81830000
012227.672    71134754    83618501
012239.672    72660078    85411692
012251.666    74186802    87206021
012303.668    75711123    88998767
012315.666    77233005    90788002
012327.672    78750291    92573662
012339.668    80279776    94371025
012351.672    81809481    96170300
012403.672    83335444    97964221
012415.672    84860426    99758629
012427.666    86380749   101548016
012439.668    87904538   103338398
012451.672    89428918   105131736
012503.672    90948646   106919608
012515.672    92477637   108714702
012527.668    93997993   110504635
012539.668    95525562   112300503
012551.672    97048030   114091907
012603.668    98568096   115878444
012615.672   100089744   117668095
012627.672   101604933   119452275
012639.668   103129616   121245726
012651.672   104650729   123035424
012703.672   106169260   124823860
012715.666   107694318   126615984
012727.672   109210736   128400622
012739.668   110738329   130198177
012751.668   112258982   131987756
012803.672   113785525   133781523
012815.672   115309747   135572217
012827.668   116828077   137357151
012839.672   118355726   139152135
012851.668   119876919   140943684
012903.668   121398531   142730544
012915.672   122923316   144522955
012927.672   124440918   146307042
012939.668   125969375   148102834
012951.668   127490970   149893588
