 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.257699524639483E+01 ,     0.405923402734314E+00 ,    -0.110253631981117E+01 , 
   0.49828 ,    -0.248987834232627E+01 ,     0.511102616538256E+00 ,    -0.971035107864509E+00 , 
   0.52832 ,    -0.241254710299295E+01 ,     0.612170239427233E+00 ,    -0.835412726634062E+00 , 
   0.55835 ,    -0.234544244526808E+01 ,     0.707974566736823E+00 ,    -0.698176647220485E+00 , 
   0.58838 ,    -0.228863692421983E+01 ,     0.797498862994692E+00 ,    -0.562000511585324E+00 , 
   0.61841 ,    -0.224185106039941E+01 ,     0.879883192463311E+00 ,    -0.429614902363737E+00 , 
   0.64843 ,    -0.220448189979961E+01 ,     0.954443119404010E+00 ,    -0.303692010046549E+00 , 
   0.67846 ,    -0.217564245439941E+01 ,     0.102068458119739E+01 ,    -0.186730247193135E+00 , 
   0.70848 ,    -0.215421025571214E+01 ,     0.107831430299991E+01 ,    -0.809449282671788E-01 , 
   0.73850 ,    -0.213888290828825E+01 ,     0.112724521853696E+01 ,     0.118291339026164E-01 , 
   0.76852 ,    -0.212823826919954E+01 ,     0.116759648640813E+01 ,     0.902178543920708E-01 , 
   0.79854 ,    -0.212079671451086E+01 ,     0.119968784191980E+01 ,     0.153366546016584E+00 , 
   0.82855 ,    -0.211508289229819E+01 ,     0.122402819655578E+01 ,     0.200973778400738E+00 , 
   0.85856 ,    -0.210968440746990E+01 ,     0.124129858505736E+01 ,     0.233298478906853E+00 , 
   0.88857 ,    -0.210330503570866E+01 ,     0.125232975693040E+01 ,     0.251139745833184E+00 , 
   0.91857 ,    -0.209481031706059E+01 ,     0.125807490742381E+01 ,     0.255790295515652E+00 , 
   0.94858 ,    -0.208326372451327E+01 ,     0.125957823450813E+01 ,     0.248965870414913E+00 , 
   0.97858 ,    -0.206795202574797E+01 ,     0.125794018483956E+01 ,     0.232714218286661E+00 , 
   1.00857 ,    -0.204839893998622E+01 ,     0.125428040504352E+01 ,     0.209308343237756E+00 , 
   1.03857 ,    -0.202436671642323E+01 ,     0.124969953740226E+01 ,     0.181129568593337E+00 , 
   1.06856 ,    -0.199584580397569E+01 ,     0.124524108464963E+01 ,     0.150546493612915E+00 , 
   1.09855 ,    -0.196303332057811E+01 ,     0.124185461182246E+01 ,     0.119796142068920E+00 , 
   1.12853 ,    -0.192630154042915E+01 ,     0.124036155034045E+01 ,     0.908734792609294E-01 , 
   1.15851 ,    -0.188615807661389E+01 ,     0.124142481884992E+01 ,     0.654350223110821E-01 , 
   1.18849 ,    -0.184319982344002E+01 ,     0.124552337700400E+01 ,     0.447215116487000E-01 , 
   1.21846 ,    -0.179806301946293E+01 ,     0.125293268443810E+01 ,     0.295035910266087E-01 , 
   1.24843 ,    -0.175137198405303E+01 ,     0.126371185192122E+01 ,     0.200532149608418E-01 , 
   1.27840 ,    -0.170368915740669E+01 ,     0.127769805110983E+01 ,     0.161421329411944E-01 , 
   1.30836 ,    -0.165546903100982E+01 ,     0.129450850127890E+01 ,     0.170673632647296E-01 , 
   1.33832 ,    -0.160701839292093E+01 ,     0.131355008503225E+01 ,     0.217021433084988E-01 , 
   1.36827 ,    -0.155846503544660E+01 ,     0.133403637051595E+01 ,     0.285695039253090E-01 , 
   1.39822 ,    -0.150973669269904E+01 ,     0.135501154589853E+01 ,     0.359344347396811E-01 , 
   1.42817 ,    -0.146055150789971E+01 ,     0.137538051382251E+01 ,     0.419096467947025E-01 , 
   1.45811 ,    -0.141042079512948E+01 ,     0.139394415982199E+01 ,     0.445692493133792E-01 , 
   1.48805 ,    -0.135866428096322E+01 ,     0.140943860919157E+01 ,     0.420642734229722E-01 , 
   1.51798 ,    -0.130443741392396E+01 ,     0.142057713007566E+01 ,     0.327339159596140E-01 , 
   1.54791 ,    -0.124676974108949E+01 ,     0.142609323356268E+01 ,     0.152066417475625E-01 , 
   1.57783 ,    -0.118461279867735E+01 ,     0.142478346926147E+01 ,    -0.115141436299866E-01 , 
   1.60775 ,    -0.111689547301715E+01 ,     0.141554841991158E+01 ,    -0.479842896800391E-01 , 
   1.63766 ,    -0.104258438356980E+01 ,     0.139743046134398E+01 ,    -0.942763280501575E-01 , 
   1.66757 ,    -0.960746540592296E+00 ,     0.136964697243337E+01 ,    -0.149962248546109E+00 , 
   1.69747 ,    -0.870611352161039E+00 ,     0.133161784906303E+01 ,    -0.214122396613322E+00 , 
   1.72737 ,    -0.771629008709767E+00 ,     0.128298638985177E+01 ,    -0.285379891590980E+00 , 
   1.75726 ,    -0.663522362281891E+00 ,     0.122363287084338E+01 ,    -0.361958637214110E+00 , 
   1.78715 ,    -0.546329640438488E+00 ,     0.115368040134952E+01 ,    -0.441761783404591E+00 , 
   1.81703 ,    -0.420435683126343E+00 ,     0.107349294237406E+01 ,    -0.522466464427958E+00 , 
   1.84691 ,    -0.286589850829744E+00 ,     0.983665660622585E+00 ,    -0.601629835776417E+00 , 
   1.87678 ,    -0.145909304720499E+00 ,     0.885008073020084E+00 ,    -0.676800900429110E+00 , 
   1.90664 ,     0.133019497625413E-03 ,     0.778520697377891E+00 ,    -0.745632379199313E+00 , 
   1.93650 ,     0.149735760008896E+00 ,     0.665366153784044E+00 ,    -0.805986948324643E+00 , 
   1.96636 ,     0.300811141274469E+00 ,     0.546835849294422E+00 ,    -0.856032532518848E+00 , 
   1.99620 ,     0.451040336269808E+00 ,     0.424313518270721E+00 ,    -0.894321979861607E+00 , 
   2.02604 ,     0.597940256883283E+00 ,     0.299236977103729E+00 ,    -0.919853318374922E+00 , 
   2.05588 ,     0.738939319408728E+00 ,     0.173059482316057E+00 ,    -0.932107853120227E+00 , 
   2.08571 ,     0.871459301594137E+00 ,     0.472120548852222E-01 ,    -0.931064548190444E+00 , 
   2.11553 ,     0.993000098488989E+00 ,    -0.769319467272081E-01 ,    -0.917190385263260E+00 , 
   2.14535 ,     0.110122401135171E+01 ,    -0.198088852351293E+00 ,    -0.891407632362162E+00 , 
   2.17516 ,     0.119403617603931E+01 ,    -0.315092325160088E+00 ,    -0.855040127463949E+00 , 
   2.20496 ,     0.126965785697119E+01 ,    -0.426915853927187E+00 ,    -0.809741720822017E+00 , 
   2.23476 ,     0.132668959562529E+01 ,    -0.532689552547035E+00 ,    -0.757410874666325E+00 , 
   2.26455 ,     0.136416159776069E+01 ,    -0.631710972938095E+00 ,    -0.700096047411849E+00 , 
   2.29433 ,     0.138156925429601E+01 ,    -0.723449886338303E+00 ,    -0.639896862641545E+00 , 
   2.32410 ,     0.137889229485335E+01 ,    -0.807547228746329E+00 ,    -0.578866166111787E+00 , 
   2.35387 ,     0.135659674396910E+01 ,    -0.883808628541107E+00 ,    -0.518917906784757E+00 , 
   2.38363 ,     0.131561955837012E+01 ,    -0.952193128928035E+00 ,    -0.461745354823164E+00 , 
   2.41339 ,     0.125733653829521E+01 ,    -0.101279787714654E+01 ,    -0.408753518412632E+00 , 
   2.44313 ,     0.118351479510040E+01 ,    -0.106583967052395E+01 ,    -0.361008781695369E+00 , 
   2.47287 ,     0.109625169098011E+01 ,    -0.111163432276064E+01 ,    -0.319207806800637E+00 , 
   2.50260 ,     0.997902716775835E+00 ,    -0.115057484078481E+01 ,    -0.283666679224306E+00 , 
   2.53233 ,     0.891001216562732E+00 ,    -0.118310938385797E+01 ,    -0.254330186290125E+00 , 
   2.56205 ,     0.778173183946631E+00 ,    -0.120971991521887E+01 ,    -0.230800061896738E+00 , 
   2.59175 ,     0.662050531476602E+00 ,    -0.123090235723460E+01 ,    -0.212380062940366E+00 , 
   2.62145 ,     0.545186264334805E+00 ,    -0.124714893024495E+01 ,    -0.198134913421489E+00 , 
   2.65115 ,     0.429974872189366E+00 ,    -0.125893320077969E+01 ,    -0.186959502443085E+00 , 
   2.68083 ,     0.318580995072334E+00 ,    -0.126669819520360E+01 ,    -0.177654282621119E+00 , 
   2.71051 ,     0.212879032927777E+00 ,    -0.127084775910876E+01 ,    -0.169002604349822E+00 , 
   2.74018 ,     0.114405872263155E+00 ,    -0.127174116988379E+01 ,    -0.159845744612500E+00 , 
   2.76984 ,     0.243283200933193E-01 ,    -0.126969084829319E+01 ,    -0.149151639518839E+00 , 
   2.79949 ,    -0.565738082764516E-01 ,    -0.126496287213331E+01 ,    -0.136073788267611E+00 , 
   2.82913 ,    -0.127908676076948E+00 ,    -0.125777987736001E+01 ,    -0.119997432755686E+00 , 
   2.85876 ,    -0.189657891196692E+00 ,    -0.124832584423060E+01 ,    -0.100570892627183E+00 , 
   2.88839 ,    -0.242147503981103E+00 ,    -0.123675221095291E+01 ,    -0.777208046248014E-01 , 
   2.91801 ,    -0.286006180146255E+00 ,    -0.122318473624470E+01 ,    -0.516509281446100E-01 , 
   2.94761 ,    -0.322112701498255E+00 ,    -0.120773054440305E+01 ,    -0.228250852057064E-01 , 
   2.97721 ,    -0.351535353492818E+00 ,    -0.119048482956639E+01 ,     0.806434645709402E-02 , 
   3.00680 ,    -0.375466045944857E+00 ,    -0.117153676587713E+01 ,     0.401402186138052E-01 , 
   3.03638 ,    -0.395152170858947E+00 ,    -0.115097426199795E+01 ,     0.723938965206202E-01 , 
   3.06596 ,    -0.411829224853058E+00 ,    -0.112888730571974E+01 ,     0.103744819681196E+00 , 
   3.09552 ,    -0.426657114549097E+00 ,    -0.110536976044966E+01 ,     0.133102863282492E+00 , 
   3.12507 ,    -0.440662829087870E+00 ,    -0.108051959320219E+01 ,     0.159429967334078E+00 , 
   3.15461 ,    -0.454691817547973E+00 ,    -0.105443762652715E+01 ,     0.181797638871564E+00 , 
   3.18415 ,    -0.469369968236969E+00 ,    -0.102722500832805E+01 ,     0.199437253417964E+00 , 
   3.21367 ,    -0.485077573177840E+00 ,    -0.998979678347434E+00 ,     0.211780562857208E+00 , 
   3.24318 ,    -0.501936099036049E+00 ,    -0.969792173945491E+00 ,     0.218488427373786E+00 , 
   3.27269 ,    -0.519808001254893E+00 ,    -0.939741157725984E+00 ,     0.219466492230362E+00 , 
   3.30218 ,    -0.538309237727887E+00 ,    -0.908889064067353E+00 ,     0.214867284819482E+00 , 
   3.33167 ,    -0.556833587567594E+00 ,    -0.877278250677676E+00 ,     0.205078970772432E+00 , 
   3.36114 ,    -0.574587383104413E+00 ,    -0.844928006330747E+00 ,     0.190701737681394E+00 , 
   3.39060 ,    -0.590632839852274E+00 ,    -0.811832709692152E+00 ,     0.172513431849516E+00 , 
   3.42006 ,    -0.603937836642263E+00 ,    -0.777961360468105E+00 ,     0.151426623093315E+00 , 
   3.44950 ,    -0.613429768759436E+00 ,    -0.743258617740887E+00 ,     0.128439687421747E+00 , 
   3.47893 ,    -0.618050978071202E+00 ,    -0.707647386613801E+00 ,     0.104584757966672E+00 , 
   3.50835 ,    -0.616813257996546E+00 ,    -0.671032898769085E+00 ,     0.808754903930925E-01 , 
   3.53777 ,    -0.608849034809077E+00 ,    -0.633308140790650E+00 ,     0.582575190727448E-01 , 
   3.56717 ,    -0.593457032435656E+00 ,    -0.594360401311158E+00 ,     0.375642526365005E-01 , 
   3.59656 ,    -0.570140523511705E+00 ,    -0.554078638766268E+00 ,     0.194802887110138E-01 , 
   3.62593 ,    -0.538636639234863E+00 ,    -0.512361319463345E+00 ,     0.451424165918537E-02 , 
   3.65530 ,    -0.498935635945877E+00 ,    -0.469124343430299E+00 ,    -0.701779616852246E-02 , 
   3.68466 ,    -0.451289476894248E+00 ,    -0.424308664564772E+00 ,    -0.149975658598767E-01 , 
   3.71400 ,    -0.396209561950867E+00 ,    -0.377887222197315E+00 ,    -0.194987762404774E-01 , 
   3.74334 ,    -0.334453904845929E+00 ,    -0.329870832356886E+00 ,    -0.207707364122544E-01 , 
   3.77266 ,    -0.267004496634979E+00 ,    -0.280312736711932E+00 ,    -0.192127339789137E-01 , 
   3.80197 ,    -0.195035987266444E+00 ,    -0.229311572315656E+00 ,    -0.153408949092473E-01 , 
   3.83127 ,    -0.119877148777798E+00 ,    -0.177012602097655E+00 ,    -0.974964075759967E-02 , 
   3.86056 ,    -0.429668415259313E-01 ,    -0.123607130162856E+00 ,    -0.307011143921065E-02 , 
   3.88983 ,     0.341936195610400E-01 ,    -0.693301127462237E-01 ,     0.407196414490410E-02 , 
   3.91910 ,     0.110089712983234E+00 ,    -0.144560604706401E-01 ,     0.110964948165763E-01 , 
   3.94835 ,     0.183242585809481E+00 ,     0.407065940526604E-01 ,     0.175050607024089E-01 , 
   3.97759 ,     0.252255651451198E+00 ,     0.958224212019606E-01 ,     0.229107523229685E-01 , 
   4.00682 ,     0.315857165201041E+00 ,     0.150536915402063E+00 ,     0.270602089071662E-01 , 
   4.03603 ,     0.372937259281592E+00 ,     0.204485077392363E+00 ,     0.298467265523607E-01 , 
   4.06524 ,     0.422578200153207E+00 ,     0.257300302009185E+00 ,     0.313138374286144E-01 , 
   4.09443 ,     0.464076951792158E+00 ,     0.308623212990631E+00 ,     0.316493149971564E-01 , 
   4.12361 ,     0.496959474028842E+00 ,     0.358110101058047E+00 ,     0.311701060821062E-01 , 
   4.15277 ,     0.520986538928235E+00 ,     0.405440652393973E+00 ,     0.302991986056105E-01 , 
   4.18193 ,     0.536151195073541E+00 ,     0.450324699386726E+00 ,     0.295358765907669E-01 , 
   4.21107 ,     0.542668335006599E+00 ,     0.492507781248768E+00 ,     0.294211685203211E-01 , 
