 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.273317400012273E+01 ,     0.338109223190224E+00 ,    -0.114620751630354E+01 , 
   0.49828 ,    -0.268857061653830E+01 ,     0.403207898119775E+00 ,    -0.106502114007110E+01 , 
   0.52832 ,    -0.263985979826891E+01 ,     0.472419021045914E+00 ,    -0.971787704608684E+00 , 
   0.55835 ,    -0.258780942163860E+01 ,     0.544683545909771E+00 ,    -0.868458156300434E+00 , 
   0.58838 ,    -0.253331637930871E+01 ,     0.618804209613675E+00 ,    -0.757406662491085E+00 , 
   0.61841 ,    -0.247736907582627E+01 ,     0.693490725919113E+00 ,    -0.641325746042535E+00 , 
   0.64843 ,    -0.242100535614857E+01 ,     0.767410147040829E+00 ,    -0.523107003801851E+00 , 
   0.67846 ,    -0.236526792869049E+01 ,     0.839239967053652E+00 ,    -0.405713479544084E+00 , 
   0.70848 ,    -0.231115944092847E+01 ,     0.907721402302420E+00 ,    -0.292050122410270E+00 , 
   0.73850 ,    -0.225959934901833E+01 ,     0.971710274494979E+00 ,    -0.184838787822695E+00 , 
   0.76852 ,    -0.221138459615961E+01 ,     0.103022304152361E+01 ,    -0.865039311019293E-01 , 
   0.79854 ,    -0.216715588643098E+01 ,     0.108247576214199E+01 ,     0.925476257794558E-03 , 
   0.82855 ,    -0.212737102576228E+01 ,     0.112791413009768E+01 ,     0.758931759977349E-01 , 
   0.85856 ,    -0.209228641832454E+01 ,     0.116623315247085E+01 ,     0.137368493133731E+00 , 
   0.88857 ,    -0.206194737701447E+01 ,     0.119738555274393E+01 ,     0.184872635259732E+00 , 
   0.91857 ,    -0.203618745507294E+01 ,     0.122157852539381E+01 ,     0.218477601169299E+00 , 
   0.94858 ,    -0.201463655709492E+01 ,     0.123925902775322E+01 ,     0.238778294251786E+00 , 
   0.97858 ,    -0.199673716592882E+01 ,     0.125108833852445E+01 ,     0.246839801320811E+00 , 
   1.00857 ,    -0.198176764933522E+01 ,     0.125790711388938E+01 ,     0.244123041836376E+00 , 
   1.03857 ,    -0.196887130561152E+01 ,     0.126069260750083E+01 ,     0.232393052391888E+00 , 
   1.06856 ,    -0.195708958524634E+01 ,     0.126051006942334E+01 ,     0.213614993836763E+00 , 
   1.09855 ,    -0.194539779558485E+01 ,     0.125846058576122E+01 ,     0.189843513646466E+00 , 
   1.12853 ,    -0.193274156153895E+01 ,     0.125562775518793E+01 ,     0.163111339410082E+00 , 
   1.15851 ,    -0.191807237606003E+01 ,     0.125302561666785E+01 ,     0.135322912105255E+00 , 
   1.18849 ,    -0.190038072252829E+01 ,     0.125155014608156E+01 ,     0.108158498189086E+00 , 
   1.21846 ,    -0.187872547565897E+01 ,     0.125193643567777E+01 ,     0.829935713234009E-01 , 
   1.24843 ,    -0.185225857216852E+01 ,     0.125472337190423E+01 ,     0.608373660220827E-01 , 
   1.27840 ,    -0.182024426840822E+01 ,     0.126022725121909E+01 ,     0.422934270548850E-01 , 
   1.30836 ,    -0.178207264870040E+01 ,     0.126852534033642E+01 ,     0.275437697669032E-01 , 
   1.33832 ,    -0.173726739382668E+01 ,     0.127944991962265E+01 ,     0.163569932729955E-01 , 
   1.36827 ,    -0.168548814330787E+01 ,     0.129259286963554E+01 ,     0.811941887512241E-02 , 
   1.39822 ,    -0.162652806895663E+01 ,     0.130732039442763E+01 ,     0.188712689693030E-02 , 
   1.42817 ,    -0.156030750483074E+01 ,     0.132279704311454E+01 ,    -0.354430148122160E-02 , 
   1.45811 ,    -0.148686463819317E+01 ,     0.133801781270171E+01 ,    -0.955641080406403E-02 , 
   1.48805 ,    -0.140634434994541E+01 ,     0.135184680620510E+01 ,    -0.176155898501423E-01 , 
   1.51798 ,    -0.131898629868491E+01 ,     0.136306069250518E+01 ,    -0.291769953720459E-01 , 
   1.54791 ,    -0.122511327244995E+01 ,     0.137039507539035E+01 ,    -0.455899077949437E-01 , 
   1.57783 ,    -0.112512069348758E+01 ,     0.137259183137998E+01 ,    -0.680095815131116E-01 , 
   1.60775 ,    -0.101946796536019E+01 ,     0.136844551701056E+01 ,    -0.973202244369235E-01 , 
   1.63766 ,    -0.908672113187027E+00 ,     0.135684706982435E+01 ,    -0.134073076931916E+00 , 
   1.66757 ,    -0.793303904075895E+00 ,     0.133682322303477E+01 ,    -0.178442698699648E+00 , 
   1.69747 ,    -0.673986364485866E+00 ,     0.130757030841215E+01 ,    -0.230203562665573E+00 , 
   1.72737 ,    -0.551395353217094E+00 ,     0.126848141979378E+01 ,    -0.288727953693199E+00 , 
   1.75726 ,    -0.426261620798409E+00 ,     0.121916623397167E+01 ,    -0.353005036883083E+00 , 
   1.78715 ,    -0.299373603985474E+00 ,     0.115946311945249E+01 ,    -0.421679855826649E+00 , 
   1.81703 ,    -0.171580080559308E+00 ,     0.108944349025347E+01 ,    -0.493110003249723E+00 , 
   1.84691 ,    -0.437917534333340E-01 ,     0.100940866651242E+01 ,    -0.565436827036286E+00 , 
   1.87678 ,     0.830191513569842E-01 ,     0.919879773466524E+00 ,    -0.636667337288808E+00 , 
   1.90664 ,     0.207822101157917E+00 ,     0.821581435258804E+00 ,    -0.704762497891677E+00 , 
   1.93650 ,     0.329534962448067E+00 ,     0.715420193151754E+00 ,    -0.767727339891078E+00 , 
   1.96636 ,     0.447034659649598E+00 ,     0.602458695432164E+00 ,    -0.823698331768413E+00 , 
   1.99620 ,     0.559171995585409E+00 ,     0.483886768202116E+00 ,    -0.871023678081859E+00 , 
   2.02604 ,     0.664790558649983E+00 ,     0.360990485015976E+00 ,    -0.908332675097393E+00 , 
   2.05588 ,     0.762749347942394E+00 ,     0.235120314233885E+00 ,    -0.934590900672025E+00 , 
   2.08571 ,     0.851948462359467E+00 ,     0.107659343431203E+00 ,    -0.949138816983016E+00 , 
   2.11553 ,     0.931356941557489E+00 ,    -0.200075308480361E-01 ,    -0.951712272659933E+00 , 
   2.14535 ,     0.100004163292954E+01 ,    -0.146522692514976E+00 ,    -0.942444354801594E+00 , 
   2.17516 ,     0.105719580399236E+01 ,    -0.270582563696315E+00 ,    -0.921849008798699E+00 , 
   2.20496 ,     0.110216613510734E+01 ,    -0.390961566999237E+00 ,    -0.890787763474513E+00 , 
   2.23476 ,     0.113447672043307E+01 ,    -0.506532969410023E+00 ,    -0.850421723271728E+00 , 
   2.26455 ,     0.115384877799221E+01 ,    -0.616286412948483E+00 ,    -0.802151676831542E+00 , 
   2.29433 ,     0.116021492052148E+01 ,    -0.719342047133743E+00 ,    -0.747549689490324E+00 , 
   2.32410 ,     0.115372706045360E+01 ,    -0.814961267112138E+00 ,    -0.688285873072506E+00 , 
   2.35387 ,     0.113475730372209E+01 ,    -0.902554127923164E+00 ,    -0.626054147944921E+00 , 
   2.38363 ,     0.110389151315853E+01 ,    -0.981683550738700E+00 ,    -0.562500728996900E+00 , 
   2.41339 ,     0.106191557529164E+01 ,    -0.105206646359899E+01 ,    -0.499158789470089E+00 , 
   2.44313 ,     0.100979476476615E+01 ,    -0.111357203112099E+01 ,    -0.437392305047675E+00 , 
   2.47287 ,     0.948646948092497E+00 ,    -0.116621712971164E+01 ,    -0.378351484820371E+00 , 
   2.50260 ,     0.879710683231530E+00 ,    -0.121015922224669E+01 ,    -0.322941492166171E+00 , 
   2.53233 ,     0.804309535477908E+00 ,    -0.124568678417631E+01 ,    -0.271805388521399E+00 , 
   2.56205 ,     0.723814127819325E+00 ,    -0.127320743625774E+01 ,    -0.225321440227076E+00 , 
   2.59175 ,     0.639603563639257E+00 ,    -0.129323395131349E+01 ,    -0.183614156828896E+00 , 
   2.62145 ,     0.553027893859308E+00 ,    -0.130636832601671E+01 ,    -0.146577719695886E+00 , 
   2.65115 ,     0.465373246742704E+00 ,    -0.131328414466459E+01 ,    -0.113909849288299E+00 , 
   2.68083 ,     0.377831098937567E+00 ,    -0.131470750957246E+01 ,    -0.851536780261673E-01 , 
   2.71051 ,     0.291472948133149E+00 ,    -0.131139686989109E+01 ,    -0.597448656711269E-01 , 
   2.74018 ,     0.207231362620720E+00 ,    -0.130412214368465E+01 ,    -0.370610286238914E-01 , 
   2.76984 ,     0.125888046613787E+00 ,    -0.129364359221606E+01 ,    -0.164705572701261E-01 , 
   2.79949 ,     0.480691908729134E-01 ,    -0.128069096497689E+01 ,     0.262193922997085E-02 , 
   2.82913 ,    -0.257520035996305E-01 ,    -0.126594348309864E+01 ,     0.207360080699059E-01 , 
   2.85876 ,    -0.952461141156724E-01 ,    -0.125001126150634E+01 ,     0.382835563225161E-01 , 
   2.88839 ,    -0.160212426095206E+00 ,    -0.123341878119093E+01 ,     0.555463554961652E-01 , 
   2.91801 ,    -0.220559128232846E+00 ,    -0.121659100795203E+01 ,     0.726637201778193E-01 , 
   2.94761 ,    -0.276280127404939E+00 ,    -0.119984270994918E+01 ,     0.896306063256075E-01 , 
   2.97721 ,    -0.327429990265700E+00 ,    -0.118337145214026E+01 ,     0.106305755683695E+00 , 
   3.00680 ,    -0.374098585044985E+00 ,    -0.116725464180623E+01 ,     0.122428936887316E+00 , 
   3.03638 ,    -0.416386974109713E+00 ,    -0.115145086845178E+01 ,     0.137645832439065E+00 , 
   3.06596 ,    -0.454385996955130E+00 ,    -0.113580562792917E+01 ,     0.151538720089532E+00 , 
   3.09552 ,    -0.488158791007321E+00 ,    -0.112006135088379E+01 ,     0.163660817018081E+00 , 
   3.12507 ,    -0.517728235121591E+00 ,    -0.110387147722245E+01 ,     0.173572007966358E+00 , 
   3.15461 ,    -0.543069983121660E+00 ,    -0.108681813994409E+01 ,     0.180873668622330E+00 , 
   3.18415 ,    -0.564111400446410E+00 ,    -0.106843285258465E+01 ,     0.185240419646723E+00 , 
   3.21367 ,    -0.580736346359636E+00 ,    -0.104821944397007E+01 ,     0.186446893806419E+00 , 
   3.24318 ,    -0.592795378584198E+00 ,    -0.102567836067355E+01 ,     0.184387951046506E+00 , 
   3.27269 ,    -0.600120617730925E+00 ,    -0.100033136920678E+01 ,     0.179091210771313E+00 , 
   3.30218 ,    -0.602544215129415E+00 ,    -0.971745642664986E+00 ,     0.170721259811342E+00 , 
   3.33167 ,    -0.599919136681006E+00 ,    -0.939556214466854E+00 ,     0.159575408795966E+00 , 
   3.36114 ,    -0.592140820645966E+00 ,    -0.903485826902149E+00 ,     0.146071378521202E+00 , 
   3.39060 ,    -0.579168198031212E+00 ,    -0.863361293905783E+00 ,     0.130727772054826E+00 , 
   3.42006 ,    -0.561042584798627E+00 ,    -0.819125632822416E+00 ,     0.114138601124611E+00 , 
   3.44950 ,    -0.537903064700698E+00 ,    -0.770845393533018E+00 ,     0.969434643178368E-01 , 
   3.47893 ,    -0.509997174329904E+00 ,    -0.718712817658233E+00 ,     0.797952026511824E-01 , 
   3.50835 ,    -0.477685967343481E+00 ,    -0.663042686317174E+00 ,     0.633269742128168E-01 , 
   3.53777 ,    -0.441442858023471E+00 ,    -0.604263951465240E+00 ,     0.481206895693891E-01 , 
   3.56717 ,    -0.401846007224128E+00 ,    -0.542906481743236E+00 ,     0.346786359713279E-01 , 
   3.59656 ,    -0.359564395865766E+00 ,    -0.479583477445022E+00 ,     0.233999000534428E-01 , 
   3.62593 ,    -0.315338110767398E+00 ,    -0.414970309489024E+00 ,     0.145628905047232E-01 , 
   3.65530 ,    -0.269953723081542E+00 ,    -0.349780704029527E+00 ,     0.831488371037339E-02 , 
   3.68466 ,    -0.224215950426772E+00 ,    -0.284741319016561E+00 ,     0.466908991526414E-02 , 
   3.71400 ,    -0.178917041889676E+00 ,    -0.220565835105526E+00 ,     0.350929051024081E-02 , 
   3.74334 ,    -0.134805495647164E+00 ,    -0.157929706733016E+00 ,     0.460165481692489E-02 , 
   3.77266 ,    -0.925558015131732E-01 ,    -0.974466884567930E-01 ,     0.761293267831858E-02 , 
   3.80197 ,    -0.527408895234480E-01 ,    -0.396481680781354E-01 ,     0.121338604752432E-01 , 
   3.83127 ,    -0.158088601727757E-01 ,     0.150337944262290E-01 ,     0.177063326173309E-01 , 
   3.86056 ,     0.179346232487902E-01 ,     0.662789981101739E-01 ,     0.238526932945358E-01 , 
   3.88983 ,     0.483371749931150E-01 ,     0.113886687230110E+00 ,     0.301054041955615E-01 , 
   3.91910 ,     0.754029958172119E-01 ,     0.157777909713931E+00 ,     0.360353471001806E-01 , 
   3.94835 ,     0.992882758513252E-01 ,     0.197992609927609E+00 ,     0.412771239275057E-01 , 
   3.97759 ,     0.120288733536521E+00 ,     0.234681662542214E+00 ,     0.455499134745560E-01 , 
   4.00682 ,     0.138819754988635E+00 ,     0.268094287248729E+00 ,     0.486727210470830E-01 , 
   4.03603 ,     0.155390002921521E+00 ,     0.298561493826485E+00 ,     0.505731974492693E-01 , 
   4.06524 ,     0.170569729655723E+00 ,     0.326476383556058E+00 ,     0.512895870238903E-01 , 
   4.09443 ,     0.184955334722315E+00 ,     0.352272267841482E+00 ,     0.509657681694616E-01 , 
   4.12361 ,     0.199131937142610E+00 ,     0.376399651998018E+00 ,     0.498397507434198E-01 , 
   4.15277 ,     0.213635872563199E+00 ,     0.399303167760209E+00 ,     0.482263702390064E-01 , 
   4.18193 ,     0.228919067647819E+00 ,     0.421399521088147E+00 ,     0.464952476281667E-01 , 
   4.21107 ,     0.245317185185483E+00 ,     0.443057453868992E+00 ,     0.450453482526043E-01 , 
   4.24019 ,     0.263023275287883E+00 ,     0.464580603237637E+00 ,     0.442776589721646E-01 , 
   4.26931 ,     0.282068418054059E+00 ,     0.486193986883468E+00 ,     0.445676004181603E-01 , 
   4.29841 ,     0.302310513259844E+00 ,     0.508034655213589E+00 ,     0.462387962040009E-01 , 
   4.32750 ,     0.323431979290868E+00 ,     0.530146841429473E+00 ,     0.495397341201205E-01 , 
   4.35658 ,     0.344946686366283E+00 ,     0.552481719218450E+00 ,     0.546246816097196E-01 , 
   4.38564 ,     0.366215990136962E+00 ,     0.574901656021701E+00 ,     0.615399698234806E-01 , 
   4.41469 ,     0.386473274239835E+00 ,     0.597188638678786E+00 ,     0.702164519710780E-01 , 
   4.44372 ,     0.404855977608596E+00 ,     0.619056357873433E+00 ,     0.804685903829403E-01 , 
   4.47275 ,     0.420443696343774E+00 ,     0.640165277161086E+00 ,     0.920002526602758E-01 , 
   4.50175 ,     0.432300630461946E+00 ,     0.660139888693653E+00 ,     0.104416921515606E+00 , 
   4.53075 ,     0.439520409258855E+00 ,     0.678587276285815E+00 ,     0.117243666204865E+00 , 
   4.55973 ,     0.441271187536641E+00 ,     0.695116070147926E+00 ,     0.129947905321006E+00 , 
   4.58870 ,     0.436838865965931E+00 ,     0.709354887043578E+00 ,     0.141965728281908E+00 , 
   4.61765 ,     0.425666354618732E+00 ,     0.720969403081946E+00 ,     0.152730349949435E+00 , 
   4.64659 ,     0.407386966194487E+00 ,     0.729677299905534E+00 ,     0.161701159323600E+00 , 
   4.67551 ,     0.381850286552873E+00 ,     0.735260452831218E+00 ,     0.168391794561003E+00 , 
   4.70442 ,     0.349139212085674E+00 ,     0.737573884115236E+00 ,     0.172395733371373E+00 , 
   4.73332 ,     0.309577249433504E+00 ,     0.736551177356142E+00 ,     0.173408026188912E+00 , 
   4.76220 ,     0.263725623179003E+00 ,     0.732206230859967E+00 ,     0.171242011056902E+00 , 
   4.79107 ,     0.212370209411918E+00 ,     0.724631409125463E+00 ,     0.165840121706085E+00 , 
   4.81992 ,     0.156498784454893E+00 ,     0.713992323336027E+00 ,     0.157278218509671E+00 , 
   4.84876 ,     0.972695257168382E-01 ,     0.700519625520440E+00 ,     0.145763218255895E+00 , 
   4.87758 ,     0.359721040626178E-01 ,     0.684498329710535E+00 ,     0.131624154108213E+00 , 
   4.90639 ,    -0.260169549205249E-01 ,     0.666255271352681E+00 ,     0.115297142595094E+00 , 
   4.93519 ,    -0.872827056921411E-01 ,     0.646145379569449E+00 ,     0.973050516459245E-01 , 
   4.96396 ,    -0.146421912928014E+00 ,     0.624537463688563E+00 ,     0.782329359876012E-01 , 
   4.99273 ,    -0.202092710219923E+00 ,     0.601800205789953E+00 ,     0.587005196797254E-01 , 
   5.02147 ,    -0.253061655834693E+00 ,     0.578289006798813E+00 ,     0.393331495636139E-01 , 
   5.05021 ,    -0.298246188424893E+00 ,     0.554334258536482E+00 ,     0.207327111420888E-01 , 
   5.07893 ,    -0.336750711463004E+00 ,     0.530231513279208E+00 ,     0.344998724599270E-02 , 
   5.10763 ,    -0.367894840764477E+00 ,     0.506233902076954E+00 ,    -0.120401486500900E-01 , 
   5.13631 ,    -0.391232719257233E+00 ,     0.482547020447850E+00 ,    -0.253594727907210E-01 , 
   5.16498 ,    -0.406562718728500E+00 ,     0.459326362571425E+00 ,    -0.362420760590364E-01 , 
   5.19364 ,    -0.413927289263426E+00 ,     0.436677250210567E+00 ,    -0.445442167575400E-01 , 
   5.22228 ,    -0.413603162186487E+00 ,     0.414657077329946E+00 ,    -0.502479319405389E-01 , 
   5.25090 ,    -0.406082540362391E+00 ,     0.393279581993427E+00 ,    -0.534583038064463E-01 , 
   5.27951 ,    -0.392046300711289E+00 ,     0.372520768767861E+00 ,    -0.543946046714498E-01 , 
   5.30810 ,    -0.372330569873771E+00 ,     0.352326041356624E+00 ,    -0.533758552240572E-01 , 
   5.33668 ,    -0.347888300217958E+00 ,     0.332618068863351E+00 ,    -0.508016101682584E-01 , 
   5.36523 ,    -0.319747658547273E+00 ,     0.313304900709733E+00 ,    -0.471290189782831E-01 , 
   5.39378 ,    -0.288969136798140E+00 ,     0.294287864014828E+00 ,    -0.428473858975536E-01 , 
   5.42230 ,    -0.256603299959849E+00 ,     0.275468820947222E+00 ,    -0.384515642654131E-01 , 
