Time       moves_acc moves_gen     G(r)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01
022334.946        4395       32602  0.913E-03
022346.955        6123       66074  0.908E-03
022358.948        7990      102835  0.905E-03
022410.945        9487      131819  0.904E-03
022422.946       11583      172158  0.897E-03
022434.949       13061      202230  0.894E-03
022446.949       14856      238051  0.890E-03
022458.947       17271      286651  0.886E-03
022510.944       19398      329805  0.881E-03
022522.945       21248      365711  0.874E-03
022534.945       23420      410944  0.870E-03
022546.943       25573      453515  0.867E-03
022558.945       27576      494339  0.865E-03
022610.946       29671      537347  0.861E-03
022622.946       32355      590481  0.858E-03
022634.944       34717      638800  0.855E-03
022646.961       36890      682662  0.852E-03
022658.946       39110      729176  0.849E-03
022710.945       41482      776175  0.848E-03
022722.948       43798      821247  0.848E-03
022734.946       46269      870160  0.844E-03
022746.946       48312      909179  0.842E-03
022758.950       50327      948035  0.841E-03
022810.943       52368      987970  0.837E-03
022822.946       54036     1021529  0.835E-03
022834.964       56077     1060025  0.833E-03
022846.941       57717     1093018  0.832E-03
022858.944       59717     1133283  0.830E-03
022910.946       62097     1179514  0.828E-03
022922.945       64068     1217419  0.826E-03
022934.948       65893     1252682  0.825E-03
022946.943       68431     1302075  0.823E-03
022958.946       71075     1350803  0.822E-03
023010.949       73721     1401582  0.822E-03
023022.945       76179     1448112  0.819E-03
023034.945       78698     1496438  0.818E-03
023046.966       81081     1544026  0.816E-03
023058.944       83260     1585161  0.816E-03
023110.946       85441     1627551  0.810E-03
023122.950       88071     1678514  0.810E-03
023134.946       90468     1721227  0.809E-03
023146.945       92757     1765117  0.808E-03
023158.947       95618     1819422  0.806E-03
023210.945       98233     1867646  0.801E-03
023222.947      101376     1927112  0.795E-03
023234.948      103855     1973472  0.792E-03
023246.945      105834     2011921  0.792E-03
023258.945      107981     2053647  0.791E-03
023310.947      110039     2093247  0.790E-03
023322.946      112188     2135032  0.788E-03
