Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
010000.835        8722       19885  0.738E-01  0.994E+00
010012.855       13031       34938  0.586E-01  0.993E+00
010024.826       16168       49648  0.500E-01  0.992E+00
010036.869       19613       63921  0.430E-01  0.992E+00
010048.853       23581       81326  0.370E-01  0.991E+00
010100.834       27707      100203  0.317E-01  0.991E+00
010112.827       30595      114071  0.294E-01  0.991E+00
010124.823       33368      127705  0.276E-01  0.990E+00
010136.836       36682      145446  0.259E-01  0.990E+00
010148.867       39161      160245  0.255E-01  0.990E+00
010200.822       41295      173752  0.248E-01  0.990E+00
010212.875       44429      195615  0.338E-01  0.139E+01
010224.865       46650      211704  0.234E-01  0.990E+00
010236.864       48734      227402  0.230E-01  0.990E+00
010248.864       51762      251416  0.227E-01  0.989E+00
010300.822       53218      263410  0.224E-01  0.989E+00
010312.863       54924      277527  0.223E-01  0.989E+00
010324.853       56446      290579  0.222E-01  0.989E+00
010336.826       59182      306948  0.221E-01  0.989E+00
010348.825       60584      318007  0.220E-01  0.989E+00
010400.841       62451      333762  0.172E-01  0.785E+00
010412.851       65447      360561  0.216E-01  0.989E+00
010424.850       67437      378277  0.214E-01  0.989E+00
010436.829       69452      397234  0.213E-01  0.989E+00
010448.871       70793      409668  0.213E-01  0.989E+00
010500.827       72936      429619  0.211E-01  0.989E+00
010512.822       74556      444949  0.211E-01  0.989E+00
010524.823       76908      467527  0.209E-01  0.989E+00
010536.845       78655      484567  0.208E-01  0.989E+00
010548.825       80260      500179  0.207E-01  0.989E+00
010600.830       81980      517103  0.207E-01  0.989E+00
010612.839       83173      528833  0.206E-01  0.989E+00
010624.818       85439      551501  0.203E-01  0.989E+00
010636.914       86752      564366  0.190E-01  0.925E+00
010648.824       88798      584502  0.202E-01  0.989E+00
010700.832       90327      600467  0.201E-01  0.989E+00
010712.841       92287      619876  0.200E-01  0.989E+00
010724.843       93746      634715  0.198E-01  0.989E+00
010736.823       94792      645536  0.198E-01  0.989E+00
010748.823       95986      657020  0.198E-01  0.989E+00
010800.837       97194      669583  0.197E-01  0.989E+00
010812.831       98335      681061  0.197E-01  0.989E+00
010824.839       99732      695180  0.196E-01  0.989E+00
010836.826      100629      704568  0.196E-01  0.989E+00
010848.863      101717      715599  0.196E-01  0.989E+00
010900.820      103724      736615  0.195E-01  0.989E+00
010912.828      105055      750026  0.194E-01  0.989E+00
010924.842      106930      769333  0.194E-01  0.989E+00
010936.824      108490      785154  0.193E-01  0.989E+00
010948.827      109538      796089  0.193E-01  0.989E+00
011000.823      111378      815324  0.192E-01  0.989E+00
011012.838      112948      831883  0.191E-01  0.989E+00
011024.870      114291      845944  0.191E-01  0.989E+00
011036.824      115958      863464  0.190E-01  0.989E+00
011048.866      117372      878773  0.190E-01  0.989E+00
011100.845      118632      892051  0.189E-01  0.989E+00
011112.823      120195      908677  0.188E-01  0.989E+00
011124.824      121478      922129  0.187E-01  0.989E+00
011136.848      122691      934810  0.186E-01  0.989E+00
011148.825      124117      949744  0.186E-01  0.989E+00
011200.822      126058      970579  0.185E-01  0.989E+00
011212.853      127426      985415  0.184E-01  0.989E+00
011224.845      128737      998969  0.183E-01  0.989E+00
011236.829      130543     1017925  0.183E-01  0.989E+00
011248.860      132428     1037912  0.183E-01  0.989E+00
011300.823      134119     1055946  0.182E-01  0.989E+00
011312.817      136117     1077634  0.181E-01  0.989E+00
011324.818      141502     1135181  0.180E-01  0.989E+00
011336.817      146647     1189313  0.178E-01  0.989E+00
011348.819      151487     1241812  0.176E-01  0.989E+00
011400.822      156178     1293212  0.174E-01  0.989E+00
011412.817      161100     1345924  0.174E-01  0.989E+00
011424.819      166341     1402529  0.173E-01  0.989E+00
011436.817      171449     1458470  0.171E-01  0.989E+00
011448.818      177035     1519805  0.168E-01  0.989E+00
011500.817      182550     1579952  0.167E-01  0.990E+00
011512.817      188067     1638688  0.165E-01  0.990E+00
011524.845      193391     1696148  0.150E-01  0.909E+00
011536.817      198831     1755750  0.162E-01  0.990E+00
011548.817      204014     1813475  0.161E-01  0.990E+00
011600.829      208876     1866329  0.169E-01  0.105E+01
011612.817      214035     1922610  0.158E-01  0.990E+00
011624.817      219277     1979948  0.157E-01  0.990E+00
011636.818      224645     2039247  0.156E-01  0.990E+00
011648.827      229885     2097938  0.154E-01  0.990E+00
011700.821      235271     2156801  0.152E-01  0.990E+00
011712.817      240397     2215380  0.150E-01  0.990E+00
011724.817      245757     2274618  0.149E-01  0.990E+00
011736.819      251171     2333809  0.147E-01  0.990E+00
011748.829      256079     2387927  0.145E-01  0.991E+00
011800.818      260907     2442073  0.144E-01  0.991E+00
011812.817      266013     2498602  0.143E-01  0.991E+00
011824.817      271368     2556935  0.141E-01  0.991E+00
011836.817      276649     2614933  0.139E-01  0.991E+00
011848.820      281517     2668173  0.136E-01  0.991E+00
011900.818      286152     2720007  0.134E-01  0.991E+00
011912.818      290941     2772870  0.133E-01  0.991E+00
011924.821      296259     2830776  0.131E-01  0.991E+00
011936.817      301060     2884009  0.129E-01  0.991E+00
011948.817      306174     2940667  0.128E-01  0.991E+00
012000.816      310855     2993533  0.127E-01  0.992E+00
012012.817      316127     3051305  0.126E-01  0.992E+00
012024.817      321059     3105711  0.124E-01  0.992E+00
012036.822      325911     3159527  0.124E-01  0.992E+00
012048.866      331175     3216619  0.103E-01  0.825E+00
012100.846      336285     3273634  0.127E-01  0.102E+01
012112.818      341225     3327921  0.121E-01  0.992E+00
012124.820      346610     3387355  0.120E-01  0.992E+00
012136.817      351688     3442894  0.119E-01  0.992E+00
012148.817      356757     3499108  0.117E-01  0.992E+00
012200.817      362024     3557231  0.116E-01  0.992E+00
012212.817      367263     3614498  0.114E-01  0.992E+00
012224.818      372538     3672773  0.113E-01  0.992E+00
012236.818      377402     3729322  0.112E-01  0.992E+00
012248.819      382518     3786456  0.111E-01  0.992E+00
012300.816      387328     3840540  0.110E-01  0.992E+00
012312.818      392830     3902923  0.109E-01  0.993E+00
012324.817      397951     3961076  0.108E-01  0.993E+00
012336.817      403172     4019217  0.107E-01  0.993E+00
012348.824      406451     4055204  0.106E-01  0.993E+00
012400.824      407823     4070092  0.106E-01  0.993E+00
012412.836      408840     4081187  0.106E-01  0.993E+00
012424.829      409862     4092686  0.106E-01  0.993E+00
012436.823      411337     4109371  0.106E-01  0.993E+00
012448.835      412181     4119755  0.105E-01  0.993E+00
012500.824      413272     4132002  0.105E-01  0.993E+00
012512.832      414849     4150524  0.104E-01  0.993E+00
012524.822      416007     4163418  0.104E-01  0.993E+00
012536.840      417427     4179309  0.104E-01  0.993E+00
012548.830      418252     4188564  0.104E-01  0.993E+00
012600.825      419391     4201741  0.104E-01  0.993E+00
012612.827      420624     4214984  0.104E-01  0.993E+00
012624.857      421786     4228013  0.104E-01  0.993E+00
012636.826      423017     4241666  0.104E-01  0.993E+00
012648.834      423170     4243355  0.104E-01  0.993E+00
012700.902      423310     4245274  0.104E-01  0.993E+00
012712.876      423444     4246522  0.104E-01  0.993E+00
012724.832      423532     4247309  0.104E-01  0.993E+00
012736.857      423618     4248290  0.104E-01  0.993E+00
012748.869      423858     4250844  0.104E-01  0.993E+00
012800.854      424074     4253220  0.104E-01  0.993E+00
012812.846      424185     4254562  0.104E-01  0.993E+00
012824.826      424332     4256191  0.104E-01  0.993E+00
012836.850      424382     4256976  0.104E-01  0.993E+00
012848.864      424560     4258508  0.104E-01  0.993E+00
012900.835      424745     4260465  0.104E-01  0.993E+00
012912.854      424979     4263445  0.104E-01  0.993E+00
012924.856      425165     4265455  0.104E-01  0.993E+00
012936.860      425397     4268168  0.104E-01  0.993E+00
012948.858      425511     4269511  0.104E-01  0.993E+00
