 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.235076900629424E+01 ,     0.712716455134683E+00 ,    -0.662151161016896E+00 , 
   0.49828 ,    -0.213711644525257E+01 ,     0.104406727156829E+01 ,    -0.160688460402250E+00 , 
   0.52832 ,    -0.208185127860912E+01 ,     0.118728409919971E+01 ,     0.145744695288246E+00 , 
   0.55835 ,    -0.214792201634880E+01 ,     0.116213059672720E+01 ,     0.235811434052966E+00 , 
   0.58839 ,    -0.226488053385695E+01 ,     0.103634665998974E+01 ,     0.150614068233058E+00 , 
   0.61842 ,    -0.236191730901066E+01 ,     0.892421565149400E+00 ,    -0.302999023628338E-01 , 
   0.64846 ,    -0.239554644296448E+01 ,     0.795085199590105E+00 ,    -0.220784572839343E+00 , 
   0.67849 ,    -0.236190922404111E+01 ,     0.771294108156812E+00 ,    -0.356282123855146E+00 , 
   0.70853 ,    -0.229092279943236E+01 ,     0.808200856565444E+00 ,    -0.409739692630657E+00 , 
   0.73856 ,    -0.222707565800431E+01 ,     0.867032069062458E+00 ,    -0.392043445357850E+00 , 
   0.76860 ,    -0.220653743993046E+01 ,     0.904974829597804E+00 ,    -0.339481742943517E+00 , 
   0.79863 ,    -0.224071086021789E+01 ,     0.895123284252486E+00 ,    -0.294788863771633E+00 , 
   0.82867 ,    -0.231261779464922E+01 ,     0.836639167552332E+00 ,    -0.289499937198355E+00 , 
   0.85870 ,    -0.238646895856094E+01 ,     0.752246143873059E+00 ,    -0.333647005161843E+00 , 
   0.88874 ,    -0.242509906346874E+01 ,     0.675723930612144E+00 ,    -0.415248085924193E+00 , 
   0.91878 ,    -0.240698284836651E+01 ,     0.635906435947336E+00 ,    -0.508125227140350E+00 , 
   0.94881 ,    -0.233532301193003E+01 ,     0.644439442036990E+00 ,    -0.583788260500580E+00 , 
   0.97885 ,    -0.223563121041001E+01 ,     0.692218745846547E+00 ,    -0.622292086881403E+00 , 
   1.00888 ,    -0.214343945142509E+01 ,     0.755267514172127E+00 ,    -0.618137316924851E+00 , 
   1.03892 ,    -0.208798864723864E+01 ,     0.806716197076989E+00 ,    -0.579726618478933E+00 , 
   1.06895 ,    -0.207921003198079E+01 ,     0.829220254363121E+00 ,    -0.523529791163394E+00 , 
   1.09899 ,    -0.210356446882876E+01 ,     0.822413117052937E+00 ,    -0.465944819783219E+00 , 
   1.12902 ,    -0.213024389055432E+01 ,     0.802520230740297E+00 ,    -0.416304555399944E+00 , 
   1.15906 ,    -0.212471166432040E+01 ,     0.794809123717933E+00 ,    -0.373591927768383E+00 , 
   1.18909 ,    -0.206351772023738E+01 ,     0.822543817307597E+00 ,    -0.327710037295710E+00 , 
   1.21913 ,    -0.194400207366005E+01 ,     0.897327279711841E+00 ,    -0.264358346059861E+00 , 
   1.24916 ,    -0.178491989803985E+01 ,     0.101477209075375E+01 ,    -0.171361893825017E+00 , 
   1.27920 ,    -0.161804000747697E+01 ,     0.115689700383783E+01 ,    -0.440379581491001E-01 , 
   1.30923 ,    -0.147461216662386E+01 ,     0.129970301713745E+01 ,     0.112184399119174E+00 , 
   1.33927 ,    -0.137263891409827E+01 ,     0.142231965617860E+01 ,     0.282517068470938E+00 , 
   1.36930 ,    -0.131032639838386E+01 ,     0.151374741698520E+01 ,     0.446369210778306E+00 , 
   1.39934 ,    -0.126826294226762E+01 ,     0.157458991666340E+01 ,     0.582328241698514E+00 , 
   1.42937 ,    -0.121906835535091E+01 ,     0.161355764512146E+01 ,     0.672963322963210E+00 , 
   1.45941 ,    -0.114012306855201E+01 ,     0.164083036315534E+01 ,     0.708169889026769E+00 , 
   1.48944 ,    -0.102382897241083E+01 ,     0.166159072425656E+01 ,     0.686417056635844E+00 , 
   1.51948 ,    -0.881092087670839E+00 ,     0.167272230549656E+01 ,     0.613947249300181E+00 , 
   1.54951 ,    -0.736739138623736E+00 ,     0.166403661761442E+01 ,     0.502488194625283E+00 , 
   1.57955 ,    -0.619041009177713E+00 ,     0.162324985614728E+01 ,     0.366272080370931E+00 , 
   1.60958 ,    -0.547934838979101E+00 ,     0.154224691353609E+01 ,     0.219135435214729E+00 , 
   1.63962 ,    -0.526927864970887E+00 ,     0.142166967225473E+01 ,     0.722874101948364E-01 , 
   1.66966 ,    -0.541939375808392E+00 ,     0.127171491910911E+01 ,    -0.669163552240487E-01 , 
   1.69969 ,    -0.567301559722687E+00 ,     0.110878912194010E+01 ,    -0.195105384673814E+00 , 
   1.72973 ,    -0.576128640008188E+00 ,     0.949525334096834E+00 ,    -0.312062400338341E+00 , 
   1.75976 ,    -0.550549246722814E+00 ,     0.804797495930385E+00 ,    -0.419243183608979E+00 , 
   1.78980 ,    -0.487554857063831E+00 ,     0.676299796932695E+00 ,    -0.518098672648986E+00 , 
   1.81983 ,    -0.398261319179610E+00 ,     0.557068743004704E+00 ,    -0.608701081597176E+00 , 
   1.84987 ,    -0.301274397843430E+00 ,     0.435577019768276E+00 ,    -0.689103517130816E+00 , 
   1.87990 ,    -0.213332012286722E+00 ,     0.301506495068542E+00 ,    -0.755651400147939E+00 , 
   1.90994 ,    -0.141425673537398E+00 ,     0.150666900552303E+00 ,    -0.804151793030189E+00 , 
   1.93997 ,    -0.797973533112825E-01 ,    -0.129906826516344E-01 ,    -0.831488468288555E+00 , 
   1.97001 ,    -0.129761035968875E-01 ,    -0.178968471602999E+00 ,    -0.837069575300910E+00 , 
   2.00004 ,     0.766368455807857E-01 ,    -0.334539112723492E+00 ,    -0.823510262998455E+00 , 
   2.03008 ,     0.200058479290948E+00 ,    -0.469773036612176E+00 ,    -0.796207598415536E+00 , 
   2.06011 ,     0.355724398383056E+00 ,    -0.581068765770903E+00 ,    -0.761882243315170E+00 , 
   2.09015 ,     0.528796773377833E+00 ,    -0.671756186152252E+00 ,    -0.726583196947884E+00 , 
   2.12018 ,     0.696070178002457E+00 ,    -0.749704604679553E+00 ,    -0.693901692763087E+00 , 
   2.15022 ,     0.834397971387796E+00 ,    -0.823186420773063E+00 ,    -0.664098677625791E+00 , 
   2.18025 ,     0.929133076754257E+00 ,    -0.896943318934802E+00 ,    -0.634513634661710E+00 , 
   2.21029 ,     0.979154216716702E+00 ,    -0.970196600031371E+00 ,    -0.601114291869851E+00 , 
   2.24032 ,     0.996544833213668E+00 ,    -0.103737081996718E+01 ,    -0.560572583856538E+00 , 
   2.27036 ,     0.100122897374528E+01 ,    -0.109103083380523E+01 ,    -0.512015215287854E+00 , 
   2.30039 ,     0.101288749834280E+01 ,    -0.112555050609453E+01 ,    -0.457709173565360E+00 , 
   2.33043 ,     0.104345463265662E+01 ,    -0.113976843938341E+01 ,    -0.402370743149749E+00 , 
   2.36046 ,     0.109307895273847E+01 ,    -0.113743332362594E+01 ,    -0.351360984587663E+00 , 
   2.39050 ,     0.115087199061189E+01 ,    -0.112532007792609E+01 ,    -0.308511916510073E+00 , 
   2.42054 ,     0.119977241045245E+01 ,    -0.110999638310336E+01 ,    -0.274507861049628E+00 , 
   2.45057 ,     0.122327389103196E+01 ,    -0.109483153962748E+01 ,    -0.246539737580589E+00 , 
   2.48061 ,     0.121122371212112E+01 ,    -0.107869467022376E+01 ,    -0.219433318767891E+00 , 
   2.51064 ,     0.116254375950770E+01 ,    -0.105696845013522E+01 ,    -0.187836448726316E+00 , 
   2.54068 ,     0.108419451775974E+01 ,    -0.102439744552728E+01 ,    -0.148592813989116E+00 , 
   2.57071 ,     0.987311500662927E+00 ,    -0.978412065982325E+00 ,    -0.102326849582116E+00 , 
   2.60075 ,     0.882499780904208E+00 ,    -0.921324742342013E+00 ,    -0.535651575372998E-01 , 
   2.63078 ,     0.776373219446248E+00 ,    -0.860295639931805E+00 ,    -0.930449021202907E-02 , 
   2.66082 ,     0.670612967908268E+00 ,    -0.804981554022456E+00 ,     0.234353013256832E-01 , 
