 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.284475075758784E+01 ,     0.275864105117966E-01 ,    -0.146304474384042E+01 , 
   0.49828 ,    -0.302197990620557E+01 ,    -0.200746348264123E+00 ,    -0.173691736157917E+01 , 
   0.52832 ,    -0.310537458071171E+01 ,    -0.273213189836500E+00 ,    -0.181347319387831E+01 , 
   0.55835 ,    -0.310594470869270E+01 ,    -0.223346964280952E+00 ,    -0.173997653610557E+01 , 
   0.58839 ,    -0.304940511133765E+01 ,    -0.108851156512425E+00 ,    -0.159204808437921E+01 , 
   0.61842 ,    -0.296760003825259E+01 ,     0.952734007864407E-02 ,    -0.144633907532443E+01 , 
   0.64846 ,    -0.288950461806442E+01 ,     0.869671508672962E-01 ,    -0.135703515407504E+01 , 
   0.67849 ,    -0.283423715306899E+01 ,     0.105504511949187E+00 ,    -0.134336799603006E+01 , 
   0.70853 ,    -0.280773470094988E+01 ,     0.743807849306036E-01 ,    -0.139078327172436E+01 , 
   0.73856 ,    -0.280356152368454E+01 ,     0.211541892055785E-01 ,    -0.146339808699134E+01 , 
   0.76860 ,    -0.280711335530550E+01 ,    -0.220412730875318E-01 ,    -0.152172160562632E+01 , 
   0.79863 ,    -0.280160019538777E+01 ,    -0.315400266444256E-01 ,    -0.153850915945367E+01 , 
   0.82867 ,    -0.277385806242542E+01 ,     0.111753726190937E-03 ,    -0.150723078415169E+01 , 
   0.85870 ,    -0.271829760150802E+01 ,     0.638078103636078E-01 ,    -0.144109524986481E+01 , 
   0.88874 ,    -0.263801404145686E+01 ,     0.140024560650180E+00 ,    -0.136439885263409E+01 , 
   0.91878 ,    -0.254301168527300E+01 ,     0.208225907705188E+00 ,    -0.130067823169862E+01 , 
   0.94881 ,    -0.244635476585533E+01 ,     0.255452195535809E+00 ,    -0.126281655192184E+01 , 
   0.97885 ,    -0.235960861095680E+01 ,     0.280815025500364E+00 ,    -0.124883440803841E+01 , 
   1.00888 ,    -0.228904865133417E+01 ,     0.294596335343723E+00 ,    -0.124436214879902E+01 , 
   1.03892 ,    -0.223378788082202E+01 ,     0.312923585528695E+00 ,    -0.122995856372115E+01 , 
   1.06895 ,    -0.218632453161287E+01 ,     0.350647862441946E+00 ,    -0.118965936312277E+01 , 
   1.09899 ,    -0.213524208326976E+01 ,     0.415496379022962E+00 ,    -0.111702988797384E+01 , 
   1.12902 ,    -0.206913099629304E+01 ,     0.505741477954535E+00 ,    -0.101644831581751E+01 , 
   1.15906 ,    -0.198043910946567E+01 ,     0.611971248730329E+00 ,    -0.899615318200378E+00 , 
   1.18909 ,    -0.186800185350357E+01 ,     0.721801473097565E+00 ,    -0.779351735317608E+00 , 
   1.21913 ,    -0.173744202017944E+01 ,     0.825249793781724E+00 ,    -0.663748950751569E+00 , 
   1.24916 ,    -0.159932971319385E+01 ,     0.918407312820828E+00 ,    -0.553328305746264E+00 , 
   1.27920 ,    -0.146573775128691E+01 ,     0.100394764769656E+01 ,    -0.442319324623812E+00 , 
   1.30923 ,    -0.134637373840664E+01 ,     0.108846603094043E+01 ,    -0.323223600381401E+00 , 
   1.33927 ,    -0.124562735441146E+01 ,     0.117800490066334E+01 ,    -0.192361110222977E+00 , 
   1.36930 ,    -0.116157008778259E+01 ,     0.127383838905674E+01 ,    -0.537183803930078E-01 , 
   1.39934 ,    -0.108726819187105E+01 ,     0.137039651658433E+01 ,     0.807484897077494E-01 , 
   1.42937 ,    -0.101393897944434E+01 ,     0.145623800988188E+01 ,     0.194569700996103E+00 , 
   1.45941 ,    -0.934786686235495E+00 ,     0.151766823126183E+01 ,     0.272499764307400E+00 , 
   1.48944 ,    -0.848058436672745E+00 ,     0.154350151053158E+01 ,     0.306055051093382E+00 , 
   1.51948 ,    -0.758096328959422E+00 ,     0.152902500488361E+01 ,     0.296469787677096E+00 , 
   1.54951 ,    -0.673872662858176E+00 ,     0.147758597363276E+01 ,     0.253829865006888E+00 , 
   1.57955 ,    -0.605443157236375E+00 ,     0.139921393507827E+01 ,     0.192807319343853E+00 , 
   1.60958 ,    -0.559591989168270E+00 ,     0.130687848930402E+01 ,     0.126874519481626E+00 , 
