 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.282842850541117E+01 ,     0.444802699433373E-01 ,    -0.142366961304250E+01 , 
   0.49828 ,    -0.288785932380861E+01 ,    -0.343663732333539E-01 ,    -0.152400044068085E+01 , 
   0.52832 ,    -0.291755211096991E+01 ,    -0.471559663325344E-01 ,    -0.154950929584443E+01 , 
   0.55835 ,    -0.291412983473257E+01 ,    -0.817208855219440E-02 ,    -0.151511539928344E+01 , 
   0.58839 ,    -0.288365714580446E+01 ,     0.543636713967261E-01 ,    -0.145116512187237E+01 , 
   0.61842 ,    -0.283873954967174E+01 ,     0.110701222072699E+00 ,    -0.139016399733584E+01 , 
   0.64846 ,    -0.279372451707104E+01 ,     0.140731438146960E+00 ,    -0.135474659219749E+01 , 
   0.67849 ,    -0.275967892315320E+01 ,     0.139968893263164E+00 ,    -0.135110234909843E+01 , 
   0.70853 ,    -0.274083120594591E+01 ,     0.118776095036847E+00 ,    -0.136957619317794E+01 , 
   0.73856 ,    -0.273361357545732E+01 ,     0.959752142175417E-01 ,    -0.139127529555358E+01 , 
   0.76860 ,    -0.272851424556801E+01 ,     0.899959579495908E-01 ,    -0.139736320907417E+01 , 
   0.79863 ,    -0.271397352929182E+01 ,     0.111302034201830E+00 ,    -0.137706113599616E+01 , 
   0.82867 ,    -0.268086829190371E+01 ,     0.158930253573424E+00 ,    -0.133132109202684E+01 , 
   0.85870 ,    -0.262596263737211E+01 ,     0.222059754383528E+00 ,    -0.127117377112658E+01 , 
   0.88874 ,    -0.255311014101348E+01 ,     0.285445739296855E+00 ,    -0.121198796433533E+01 , 
   0.91878 ,    -0.247182294014029E+01 ,     0.336134802237764E+00 ,    -0.116640806997977E+01 , 
   0.94881 ,    -0.239377522674234E+01 ,     0.368624717681560E+00 ,    -0.113901305124493E+01 , 
   0.97885 ,    -0.232854159402748E+01 ,     0.386534197723798E+00 ,    -0.112475912812826E+01 , 
   1.00888 ,    -0.228012429075030E+01 ,     0.400441604078049E+00 ,    -0.111153032488039E+01 , 
   1.03892 ,    -0.224551282923401E+01 ,     0.423133605796810E+00 ,    -0.108539478400889E+01 , 
   1.06895 ,    -0.221576463911216E+01 ,     0.464437355068460E+00 ,    -0.103615794915050E+01 , 
   1.09899 ,    -0.217917664339296E+01 ,     0.527771222461938E+00 ,    -0.960878433115979E+00 , 
   1.12902 ,    -0.212537139241855E+01 ,     0.609639191488414E+00 ,    -0.864059928091765E+00 , 
   1.15906 ,    -0.204881703439559E+01 ,     0.701960183927718E+00 ,    -0.754747923437433E+00 , 
   1.18909 ,    -0.195054149352324E+01 ,     0.795951525557214E+00 ,    -0.642074917068517E+00 , 
   1.21913 ,    -0.183748913490645E+01 ,     0.885748479576709E+00 ,    -0.531367549715633E+00 , 
   1.24916 ,    -0.171984097749077E+01 ,     0.970213202524023E+00 ,    -0.422552939007942E+00 , 
   1.27920 ,    -0.160735128189632E+01 ,     0.105229139867724E+01 ,    -0.311488724718206E+00 , 
   1.30923 ,    -0.150607650198769E+01 ,     0.113638661485654E+01 ,    -0.193503237643957E+00 , 
   1.33927 ,    -0.141667692015214E+01 ,     0.122505730072872E+01 ,    -0.674530364621006E-01 , 
   1.36930 ,    -0.133484266819191E+01 ,     0.131656605180744E+01 ,     0.616072433140297E-01 , 
   1.39934 ,    -0.125358063842430E+01 ,     0.140436797647060E+01 ,     0.182426462503530E+00 , 
   1.42937 ,    -0.116640814886029E+01 ,     0.147874365688184E+01 ,     0.280348317901051E+00 , 
   1.45941 ,    -0.107019023757010E+01 ,     0.152985952191603E+01 ,     0.341812233017512E+00 , 
   1.48944 ,    -0.966536772536284E+00 ,     0.155096508518891E+01 ,     0.358761206979096E+00 , 
   1.51948 ,    -0.861261834136626E+00 ,     0.154043248986466E+01 ,     0.331201275961436E+00 , 
   1.54951 ,    -0.762166580133816E+00 ,     0.150187738539347E+01 ,     0.266935178862145E+00 , 
   1.57955 ,    -0.676043253403917E+00 ,     0.144241693239315E+01 ,     0.178656896732081E+00 , 
   1.60958 ,    -0.606071335670828E+00 ,     0.136986425284226E+01 ,     0.796477582380508E-01 , 
   1.63962 ,    -0.550591689310217E+00 ,     0.129002615226864E+01 ,    -0.201764982986118E-01 , 
   1.66966 ,    -0.503684560936445E+00 ,     0.120513652794949E+01 ,    -0.116348923094188E+00 , 
   1.69969 ,    -0.457269210891970E+00 ,     0.111391338023265E+01 ,    -0.209394904831751E+00 , 
   1.72973 ,    -0.403865520546179E+00 ,     0.101302900226132E+01 ,    -0.302257656481058E+00 , 
   1.75976 ,    -0.338932875354982E+00 ,     0.899232361492402E+00 ,    -0.396896217582406E+00 , 
   1.78980 ,    -0.261908277381500E+00 ,     0.771176801060489E+00 ,    -0.491636086029667E+00 , 
   1.81983 ,    -0.175612833755883E+00 ,     0.630231778598878E+00 ,    -0.580460251536606E+00 , 
   1.84987 ,    -0.843605418289609E-01 ,     0.480063799283762E+00 ,    -0.654541772547974E+00 , 
   1.87990 ,     0.837958737377510E-02 ,     0.325319605595412E+00 ,    -0.705328521961065E+00 , 
   1.90994 ,     0.101750520457664E+00 ,     0.170096198000413E+00 ,    -0.727819744357848E+00 , 
   1.93997 ,     0.197931962306851E+00 ,     0.169029200289257E-01 ,    -0.722600033042654E+00 , 
   1.97001 ,     0.301009248105087E+00 ,    -0.133470160183713E+00 ,    -0.695737661681187E+00 , 
   2.00004 ,     0.414719046418718E+00 ,    -0.281212791445885E+00 ,    -0.656568921304758E+00 , 
   2.03008 ,     0.539983303053506E+00 ,    -0.426316299175507E+00 ,    -0.614283797361372E+00 , 
   2.06011 ,     0.673264703720484E+00 ,    -0.567561379457725E+00 ,    -0.574723407047664E+00 , 
   2.09015 ,     0.806492215690569E+00 ,    -0.702164042674689E+00 ,    -0.538693698662110E+00 , 
   2.12018 ,     0.928721817294398E+00 ,    -0.826243808246840E+00 ,    -0.502447093622927E+00 , 
   2.15022 ,     0.102903761597430E+01 ,    -0.935895708108446E+00 ,    -0.460066825938826E+00 , 
   2.18025 ,     0.109971269700581E+01 ,    -0.102838491768465E+01 ,    -0.406696356721052E+00 , 
   2.21029 ,     0.113852050934258E+01 ,    -0.110294936625853E+01 ,    -0.341218450094640E+00 , 
   2.24032 ,     0.114936432980183E+01 ,    -0.116089144892707E+01 ,    -0.267240070032643E+00 , 
   2.27036 ,     0.114097142266685E+01 ,    -0.120496248409791E+01 ,    -0.191967134225783E+00 , 
   2.30039 ,     0.112406753237649E+01 ,    -0.123834047621607E+01 ,    -0.123447900024664E+00 , 
   2.33043 ,     0.110796547672895E+01 ,    -0.126364271478994E+01 ,    -0.673513802990760E-01 , 
   2.36046 ,     0.109768850690597E+01 ,    -0.128234912351540E+01 ,    -0.246450243395175E-01 , 
   2.39050 ,     0.109254831040028E+01 ,    -0.129478717052042E+01 ,     0.883248789399170E-02 , 
   2.42054 ,     0.108659188518042E+01 ,    -0.130056165606174E+01 ,     0.406847300178587E-01 , 
   2.45057 ,     0.107070713703426E+01 ,    -0.129913131000261E+01 ,     0.788026084209874E-01 , 
   2.48061 ,     0.103565190414909E+01 ,    -0.129021782347442E+01 ,     0.127984878153508E+00 , 
   2.51064 ,     0.975016247794801E+00 ,    -0.127387623099718E+01 ,     0.187672902933516E+00 , 
   2.54068 ,     0.887210588893602E+00 ,    -0.125027499542836E+01 ,     0.251699459296947E+00 , 
