Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
230655.504       12994       36983  0.590E-01  0.993E+00
230707.511       19765       65409  0.421E-01  0.992E+00
230719.506       28029      102560  0.305E-01  0.991E+00
230731.513       32875      128130  0.269E-01  0.990E+00
230743.506       36263      147593  0.255E-01  0.990E+00
230755.506       40084      172490  0.243E-01  0.990E+00
230807.534       42733      191333  0.237E-01  0.990E+00
230819.511       45855      215142  0.230E-01  0.990E+00
230831.509       49527      244012  0.224E-01  0.990E+00
230843.508       53319      276331  0.220E-01  0.990E+00
230855.506       56439      303904  0.216E-01  0.989E+00
230907.506       59445      330729  0.214E-01  0.989E+00
230919.504       62398      357595  0.211E-01  0.989E+00
230931.510       64858      381093  0.210E-01  0.989E+00
230943.507       67832      408629  0.208E-01  0.989E+00
230955.516       70508      434067  0.227E-01  0.109E+01
231007.509       73332      461891  0.205E-01  0.989E+00
231019.507       76054      488513  0.204E-01  0.989E+00
231031.522       78592      513407  0.212E-01  0.105E+01
231043.504       81212      539310  0.200E-01  0.989E+00
231055.509       84434      571299  0.198E-01  0.989E+00
231107.535       86663      593543  0.197E-01  0.989E+00
231119.537       89372      620799  0.176E-01  0.891E+00
231131.545       91527      642828  0.193E-01  0.989E+00
231143.520       93707      664294  0.192E-01  0.989E+00
231155.505       96268      690580  0.191E-01  0.989E+00
231207.507       98241      711256  0.138E-01  0.719E+00
231219.528      100364      733547  0.189E-01  0.989E+00
231231.508      102230      752541  0.189E-01  0.989E+00
231243.511      104686      778186  0.187E-01  0.989E+00
231255.525      106752      799915  0.187E-01  0.989E+00
231307.509      108812      821872  0.186E-01  0.989E+00
231319.532      110671      842013  0.185E-01  0.989E+00
231331.538      112712      864108  0.184E-01  0.989E+00
231343.513      114866      886910  0.183E-01  0.989E+00
231355.516      117113      910706  0.183E-01  0.989E+00
231407.517      118966      930632  0.183E-01  0.989E+00
231419.503      121247      954715  0.182E-01  0.989E+00
231431.518      123508      978433  0.181E-01  0.989E+00
231443.507      125319      997718  0.180E-01  0.989E+00
231455.524      127707     1022765  0.179E-01  0.989E+00
231507.515      129848     1045229  0.178E-01  0.989E+00
231519.511      131910     1066465  0.177E-01  0.989E+00
231531.544      133799     1086638  0.177E-01  0.989E+00
231543.505      137038     1120973  0.176E-01  0.989E+00
231555.510      139930     1152247  0.176E-01  0.989E+00
231607.521      142178     1176002  0.206E-01  0.117E+01
231619.507      145515     1211989  0.175E-01  0.989E+00
231631.534      148226     1241094  0.174E-01  0.989E+00
231643.542      150664     1267665  0.173E-01  0.989E+00
231655.509      154162     1305104  0.173E-01  0.989E+00
231707.505      156989     1336217  0.171E-01  0.989E+00
231719.615      160003     1369841  0.179E-01  0.105E+01
231731.511      162496     1398329  0.168E-01  0.990E+00
231743.509      166048     1437265  0.168E-01  0.990E+00
231755.511      169414     1473814  0.167E-01  0.990E+00
231807.504      172642     1509823  0.165E-01  0.990E+00
231819.532      175970     1545627  0.164E-01  0.990E+00
231831.509      179052     1579217  0.162E-01  0.990E+00
231843.503      181603     1607487  0.161E-01  0.990E+00
231855.516      184677     1641114  0.160E-01  0.990E+00
231907.506      188424     1682245  0.160E-01  0.990E+00
231919.508      191635     1717455  0.158E-01  0.990E+00
231931.532      194637     1749145  0.157E-01  0.990E+00
231943.502      197120     1776339  0.156E-01  0.990E+00
231955.503      200253     1810893  0.155E-01  0.990E+00
232007.504      203002     1838568  0.154E-01  0.990E+00
232019.507      205287     1863197  0.153E-01  0.990E+00
232031.528      208032     1894288  0.153E-01  0.990E+00
232043.506      210533     1921445  0.153E-01  0.990E+00
232055.509      213455     1953820  0.152E-01  0.990E+00
232107.517      216168     1983030  0.151E-01  0.990E+00
232119.502      219154     2015701  0.149E-01  0.990E+00
232131.505      222467     2052001  0.149E-01  0.990E+00
232143.510      225763     2087501  0.147E-01  0.990E+00
232155.538      229281     2126033  0.146E-01  0.991E+00
232207.506      232519     2162111  0.144E-01  0.991E+00
232219.509      235861     2198781  0.143E-01  0.991E+00
232231.519      239313     2236307  0.137E-01  0.964E+00
232243.511      242726     2274174  0.140E-01  0.991E+00
232255.510      245742     2307631  0.140E-01  0.991E+00
232307.507      248882     2342039  0.138E-01  0.991E+00
232319.510      252650     2383293  0.138E-01  0.991E+00
232331.514      256397     2424081  0.136E-01  0.991E+00
232343.509      259389     2457482  0.135E-01  0.991E+00
