 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.218800840367251E+01 ,     0.618851839933527E+00 ,    -0.973012576255787E+00 , 
   0.49828 ,    -0.202064366984075E+01 ,     0.752863742255247E+00 ,    -0.875723386645613E+00 , 
   0.52832 ,    -0.197942921412919E+01 ,     0.799450927932647E+00 ,    -0.825255496176056E+00 , 
   0.55835 ,    -0.202936830639773E+01 ,     0.779798000459171E+00 ,    -0.809260181891771E+00 , 
   0.58839 ,    -0.211216668375135E+01 ,     0.733979475739396E+00 ,    -0.804642311903436E+00 , 
   0.61842 ,    -0.217337123569289E+01 ,     0.702195154712694E+00 ,    -0.788670957284414E+00 , 
   0.64846 ,    -0.218342848872746E+01 ,     0.708889334927448E+00 ,    -0.748237163636601E+00 , 
   0.67849 ,    -0.214516378244901E+01 ,     0.755527160510270E+00 ,    -0.683833632411193E+00 , 
   0.70853 ,    -0.208654231230694E+01 ,     0.823753617233317E+00 ,    -0.607297161071001E+00 , 
   0.73856 ,    -0.204369309511672E+01 ,     0.886363162182584E+00 ,    -0.534956196859755E+00 , 
   0.76860 ,    -0.204261367340997E+01 ,     0.920665726749185E+00 ,    -0.479527415722350E+00 , 
   0.79863 ,    -0.208758332662216E+01 ,     0.918435980447284E+00 ,    -0.444308866202171E+00 , 
   0.82867 ,    -0.216061337248371E+01 ,     0.888615308810132E+00 ,    -0.421965623935397E+00 , 
   0.85870 ,    -0.223109242605736E+01 ,     0.852294026538803E+00 ,    -0.398116565794255E+00 , 
   0.88874 ,    -0.227044035981247E+01 ,     0.832758981544698E+00 ,    -0.357915530060266E+00 , 
   0.91878 ,    -0.226483611187843E+01 ,     0.845230767731044E+00 ,    -0.292689028256765E+00 , 
   0.94881 ,    -0.222046971781262E+01 ,     0.890694710769476E+00 ,    -0.203843078228181E+00 , 
   0.97885 ,    -0.215945658693208E+01 ,     0.956197516883791E+00 ,    -0.102534592833803E+00 , 
   1.00888 ,    -0.210878766921804E+01 ,     0.102110707389071E+01 ,    -0.542025381812547E-02 , 
   1.03892 ,    -0.208760393571655E+01 ,     0.106636268462661E+01 ,     0.716264052497380E-01 , 
   1.06895 ,    -0.209850114725192E+01 ,     0.108267024094692E+01 ,     0.119226019746166E+00 , 
   1.09899 ,    -0.212646935699022E+01 ,     0.107427142200423E+01 ,     0.137412955062143E+00 , 
   1.12902 ,    -0.214552307468314E+01 ,     0.105694396181459E+01 ,     0.134796474470109E+00 , 
   1.15906 ,    -0.212972000165416E+01 ,     0.105134533478116E+01 ,     0.124552331730354E+00 , 
