 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.262324971683746E+01 ,     0.342683392171563E+00 ,    -0.102490605022035E+01 , 
   0.49828 ,    -0.260176970087402E+01 ,     0.393671400429838E+00 ,    -0.960823690363718E+00 , 
   0.52832 ,    -0.260215939887710E+01 ,     0.444856690669800E+00 ,    -0.919986414856280E+00 , 
   0.55835 ,    -0.260896836542219E+01 ,     0.492307641207243E+00 ,    -0.891958826926245E+00 , 
   0.58839 ,    -0.260476417609145E+01 ,     0.535004626449309E+00 ,    -0.860579620622206E+00 , 
   0.61842 ,    -0.257805219263612E+01 ,     0.574729760755273E+00 ,    -0.811407386924523E+00 , 
   0.64846 ,    -0.252794156849794E+01 ,     0.614856415041396E+00 ,    -0.737661030918881E+00 , 
   0.67849 ,    -0.246382246989616E+01 ,     0.658627114964228E+00 ,    -0.642399079087158E+00 , 
   0.70853 ,    -0.240053261291055E+01 ,     0.707710158544321E+00 ,    -0.536361629476343E+00 , 
   0.73856 ,    -0.235136699884340E+01 ,     0.761678672027250E+00 ,    -0.432685257391532E+00 , 
   0.76860 ,    -0.232206762375802E+01 ,     0.818618726787109E+00 ,    -0.340889161745687E+00 , 
   0.79863 ,    -0.230835418459127E+01 ,     0.876534911923991E+00 ,    -0.262690451422748E+00 , 
   0.82867 ,    -0.229793186039305E+01 ,     0.934824197582108E+00 ,    -0.191335025488684E+00 , 
   0.85870 ,    -0.227596781665728E+01 ,     0.995020282284882E+00 ,    -0.114629318708413E+00 , 
   0.88874 ,    -0.223159263931157E+01 ,     0.106031859278758E+01 ,    -0.203535192919536E-01 , 
   0.91878 ,    -0.216263535470102E+01 ,     0.113395551757607E+01 ,     0.981771907811580E-01 , 
   0.94881 ,    -0.207664045039575E+01 ,     0.121709000468608E+01 ,     0.238628987352753E+00 , 
   0.97885 ,    -0.198784144793868E+01 ,     0.130715700387813E+01 ,     0.389586269341935E+00 , 
   1.00888 ,    -0.191146528161189E+01 ,     0.139756346458835E+01 ,     0.533881175009143E+00 , 
   1.03892 ,    -0.185780121788661E+01 ,     0.147908969760731E+01 ,     0.653986262094652E+00 , 
   1.06895 ,    -0.182847116528048E+01 ,     0.154263678844742E+01 ,     0.737409585682798E+00 , 
   1.09899 ,    -0.181632831329026E+01 ,     0.158232836224542E+01 ,     0.780123525834593E+00 , 
   1.12902 ,    -0.180885346776968E+01 ,     0.159771820614206E+01 ,     0.786894722188814E+00 , 
   1.15906 ,    -0.179348741248579E+01 ,     0.159411545844536E+01 ,     0.768600308638074E+00 , 
   1.18909 ,    -0.176262387039360E+01 ,     0.158074273987269E+01 ,     0.737727714473786E+00 , 
   1.21913 ,    -0.171625355927577E+01 ,     0.156732013030141E+01 ,     0.703844721267989E+00 , 
   1.24916 ,    -0.166133365527685E+01 ,     0.156035814885648E+01 ,     0.670703517821019E+00 , 
   1.27920 ,    -0.160836071324937E+01 ,     0.156064256231970E+01 ,     0.635902818055104E+00 , 
   1.30923 ,    -0.156674158617835E+01 ,     0.156298968831086E+01 ,     0.593000380557632E+00 , 
   1.33927 ,    -0.154093344060181E+01 ,     0.155847756465758E+01 ,     0.535057096030745E+00 , 
   1.36930 ,    -0.152884821055450E+01 ,     0.153835405421307E+01 ,     0.458138692352716E+00 , 
   1.39934 ,    -0.152294794676956E+01 ,     0.149809686191440E+01 ,     0.363437525737989E+00 , 
   1.42937 ,    -0.151329535774363E+01 ,     0.143996495517470E+01 ,     0.257304233761862E+00 , 
   1.45941 ,    -0.149107902636678E+01 ,     0.137291742194167E+01 ,     0.149318503562135E+00 , 
   1.48944 ,    -0.145110183522742E+01 ,     0.130979197510255E+01 ,     0.492451185321849E-01 , 
   1.51948 ,    -0.139236526455765E+01 ,     0.126273449439156E+01 ,    -0.359417942683552E-01 , 
   1.54951 ,    -0.131686003369909E+01 ,     0.123860903840545E+01 ,    -0.103915800963442E+00 , 
   1.57955 ,    -0.122750838595663E+01 ,     0.123618424638284E+01 ,    -0.157190275329275E+00 , 
   1.60958 ,    -0.112650679355853E+01 ,     0.124624154914747E+01 ,    -0.201748131424827E+00 , 
   1.63962 ,    -0.101496751648487E+01 ,     0.125462815408865E+01 ,    -0.244748079835764E+00 , 
   1.66966 ,    -0.893948624446396E+00 ,     0.124712542441402E+01 ,    -0.292185714761934E+00 , 
