Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
234202.599       74693       84651
234214.604      168910      192910
234226.614      229898      263188
234238.600      302946      347192
234250.624      371286      426629
234302.601      436828      502901
234314.607      500717      577765
234326.608      555476      641600
234338.631      609239      704763
234350.608      680544      788587
234402.619      753663      873823
234414.603      848239      984907
234426.603      932416     1083898
234438.604     1025757     1193401
234450.602     1125435     1311386
234502.606     1214746     1416821
234514.599     1284655     1499488
234526.600     1344266     1569809
234538.615     1402580     1638442
234550.607     1456653     1702381
234602.605     1513040     1768503
234614.608     1576064     1842847
234626.600     1636759     1914407
234638.603     1721467     2014486
234650.619     1819067     2129583
234702.598     1895221     2219629
234714.620     1964000     2300858
234726.604     2026060     2373854
234738.631     2110296     2472986
234750.610     2180931     2556665
234802.599     2251993     2640718
234814.613     2337653     2742180
234826.605     2423626     2844185
234838.605     2499457     2933600
234850.605     2553015     2996846
234902.603     2639534     3098945
234914.600     2721365     3195564
234926.614     2808228     3297884
234938.607     2892621     3397818
234950.621     2962767     3481077
235002.612     3017190     3545411
235014.604     3101671     3645010
235026.600     3185576     3743841
235038.600     3288781     3866101
235050.610     3371720     3963501
235102.625     3430297     4032422
235114.623     3508339     4124770
235126.600     3594271     4225801
235138.602     3670957     4315800
235150.616     3743544     4401423
235202.621     3820769     4492201
235214.608     3885369     4568118
235226.600     3956422     4651850
235238.604     4012454     4717737
235250.603     4075691     4792366
235302.601     4148084     4877822
235314.604     4213208     4954682
235326.601     4300215     5057195
235338.606     4390247     5164027
235350.602     4481328     5271475
235402.613     4581879     5390575
235414.632     4684684     5512571
235426.607     4779538     5624701
235438.627     4885348     5750047
235450.605     4990533     5874900
235502.611     5103907     6008748
235514.605     5216813     6142514
235526.604     5327938     6273457
235538.601     5431013     6395252
235550.604     5518593     6498773
235602.608     5617774     6615801
235614.600     5706890     6720798
235626.605     5811723     6845198
235638.601     5879646     6925857
235650.604     5967255     7029657
