Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
104246.196        8844       10570
104258.215       19274       22972
104310.208       30298       36006
104322.202       39701       47065
104334.199       46702       55375
104346.190       55345       65639
104358.219       66405       78805
104410.214       73134       86847
104422.206       82803       98256
104434.210       88301      104773
104446.201      100046      118758
104458.196      108921      129283
104510.203      121929      144676
104522.210      132932      157669
104534.191      141802      168171
104546.195      150554      178394
104558.206      157535      186774
104610.225      167080      198145
104622.198      175969      208782
104634.209      187551      222693
104646.214      196300      233090
104658.188      208003      247092
104710.190      218072      259080
104722.203      227690      270582
104734.197      232664      276497
104746.195      239439      284532
104758.194      249764      296800
104810.194      261023      310289
104822.194      268116      318745
104834.199      277042      329308
104846.227      285490      339333
104858.197      296032      351943
104910.203      306941      364917
104922.217      317104      376967
104934.191      325796      387253
104946.200      340491      404639
104958.199      352028      418383
105010.215      360821      428910
105022.212      370883      440822
105034.189      379518      451103
105046.197      385326      458001
105058.201      391904      465853
105110.224      400707      476377
105122.199      406502      483309
105134.191      418049      497087
105146.210      426895      507552
105158.192      440454      523569
105210.211      453573      539291
105222.195      465958      554019
105234.193      474429      564080
105246.197      485260      576968
105258.203      492458      585602
105310.206      498305      592609
105322.198      504399      599851
105334.211      514746      612170
105346.197      521941      620583
105358.213      527567      627291
105410.197      535452      636660
105422.191      544859      647818
105434.203      556772      661808
105446.209      567038      673815
105458.216      576796      685377
105510.193      585588      695753
105522.199      597232      709501
105534.195      611854      726888
105546.201      623438      740603
105558.191      634716      753896
105610.209      641499      761972
105622.220      648006      769617
105634.202      658359      781892
105646.201      668172      793521
105658.210      680572      808210
105710.198      687984      817005
105722.203      698318      829225
105734.203      705821      838103
105746.204      715720      849769
105758.220      725483      861342
105810.192      735615      873453
105822.189      779104      924887
105834.193      886043     1051390
105846.193      996419     1182019
105858.189     1087037     1289846
105910.194     1193376     1416201
105922.188     1303948     1547099
105934.190     1414860     1678808
105946.190     1514491     1796903
105958.189     1618351     1920321
110010.189     1721570     2042671
110022.190     1839761     2183796
110034.205     1917836     2276561
110046.189     2007786     2382689
110058.191     2123793     2519976
110110.189     2245676     2665101
110122.189     2370090     2812300
110134.189     2480667     2943456
110146.189     2605306     3091403
110158.192     2709000     3213900
110210.192     2790665     3310315
110222.189     2886591     3423844
110234.188     2975190     3528509
110246.189     3075727     3646847
110258.189     3208722     3803981
110310.192     3319283     3935267
110322.211     3453719     4094302
110334.189     3573099     4235118
110346.190     3677189     4357601
110358.190     3792874     4494194
110410.189     3913797     4637054
110422.190     4019806     4763364
110434.189     4129019     4893245
110446.189     4240909     5025902
110458.190     4353317     5159246
110510.189     4475784     5303579
110522.213     4567986     5412550
110534.189     4660367     5521903
110546.210     4732522     5607764
110558.190     4793050     5679494
110610.187     4888294     5792506
110622.204     4950719     5866190
110634.217     4958222     5875092
110646.215     4964390     5882308
110658.191     4972958     5892414
110710.191     4984342     5905707
110722.211     4998878     5922878
110734.223     5008202     5933888
110746.197     5018034     5945401
110758.199     5031634     5961415
110810.191     5041135     5972592
110822.196     5055897     5990103
110834.194     5068769     6005401
110846.199     5078214     6016611
110858.189     5090039     6030612
110910.218     5090700     6031403
110922.218     5091372     6032205
110934.212     5091745     6032662
110946.206     5092699     6033795
110958.197     5093264     6034444
111010.192     5093957     6035264
111022.219     5095201     6036737
111034.243     5095853     6037507
111046.189     5097491     6039429
111058.222     5098995     6041175
111110.222     5099599     6041890
111122.198     5101186     6043784
111134.211     5102627     6045502
111146.208     5104261     6047436
111158.211     5105573     6049011
111210.223     5107112     6050848
111222.234     5107489     6051297
111234.221     5109811     6054077
111246.249     5110244     6054587
111258.204     5110544     6054932
111310.218     5111824     6056428
111322.231     5113163     6058006
111334.209     5113623     6058560
111346.213     5114757     6059902
111358.224     5115253     6060464
111410.207     5115936     6061289
111422.219     5118032     6063804
111434.216     5120524     6066779
111446.206     5121023     6067370
111458.194     5123076     6069839
111510.206     5124262     6071240
111522.223     5126343     6073696
111534.231     5127656     6075230
111546.199     5129615     6077530
111558.203     5130697     6078815
111610.209     5131825     6080158
