 Results from RMCProfile version 6.7.9.5

 (Version 6f format configuration file)                                          

 0 experiments   1 partials

 Partial g(r)'s are printed out below

   348  1 are NR and NPAR

   r (Ang)
   0.06545     0.00000
   0.13090     0.00000
   0.19635     0.00000
   0.26180     0.00000
   0.32725     0.00000
   0.39271     0.00000
   0.45816     0.00000
   0.52361     0.00000
   0.58906     0.00000
   0.65451     0.00000
   0.71996     0.00000
   0.78541     0.00000
   0.85086     0.00000
   0.91631     0.00000
   0.98176     0.00000
   1.04721     0.00000
   1.11267     0.00000
   1.17812     0.00000
   1.24357     0.00000
   1.30902     0.00000
   1.37447     0.00000
   1.43992     0.00000
   1.50537     0.00000
   1.57082     0.00000
   1.63627     0.00000
   1.70172     0.00000
   1.76718     0.00000
   1.83263     0.00000
   1.89808     0.00000
   1.96353     0.00000
   2.02898     0.00000
   2.09443     0.00000
   2.15988     0.00000
   2.22533     0.00000
   2.29078     0.00000
   2.35623     0.00000
   2.42168     0.00000
   2.48714     0.00000
   2.55259     0.00000
   2.61804     0.00000
   2.68349     0.00000
   2.74894     0.00000
   2.81439     0.00000
   2.87984     0.40488
   2.94529     2.33587
   3.01074     2.04381
   3.07619     2.20249
   3.14164     2.07648
   3.20710     2.16146
   3.27255     2.20561
   3.33800     1.90174
   3.40345     1.87428
   3.46890     1.90526
   3.53435     1.83535
   3.59980     1.30904
   3.66525     0.82313
   3.73070     0.90682
   3.79615     0.77136
   3.86161     0.74544
   3.92706     0.78837
   3.99251     0.83901
   4.05796     0.87545
   4.12341     0.86150
   4.18886     0.83479
   4.25431     0.88927
   4.31976     0.76014
   4.38521     0.96643
   4.45066     0.90314
   4.51611     0.84025
   4.58157     0.86606
   4.64702     0.83380
   4.71247     0.87858
   4.77792     0.87750
   4.84337     0.89343
   4.90882     0.91542
   4.97427     0.89383
   5.03972     0.89128
   5.10517     0.87968
   5.17062     0.94634
   5.23607     0.93127
   5.30153     0.93726
   5.36698     0.86228
   5.43243     1.02015
   5.49788     0.94812
   5.56333     1.03257
   5.62878     0.98129
   5.69423     0.96600
   5.75968     1.11171
   5.82513     1.00156
   5.89058     1.09122
   5.95604     1.12449
   6.02149     1.05068
   6.08694     1.02039
   6.15239     1.10128
   6.21784     1.06923
   6.28329     1.05147
   6.34874     1.11465
   6.41419     1.03573
   6.47964     1.08110
   6.54509     1.03391
   6.61054     1.02016
   6.67600     0.99116
   6.74145     1.04844
   6.80690     0.92842
   6.87235     1.05179
   6.93780     1.01400
   7.00325     0.95618
   7.06870     1.06601
   7.13415     0.98511
   7.19960     0.95276
   7.26505     1.00258
   7.33050     0.99553
   7.39596     1.00551
   7.46141     0.97131
   7.52686     1.03216
   7.59231     0.97828
   7.65776     1.02877
   7.72321     0.99005
   7.78866     0.98398
   7.85411     0.98548
   7.91956     0.94710
   7.98501     0.98612
   8.05046     1.06038
   8.11592     0.94842
   8.18137     0.98953
   8.24682     1.00878
   8.31227     1.00050
   8.37772     0.98741
   8.44317     0.99896
   8.50862     1.05482
   8.57407     0.99783
   8.63952     0.99518
   8.70497     1.01541
   8.77043     0.98451
   8.83588     0.95366
   8.90133     0.96746
   8.96678     1.01459
   9.03223     0.99426
   9.09768     1.05206
   9.16313     0.97089
   9.22858     0.97552
   9.29403     1.01009
   9.35948     0.96891
   9.42493     0.97962
   9.49039     1.00793
   9.55584     1.01193
   9.62129     0.99258
   9.68674     0.98229
   9.75219     1.00933
   9.81764     1.02295
   9.88309     0.99996
   9.94854     1.04125
  10.01399     0.96879
  10.07944     1.01381
  10.14489     1.00133
  10.21035     0.99131
  10.27580     0.94473
  10.34125     1.03243
  10.40670     1.00344
  10.47215     1.01047
  10.53760     1.00213
  10.60305     1.02172
  10.66850     1.03212
  10.73395     0.98892
  10.79940     1.00278
  10.86486     1.00643
  10.93031     0.95952
  10.99576     1.02188
  11.06121     1.00603
  11.12666     1.00546
  11.19211     0.99697
  11.25756     1.00779
  11.32301     1.01063
  11.38846     0.97315
  11.45391     0.96559
  11.51936     1.01704
  11.58482     1.03362
  11.65027     0.97597
  11.71572     0.99716
  11.78117     0.98152
  11.84662     0.96204
  11.91207     0.97435
  11.97752     1.00005
  12.04297     1.00158
  12.10842     0.98881
  12.17387     1.05087
  12.23932     1.01570
  12.30478     0.97395
  12.37023     0.98902
  12.43568     1.00671
  12.50113     0.98990
  12.56658     0.99538
  12.63203     1.00251
  12.69748     1.02632
  12.76293     0.98703
  12.82838     1.02237
  12.89383     1.01967
  12.95928     1.02353
  13.02474     0.97266
  13.09019     0.99404
  13.15564     1.00157
  13.22109     1.00327
  13.28654     0.99800
  13.35199     1.02169
  13.41744     0.99471
  13.48289     0.98635
  13.54834     1.00996
  13.61379     0.99527
  13.67925     0.98825
  13.74470     0.99786
  13.81015     1.01058
  13.87560     1.01671
  13.94105     0.99110
  14.00650     0.97271
  14.07195     1.01309
  14.13740     1.03415
  14.20285     0.98589
  14.26830     1.01611
  14.33375     0.97896
  14.39921     1.02286
  14.46466     1.00006
  14.53011     0.98751
  14.59556     1.00422
  14.66101     0.98557
  14.72646     0.99499
  14.79191     0.97218
  14.85736     0.96625
  14.92281     0.99731
  14.98826     1.03166
  15.05371     0.97034
  15.11917     1.01033
  15.18462     0.99963
  15.25007     1.03090
  15.31552     0.99792
  15.38097     0.99801
  15.44642     0.97719
  15.51187     1.00385
  15.57732     0.99591
  15.64277     1.02119
  15.70822     1.00707
  15.77368     1.03154
  15.83913     1.00434
  15.90458     1.00273
  15.97003     1.02495
  16.03548     1.00196
  16.10093     1.00723
  16.16638     1.01393
  16.23183     0.99391
  16.29728     1.00142
  16.36273     0.98542
  16.42818     1.00226
  16.49364     1.00006
  16.55909     0.97634
  16.62454     1.01601
  16.68999     0.99226
  16.75544     0.99855
  16.82089     0.99713
  16.88634     1.03612
  16.95179     0.98381
  17.01724     1.01024
  17.08269     0.99914
  17.14814     0.99685
  17.21360     0.99241
  17.27905     0.96687
  17.34450     1.01174
  17.40995     0.98314
  17.47540     1.03475
  17.54085     1.00107
  17.60630     0.99327
  17.67175     1.00317
  17.73720     0.97425
  17.80265     0.96837
  17.86811     1.00427
  17.93356     1.00055
  17.99901     0.99204
  18.06446     0.97670
  18.12991     1.00366
  18.19536     1.00799
  18.26081     0.98342
  18.32626     1.01571
  18.39171     0.99720
  18.45716     0.99235
  18.52261     0.99800
  18.58807     0.99819
  18.65352     0.98288
  18.71897     1.00692
  18.78442     0.99729
  18.84987     0.98972
  18.91532     0.99955
  18.98077     0.98656
  19.04622     0.99623
  19.11167     1.01130
  19.17712     1.00110
  19.24257     1.00540
  19.30803     1.00791
  19.37348     1.00929
  19.43893     1.00205
  19.50438     0.99914
  19.56983     1.03238
  19.63528     0.99652
  19.70073     1.01184
  19.76618     0.99878
  19.83163     0.99220
  19.89708     0.99665
  19.96253     1.00785
  20.02799     1.00113
  20.09344     1.02444
  20.15889     1.00826
  20.22434     0.99679
  20.28979     1.00865
  20.35524     1.00203
  20.42069     0.98132
  20.48614     0.97837
  20.55159     0.99271
  20.61704     1.00739
  20.68250     1.00495
  20.74795     0.98490
  20.81340     1.01841
  20.87885     1.00885
  20.94430     0.99820
  21.00975     1.01455
  21.07520     1.01491
  21.14065     0.99270
  21.20610     0.98954
  21.27155     0.99702
  21.33700     0.98736
  21.40246     1.00395
  21.46791     1.00136
  21.53336     0.98554
  21.59881     1.00142
  21.66426     0.97588
  21.72971     1.00251
  21.79516     0.99260
