   r (Ang),     Ge-Ge
   0.06545 ,         0.000000000000000 , 
   0.13090 ,         0.000000000000000 , 
   0.19635 ,         0.000000000000000 , 
   0.26180 ,         0.000000000000000 , 
   0.32725 ,         0.000000000000000 , 
   0.39271 ,         0.000000000000000 , 
   0.45816 ,         0.000000000000000 , 
   0.52361 ,         0.000000000000000 , 
   0.58906 ,         0.000000000000000 , 
   0.65451 ,         0.000000000000000 , 
   0.71996 ,         0.000000000000000 , 
   0.78541 ,         0.000000000000000 , 
   0.85086 ,         0.000000000000000 , 
   0.91631 ,         0.000000000000000 , 
   0.98176 ,         0.000000000000000 , 
   1.04721 ,         0.000000000000000 , 
   1.11267 ,         0.000000000000000 , 
   1.17812 ,         0.000000000000000 , 
   1.24357 ,         0.000000000000000 , 
   1.30902 ,         0.000000000000000 , 
   1.37447 ,         0.000000000000000 , 
   1.43992 ,         0.000000000000000 , 
   1.50537 ,         0.000000000000000 , 
   1.57082 ,         0.000000000000000 , 
   1.63627 ,         0.000000000000000 , 
   1.70172 ,         0.000000000000000 , 
   1.76718 ,         0.000000000000000 , 
   1.83263 ,         0.000000000000000 , 
   1.89808 ,         0.000000000000000 , 
   1.96353 ,         0.000000000000000 , 
   2.02898 ,         0.000000000000000 , 
   2.09443 ,         0.000000000000000 , 
   2.15988 ,         0.000000000000000 , 
   2.22533 ,         0.000000000000000 , 
   2.29078 ,         0.000000000000000 , 
   2.35623 ,         0.000000000000000 , 
   2.42168 ,         0.000000000000000 , 
   2.48714 ,         0.000000000000000 , 
   2.55259 ,         0.000000000000000 , 
   2.61804 ,         0.000000000000000 , 
   2.68349 ,         0.000000000000000 , 
   2.74894 ,         0.000000000000000 , 
   2.81439 ,         0.000000000000000 , 
   2.87984 ,         0.439784548599185 , 
   2.94529 ,         2.075587054602308 , 
   3.01074 ,         2.337608525311239 , 
   3.07619 ,         2.239197754846592 , 
   3.14164 ,         2.223128115814772 , 
   3.20710 ,         2.161461254184905 , 
   3.27255 ,         1.762327340485046 , 
   3.33800 ,         1.974480249982252 , 
   3.40345 ,         2.024223281334750 , 
   3.46890 ,         1.948560362396728 , 
   3.53435 ,         1.784367327332984 , 
   3.59980 ,         1.331381092062377 , 
   3.66525 ,         0.805893171305710 , 
   3.73070 ,         0.782024686046864 , 
   3.79615 ,         0.719133879151837 , 
   3.86161 ,         0.846380282485900 , 
   3.92706 ,         0.855944798167117 , 
   3.99251 ,         0.802687206814408 , 
   4.05796 ,         0.861383907968645 , 
   4.12341 ,         0.909168766894552 , 
   4.18886 ,         0.831486535316654 , 
   4.25431 ,         0.870075798131944 , 
   4.31976 ,         0.840807496653230 , 
