Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
195930.290        3900        7079  0.985E-01  0.995E+00
195942.275        5716       13623  0.728E-01  0.994E+00
195954.275        7423       20462  0.596E-01  0.993E+00
200006.283        8618       25429  0.531E-01  0.993E+00
200018.269       10087       31783  0.472E-01  0.992E+00
200030.282       11376       37702  0.425E-01  0.991E+00
200042.283       12644       43919  0.387E-01  0.991E+00
200054.269       13944       50934  0.355E-01  0.990E+00
200106.274       15142       58892  0.332E-01  0.990E+00
200118.310       16108       66068  0.318E-01  0.989E+00
200130.269       17083       73422  0.304E-01  0.989E+00
200142.269       17885       80127  0.294E-01  0.989E+00
200154.268       18470       85681  0.290E-01  0.989E+00
200206.268       19292       93694  0.283E-01  0.988E+00
200218.271       20039      101216  0.280E-01  0.988E+00
200230.279       20726      108608  0.277E-01  0.988E+00
200242.287       21582      117876  0.274E-01  0.988E+00
200254.274       22212      125602  0.274E-01  0.987E+00
200306.275       23010      135501  0.270E-01  0.987E+00
200318.276       23721      145058  0.270E-01  0.987E+00
200330.266       24368      154182  0.274E-01  0.987E+00
200342.271       25020      163647  0.274E-01  0.987E+00
200354.318       25596      171589  0.275E-01  0.986E+00
200406.276       26091      178966  0.277E-01  0.986E+00
200418.326       26625      186904  0.280E-01  0.986E+00
200430.275       27101      194654  0.277E-01  0.986E+00
200442.277       27583      203121  0.277E-01  0.986E+00
200454.272       28143      211765  0.277E-01  0.986E+00
200506.270       28665      220558  0.277E-01  0.986E+00
200518.275       29178      228892  0.279E-01  0.986E+00
200530.308       29697      238105  0.275E-01  0.986E+00
200542.282       30227      248163  0.275E-01  0.986E+00
200554.268       30582      254717  0.278E-01  0.985E+00
200606.270       30951      261727  0.278E-01  0.985E+00
200618.329       31345      269294  0.281E-01  0.985E+00
200630.276       31798      278368  0.280E-01  0.985E+00
200642.273       32237      286545  0.280E-01  0.985E+00
200654.275       32654      294991  0.281E-01  0.985E+00
200706.274       33031      302784  0.283E-01  0.985E+00
200718.278       33476      311143  0.283E-01  0.985E+00
200730.270       33836      318614  0.282E-01  0.985E+00
200742.276       34311      328258  0.281E-01  0.985E+00
200754.271       34748      337141  0.284E-01  0.985E+00
200806.273       35183      346514  0.283E-01  0.985E+00
200818.276       35733      357709  0.282E-01  0.985E+00
200830.275       36240      367719  0.281E-01  0.985E+00
200842.272       36700      376326  0.279E-01  0.985E+00
200854.290       37150      386265  0.281E-01  0.985E+00
200906.322       37528      395138  0.282E-01  0.985E+00
200918.279       37929      403762  0.281E-01  0.985E+00
200930.270       38305      412784  0.281E-01  0.985E+00
200942.279       38668      421395  0.280E-01  0.985E+00
200954.274       39133      431472  0.281E-01  0.985E+00
201006.270       39501      440021  0.283E-01  0.984E+00
201018.275       39761      446274  0.283E-01  0.984E+00
201030.275       40168      454814  0.284E-01  0.984E+00
