 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.225763175380821E+01 ,     0.646760100510861E+00 ,    -0.703917315507239E+00 , 
   0.49828 ,    -0.212505167068876E+01 ,     0.833431033298569E+00 ,    -0.448881117604906E+00 , 
   0.52832 ,    -0.207634050642155E+01 ,     0.968995920377757E+00 ,    -0.248965519908795E+00 , 
   0.55835 ,    -0.209879097493160E+01 ,     0.104965133768503E+01 ,    -0.112976950255604E+00 , 
   0.58839 ,    -0.216912287020025E+01 ,     0.107963124889492E+01 ,    -0.403972445190569E-01 , 
   0.61842 ,    -0.225927777163024E+01 ,     0.106933573899171E+01 ,    -0.228168443303349E-01 , 
   0.64846 ,    -0.234238758126194E+01 ,     0.103278600598003E+01 ,    -0.462921952971708E-01 , 
   0.67849 ,    -0.239779108999756E+01 ,     0.984883615920975E+00 ,    -0.941801454978749E-01 , 
   0.70853 ,    -0.241424781864615E+01 ,     0.938933433340637E+00 ,    -0.149974239294004E+00 , 
   0.73856 ,    -0.239091478851899E+01 ,     0.904797007216689E+00 ,    -0.199715599485559E+00 , 
   0.76860 ,    -0.233612055289129E+01 ,     0.887898605491027E+00 ,    -0.233660807190268E+00 , 
   0.79863 ,    -0.226439759643799E+01 ,     0.889138781049487E+00 ,    -0.247038204353465E+00 , 
   0.82867 ,    -0.219253853277195E+01 ,     0.905611022832365E+00 ,    -0.239885266167469E+00 , 
   0.85870 ,    -0.213557162508592E+01 ,     0.931892336708233E+00 ,    -0.216106339949026E+00 , 
   0.88874 ,    -0.210349278023721E+01 ,     0.961606695046063E+00 ,    -0.182000022304239E+00 , 
   0.91878 ,    -0.209936848634711E+01 ,     0.988948391857809E+00 ,    -0.144564562362629E+00 , 
   0.94881 ,    -0.211909288838526E+01 ,     0.100989632846894E+01 ,    -0.109893308340217E+00 , 
   0.97885 ,    -0.215271670004071E+01 ,     0.102293646678184E+01 ,    -0.819251863692138E-01 , 
   1.00888 ,    -0.218694292762080E+01 ,     0.102921826919345E+01 ,    -0.617301166410355E-01 , 
   1.03892 ,    -0.220816822868749E+01 ,     0.103218006627978E+01 ,    -0.474036739548930E-01 , 
   1.06895 ,    -0.220537736438620E+01 ,     0.103676834959665E+01 ,    -0.345382753541585E-01 , 
   1.09899 ,    -0.217227771949050E+01 ,     0.104843299042147E+01 ,    -0.171470466306327E-01 , 
   1.12902 ,    -0.210826558440315E+01 ,     0.107209798269511E+01 ,     0.111458353254382E-01 , 
   1.15906 ,    -0.201809530079395E+01 ,     0.111128715199303E+01 ,     0.558612911051690E-01 , 
   1.18909 ,    -0.191041286945287E+01 ,     0.116753482663327E+01 ,     0.120571790973543E+00 , 
   1.21913 ,    -0.179555449417902E+01 ,     0.124014562875841E+01 ,     0.206122287391015E+00 , 
   1.24916 ,    -0.168314913412757E+01 ,     0.132629965310394E+01 ,     0.310269276607501E+00 , 
   1.27920 ,    -0.158007751345857E+01 ,     0.142144219677355E+01 ,     0.427771860740212E+00 , 
   1.30923 ,    -0.148923120951431E+01 ,     0.151985989631664E+01 ,     0.550901190034535E+00 , 
   1.33927 ,    -0.140931356305315E+01 ,     0.161533150991528E+01 ,     0.670279054843316E+00 , 
   1.36930 ,    -0.133567722406309E+01 ,     0.170175031449334E+01 ,     0.775919098473935E+00 , 
   1.39934 ,    -0.126195699440107E+01 ,     0.177364057845984E+01 ,     0.858327902400210E+00 , 
   1.42937 ,    -0.118208265136037E+01 ,     0.182652471806616E+01 ,     0.909527358539655E+00 , 
   1.45941 ,    -0.109218072541223E+01 ,     0.185713199619870E+01 ,     0.923880870260888E+00 , 
   1.48944 ,    -0.991910322788284E+00 ,     0.186346687804537E+01 ,     0.898638914723330E+00 , 
   1.51948 ,    -0.884914899919172E+00 ,     0.184477112516649E+01 ,     0.834158665345721E+00 , 
   1.54951 ,    -0.778276780036536E+00 ,     0.180141745979417E+01 ,     0.733792362850974E+00 , 
   1.57955 ,    -0.681087702359266E+00 ,     0.173476632633593E+01 ,     0.603475544861040E+00 , 
   1.60958 ,    -0.602446940747105E+00 ,     0.164700520644786E+01 ,     0.451075945813841E+00 , 
   1.63962 ,    -0.549326039183362E+00 ,     0.154097716557439E+01 ,     0.285584932942786E+00 , 
   1.66966 ,    -0.524769793606557E+00 ,     0.141999624933638E+01 ,     0.116244841147109E+00 , 
   1.69969 ,    -0.526832017044652E+00 ,     0.128764470069696E+01 ,    -0.482926422695777E-01 , 
   1.72973 ,    -0.548488982514340E+00 ,     0.114755112946281E+01 ,    -0.200689414801893E+00 , 
   1.75976 ,    -0.578567989404815E+00 ,     0.100315790658561E+01 ,    -0.335453562639759E+00 , 
   1.78980 ,    -0.603517724566463E+00 ,     0.857496774228919E+00 ,    -0.449233041148353E+00 , 
   1.81983 ,    -0.609675483734233E+00 ,     0.713000009727421E+00 ,    -0.540850043590047E+00 , 
   1.84987 ,    -0.585588954255634E+00 ,     0.571377093155590E+00 ,    -0.611086380547991E+00 , 
   1.87990 ,    -0.523945634870201E+00 ,     0.433581868818627E+00 ,    -0.662260160423298E+00 , 
   1.90994 ,    -0.422749593494711E+00 ,     0.299882879709490E+00 ,    -0.697659647263740E+00 , 
   1.93997 ,    -0.285542595016030E+00 ,     0.170032150854437E+00 ,    -0.720917788421774E+00 , 
   1.97001 ,    -0.120660008804531E+00 ,     0.435089646812918E-01 ,    -0.735417601847497E+00 , 
   2.00004 ,     0.602996749571638E-01 ,    -0.802005482671150E-01 ,    -0.743812702892527E+00 , 
   2.03008 ,     0.244467930899968E+00 ,    -0.201336036335890E+00 ,    -0.747728817729152E+00 , 
   2.06011 ,     0.419764582148555E+00 ,    -0.319655398369874E+00 ,    -0.747683287064329E+00 , 
   2.09015 ,     0.576634086475208E+00 ,    -0.434324722920310E+00 ,    -0.743224342027287E+00 , 
   2.12018 ,     0.709159734783024E+00 ,    -0.543925564547029E+00 ,    -0.733255780879156E+00 , 
   2.15022 ,     0.815398824756539E+00 ,    -0.646577554330058E+00 ,    -0.716481602091071E+00 , 
   2.18025 ,     0.896948088928623E+00 ,    -0.740152939823912E+00 ,    -0.691884675614166E+00 , 
   2.21029 ,     0.957902260680406E+00 ,    -0.822543216508607E+00 ,    -0.659147621748559E+00 , 
   2.24032 ,     0.100347833136492E+01 ,    -0.891929927910147E+00 ,    -0.618934267389553E+00 , 
   2.27036 ,     0.103862338410782E+01 ,    -0.947013472568913E+00 ,    -0.572975056134340E+00 , 
   2.30039 ,     0.106689924801633E+01 ,    -0.987164656537505E+00 ,    -0.523935518336711E+00 , 
   2.33043 ,     0.108985222860967E+01 ,    -0.101248105160851E+01 ,    -0.475087128892919E+00 , 
   2.36046 ,     0.110695290741848E+01 ,    -0.102374988848171E+01 ,    -0.429837301203100E+00 , 
   2.39050 ,     0.111605858396361E+01 ,    -0.102233676675613E+01 ,    -0.391202877160492E+00 , 
   2.42054 ,     0.111423883133435E+01 ,    -0.101003108971423E+01 ,    -0.361323903601133E+00 , 
   2.45057 ,     0.109873621401276E+01 ,    -0.988882551875437E+00 ,    -0.341109085835245E+00 , 
   2.48061 ,     0.106782188402792E+01 ,    -0.961057977811104E+00 ,    -0.330081742117593E+00 , 
   2.51064 ,     0.102134878145876E+01 ,    -0.928736140752699E+00 ,    -0.326459286352256E+00 , 
   2.54068 ,     0.960890419080587E+00 ,    -0.894043266551108E+00 ,    -0.327456768915278E+00 , 
   2.57071 ,     0.889458801996641E+00 ,    -0.859017868201667E+00 ,    -0.329763721162685E+00 , 
   2.60075 ,     0.810895516460427E+00 ,    -0.825584178646454E+00 ,    -0.330111272615755E+00 , 
   2.63078 ,     0.729102444856159E+00 ,    -0.795511326966980E+00 ,    -0.325829407598115E+00 , 
   2.66082 ,     0.647307508944449E+00 ,    -0.770341205953178E+00 ,    -0.315295625891583E+00 , 
   2.69085 ,     0.567541660924246E+00 ,    -0.751280281519004E+00 ,    -0.298195983338129E+00 , 
   2.72089 ,     0.490442786737298E+00 ,    -0.739066189739937E+00 ,    -0.275553826032668E+00 , 
   2.75092 ,     0.415416424750805E+00 ,    -0.733834625546091E+00 ,    -0.249524006569228E+00 , 
   2.78096 ,     0.341093724528724E+00 ,    -0.735021522222591E+00 ,    -0.222992944100047E+00 , 
   2.81099 ,     0.265955500044786E+00 ,    -0.741336686960951E+00 ,    -0.199059534294110E+00 , 
   2.84103 ,     0.188954265730144E+00 ,    -0.750836624553514E+00 ,    -0.180492173202091E+00 , 
   2.87106 ,     0.109971766139154E+00 ,    -0.761107285162145E+00 ,    -0.169259389864400E+00 , 
   2.90110 ,     0.299953298161373E-01 ,    -0.769545132788506E+00 ,    -0.166215648873416E+00 , 
   2.93113 ,    -0.490295769091543E-01 ,    -0.773702008253547E+00 ,    -0.170993143234027E+00 , 
   2.96117 ,    -0.124629487571110E+00 ,    -0.771641021940044E+00 ,    -0.182111002869230E+00 , 
   2.99120 ,    -0.194401840770991E+00 ,    -0.762241739624101E+00 ,    -0.197272999937333E+00 , 
   3.02124 ,    -0.256624591750274E+00 ,    -0.745396029264924E+00 ,    -0.213791259988309E+00 , 
   3.05127 ,    -0.310713742589764E+00 ,    -0.722051425343547E+00 ,    -0.229052909228526E+00 , 
   3.08131 ,    -0.357401901403521E+00 ,    -0.694084350020248E+00 ,    -0.240942531585870E+00 , 
   3.11134 ,    -0.398578958640248E+00 ,    -0.664016317498980E+00 ,    -0.248145977207739E+00 , 
   3.14138 ,    -0.436819768351764E+00 ,    -0.634616272743699E+00 ,    -0.250287376005282E+00 , 
   3.17142 ,    -0.474703216088783E+00 ,    -0.608455290158673E+00 ,    -0.247885503148793E+00 , 
   3.20145 ,    -0.514082983048219E+00 ,    -0.587490995764905E+00 ,    -0.242150876215464E+00 , 
   3.23149 ,    -0.555488821248399E+00 ,    -0.572755594761903E+00 ,    -0.234674166415055E+00 , 
   3.26152 ,    -0.597813066958904E+00 ,    -0.564203540727396E+00 ,    -0.227074180195653E+00 , 
   3.29156 ,    -0.638375233783924E+00 ,    -0.560745888750519E+00 ,    -0.220676845962743E+00 , 
   3.32159 ,    -0.673371577014784E+00 ,    -0.560463799586836E+00 ,    -0.216285403897122E+00 , 
   3.35163 ,    -0.698626087132114E+00 ,    -0.560960305139456E+00 ,    -0.214079347686232E+00 , 
   3.38166 ,    -0.710485418134961E+00 ,    -0.559783942775486E+00 ,    -0.213650809077147E+00 , 
   3.41170 ,    -0.706660325316244E+00 ,    -0.554845308989557E+00 ,    -0.214158260378399E+00 , 
   3.44173 ,    -0.686820323801055E+00 ,    -0.544750451595891E+00 ,    -0.214554599759209E+00 , 
   3.47177 ,    -0.652796642429865E+00 ,    -0.528992655289757E+00 ,    -0.213834323146748E+00 , 
   3.50180 ,    -0.608331237552483E+00 ,    -0.507972911398620E+00 ,    -0.211244624460547E+00 , 
   3.53184 ,    -0.558408793496929E+00 ,    -0.482853287416687E+00 ,    -0.206417216299268E+00 , 
   3.56187 ,    -0.508302379553460E+00 ,    -0.455279604651531E+00 ,    -0.199398250635539E+00 , 
   3.59191 ,    -0.462530690988039E+00 ,    -0.427033809059738E+00 ,    -0.190578048280004E+00 , 
   3.62194 ,    -0.423950054803607E+00 ,    -0.399687483545033E+00 ,    -0.180544914366576E+00 , 
   3.65198 ,    -0.393181184482747E+00 ,    -0.374324154436300E+00 ,    -0.169903225030184E+00 , 
   3.68201 ,    -0.368503189211681E+00 ,    -0.351380575585879E+00 ,    -0.159101965405583E+00 , 
   3.71205 ,    -0.346249560816734E+00 ,    -0.330630057224797E+00 ,    -0.148315035108812E+00 , 
   3.74208 ,    -0.321633590219773E+00 ,    -0.311300121456889E+00 ,    -0.137400414757247E+00 , 
