Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
050933.561        3709       16216  0.405E-01  0.329E+00
050945.569        4116       21951  0.407E-01  0.328E+00
050957.632        4439       26394  0.404E-01  0.328E+00
051009.565        4819       32714  0.407E-01  0.327E+00
051021.575        5075       36971  0.410E-01  0.326E+00
051033.572        5411       42286  0.414E-01  0.326E+00
051045.572        5809       49169  0.420E-01  0.325E+00
051057.659        6180       56146  0.492E-01  0.383E+00
051109.569        6592       63868  0.417E-01  0.325E+00
051121.577        7015       71883  0.416E-01  0.325E+00
051133.569        7392       79827  0.420E-01  0.324E+00
051145.581        7780       87392  0.421E-01  0.324E+00
051157.564        8142       94567  0.421E-01  0.324E+00
051209.567        8568      102796  0.423E-01  0.324E+00
051221.563        8977      110551  0.421E-01  0.324E+00
051233.568        9357      118173  0.422E-01  0.324E+00
051245.568        9783      126539  0.422E-01  0.324E+00
051257.571       10135      134328  0.424E-01  0.324E+00
051309.568       10500      141484  0.425E-01  0.323E+00
051321.574       10879      148665  0.427E-01  0.323E+00
051333.615       11242      155911  0.499E-01  0.379E+00
051345.571       11708      164739  0.433E-01  0.323E+00
051357.568       12125      172579  0.437E-01  0.322E+00
051409.563       12550      180656  0.436E-01  0.322E+00
051421.567       12984      188984  0.434E-01  0.323E+00
051433.570       13437      197342  0.436E-01  0.322E+00
051445.622       13811      204813  0.435E-01  0.322E+00
051457.608       14227      212690  0.438E-01  0.322E+00
051509.583       14568      220000  0.437E-01  0.322E+00
051521.584       14945      226671  0.436E-01  0.322E+00
051533.566       15337      234444  0.434E-01  0.322E+00
051545.564       15705      241572  0.434E-01  0.322E+00
051557.679       16110      249523  0.398E-01  0.291E+00
051609.572       16551      257360  0.436E-01  0.322E+00
051621.567       16923      265070  0.435E-01  0.322E+00
051633.588       17446      274054  0.430E-01  0.323E+00
051645.572       17826      281987  0.428E-01  0.323E+00
051657.592       18229      290802  0.427E-01  0.323E+00
051709.572       18558      297311  0.425E-01  0.323E+00
051721.564       19018      306127  0.427E-01  0.323E+00
051733.571       19530      316360  0.424E-01  0.323E+00
051745.571       19928      324465  0.425E-01  0.323E+00
051757.563       20357      333029  0.429E-01  0.323E+00
051809.571       20793      342134  0.426E-01  0.323E+00
051821.568       21210      350298  0.430E-01  0.323E+00
051833.573       21640      359249  0.430E-01  0.323E+00
051845.578       22054      367099  0.428E-01  0.323E+00
051857.569       22382      373682  0.426E-01  0.323E+00
051909.571       22765      381739  0.425E-01  0.323E+00
051921.571       23169      390205  0.428E-01  0.323E+00
051933.587       23610      399172  0.432E-01  0.323E+00
051945.569       24025      407874  0.429E-01  0.323E+00
051957.571       24434      416212  0.429E-01  0.323E+00
052009.567       24845      424454  0.427E-01  0.323E+00
052021.670       25289      433032  0.397E-01  0.301E+00
052033.625       25700      441407  0.462E-01  0.341E+00
052045.568       26125      450345  0.431E-01  0.322E+00
052057.571       26597      459380  0.427E-01  0.323E+00
052109.601       27002      467403  0.425E-01  0.323E+00
052121.569       27408      474946  0.424E-01  0.323E+00
052133.569       27764      483004  0.426E-01  0.323E+00
052145.569       28115      490282  0.422E-01  0.323E+00
052157.598       28485      498302  0.423E-01  0.323E+00
052209.571       28923      506678  0.427E-01  0.323E+00
052221.568       29319      515046  0.429E-01  0.323E+00
052233.611       29768      524190  0.431E-01  0.322E+00
052245.574       30223      533124  0.434E-01  0.322E+00
052257.565       30675      541942  0.430E-01  0.322E+00
052309.564       31068      550154  0.431E-01  0.322E+00
052321.571       31538      559631  0.429E-01  0.323E+00
052333.604       31919      567287  0.430E-01  0.322E+00
052345.571       32312      575349  0.429E-01  0.323E+00
052357.568       32645      582221  0.427E-01  0.323E+00
052409.570       33061      590706  0.431E-01  0.322E+00
052421.563       33538      599732  0.433E-01  0.322E+00
052433.569       33979      608890  0.437E-01  0.322E+00
052445.566       34413      617562  0.437E-01  0.322E+00
052457.572       34841      625407  0.435E-01  0.322E+00
052509.567       35253      634164  0.436E-01  0.322E+00
052521.570       35679      642073  0.434E-01  0.322E+00
052533.570       36053      649505  0.432E-01  0.322E+00
052545.568       36452      657148  0.427E-01  0.323E+00
052557.572       36890      665786  0.429E-01  0.323E+00
052609.628       37290      674042  0.428E-01  0.323E+00
052621.566       37716      683333  0.430E-01  0.322E+00
052633.563       38112      691270  0.429E-01  0.322E+00
052645.607       38501      699023  0.428E-01  0.323E+00
052657.567       38961      708170  0.428E-01  0.323E+00
052709.568       39420      717857  0.432E-01  0.322E+00
052721.564       39854      726613  0.430E-01  0.322E+00
052733.568       40271      735854  0.435E-01  0.322E+00
052745.565       40688      744112  0.432E-01  0.322E+00
052757.570       41137      752512  0.434E-01  0.322E+00
052809.567       41466      760350  0.433E-01  0.322E+00
052821.565       41914      768821  0.436E-01  0.322E+00
052833.561       42381      778593  0.435E-01  0.322E+00
052845.572       42847      787506  0.434E-01  0.322E+00
052857.587       43198      794632  0.434E-01  0.322E+00
052909.567       43561      801664  0.436E-01  0.322E+00
052921.568       43961      809679  0.434E-01  0.322E+00
052933.567       44301      816491  0.433E-01  0.322E+00
052945.608       44710      824700  0.434E-01  0.322E+00
052957.572       44991      830469  0.433E-01  0.322E+00
053009.570       45450      840010  0.431E-01  0.322E+00
053021.572       45797      847055  0.430E-01  0.322E+00
053033.569       46229      855701  0.429E-01  0.322E+00
053045.567       46650      863996  0.431E-01  0.322E+00
053057.653       47064      872003  0.432E-01  0.322E+00
053109.571       47467      880848  0.438E-01  0.322E+00
053121.571       47897      889231  0.438E-01  0.322E+00
053133.571       48355      897696  0.439E-01  0.322E+00
053145.567       48766      905624  0.439E-01  0.321E+00
053157.575       49165      914126  0.439E-01  0.321E+00
053209.572       49579      922696  0.442E-01  0.321E+00
053221.567       50041      931052  0.442E-01  0.321E+00
053233.567       50508      940779  0.437E-01  0.322E+00
053245.571       50915      948566  0.438E-01  0.322E+00
053257.574       51320      956203  0.437E-01  0.322E+00
053309.569       51708      964214  0.439E-01  0.321E+00
053321.564       52059      971920  0.437E-01  0.322E+00
053333.565       52447      979927  0.439E-01  0.321E+00
053345.570       52757      986986  0.435E-01  0.322E+00
053357.570       53140      995098  0.433E-01  0.322E+00
053409.618       53533     1003707  0.433E-01  0.322E+00
053421.573       53939     1011904  0.433E-01  0.322E+00
053433.570       54343     1020103  0.435E-01  0.322E+00
053445.570       54784     1029252  0.432E-01  0.322E+00
053457.596       55178     1036901  0.431E-01  0.322E+00
053509.599       55563     1045366  0.433E-01  0.322E+00
053521.570       56003     1054004  0.434E-01  0.322E+00
053533.571       56410     1062511  0.434E-01  0.322E+00
053545.571       56761     1069417  0.432E-01  0.322E+00
053557.568       57113     1077183  0.433E-01  0.322E+00
053609.571       57580     1086549  0.433E-01  0.322E+00
053621.563       58020     1095374  0.431E-01  0.322E+00
053633.563       58433     1104078  0.430E-01  0.322E+00
053645.572       58856     1113057  0.430E-01  0.322E+00
053657.624       59200     1120422  0.432E-01  0.322E+00
053709.571       59595     1129009  0.432E-01  0.322E+00
053721.564       59944     1136867  0.435E-01  0.322E+00
053733.571       60376     1145285  0.435E-01  0.322E+00
053745.647       60893     1155447  0.435E-01  0.322E+00
053757.564       61352     1164358  0.434E-01  0.322E+00
053809.571       61783     1173209  0.432E-01  0.322E+00
053821.629       62176     1181723  0.430E-01  0.322E+00
053833.566       62580     1190167  0.431E-01  0.322E+00
053845.565       62991     1198677  0.433E-01  0.322E+00
053857.567       63457     1208119  0.437E-01  0.321E+00
053909.567       63880     1216568  0.436E-01  0.322E+00
053921.568       64211     1223834  0.439E-01  0.321E+00
053933.564       64613     1232743  0.438E-01  0.321E+00
053945.567       65081     1242109  0.439E-01  0.321E+00
053957.562       65478     1250202  0.436E-01  0.322E+00
054009.567       65870     1257573  0.438E-01  0.321E+00
054021.570       66313     1266927  0.434E-01  0.322E+00
054033.570       66748     1275591  0.428E-01  0.322E+00
054045.572       67101     1283512  0.429E-01  0.322E+00
054057.568       67493     1292087  0.431E-01  0.322E+00
054109.627       67872     1299816  0.431E-01  0.322E+00
054121.564       68247     1307401  0.429E-01  0.322E+00
054133.570       68596     1314962  0.429E-01  0.322E+00
054145.571       69065     1324352  0.430E-01  0.322E+00
054157.592       69422     1332120  0.471E-01  0.356E+00
054209.574       69825     1340203  0.430E-01  0.322E+00
054221.569       70212     1348211  0.433E-01  0.322E+00
054233.591       70591     1355776  0.430E-01  0.322E+00
054245.567       71019     1363663  0.432E-01  0.322E+00
054257.564       71395     1371352  0.432E-01  0.322E+00
054309.570       71816     1380555  0.435E-01  0.322E+00
054321.604       72220     1388517  0.434E-01  0.322E+00
054333.566       72642     1397274  0.435E-01  0.322E+00
