 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.282682013627283E+01 ,     0.750807404393347E-01 ,    -0.140183503620488E+01 , 
   0.49828 ,    -0.309609499014132E+01 ,    -0.196825512822484E+00 ,    -0.168202251303542E+01 , 
   0.52832 ,    -0.327000156085662E+01 ,    -0.353239022137879E+00 ,    -0.184183791994965E+01 , 
   0.55835 ,    -0.335133466507155E+01 ,    -0.403539896115763E+00 ,    -0.189014139641877E+01 , 
   0.58839 ,    -0.335338174754314E+01 ,    -0.369755048028485E+00 ,    -0.184913807472373E+01 , 
   0.61842 ,    -0.329647885305405E+01 ,    -0.281297253622643E+00 ,    -0.174911986410444E+01 , 
   0.64846 ,    -0.320398592849153E+01 ,    -0.169164077975749E+00 ,    -0.162252926174729E+01 , 
   0.67849 ,    -0.309840029867693E+01 ,    -0.606463466762626E-01 ,    -0.149840859575934E+01 , 
   0.70853 ,    -0.299821932447519E+01 ,     0.245948798450175E-01 ,    -0.139813494156496E+01 , 
   0.73856 ,    -0.291595944610533E+01 ,     0.765542659680273E-01 ,    -0.133303203510563E+01 , 
   0.76860 ,    -0.285748538903391E+01 ,     0.948810702729245E-01 ,    -0.130406224002072E+01 , 
   0.79863 ,    -0.282255187190558E+01 ,     0.871079163202969E-01 ,    -0.130341052140387E+01 , 
   0.82867 ,    -0.280625729517000E+01 ,     0.656698326897259E-01 ,    -0.131745018910960E+01 , 
   0.85870 ,    -0.280098759864168E+01 ,     0.444424970375210E-01 ,    -0.133038077380732E+01 , 
   0.88874 ,    -0.279840286009298E+01 ,     0.355407721096233E-01 ,    -0.132777881441315E+01 , 
   0.91878 ,    -0.279108331234999E+01 ,     0.469847024581466E-01 ,    -0.129939941628828E+01 , 
   0.94881 ,    -0.277358219266747E+01 ,     0.815984169650890E-01 ,    -0.124077950646578E+01 , 
   0.97885 ,    -0.274279611717418E+01 ,     0.137214741712234E+00 ,    -0.115347232391395E+01 , 
   1.00888 ,    -0.269772230087690E+01 ,     0.207977795730926E+00 ,    -0.104402772134933E+01 , 
   1.03892 ,    -0.263879352497868E+01 ,     0.286323575862206E+00 ,    -0.922068573651889E+00 , 
   1.06895 ,    -0.256704497602533E+01 ,     0.365112927774537E+00 ,    -0.797958208956013E+00 , 
   1.09899 ,    -0.248336518603834E+01 ,     0.439406272841742E+00 ,    -0.680586649310209E+00 , 
   1.12902 ,    -0.238802420779037E+01 ,     0.507493111807174E+00 ,    -0.575727557761131E+00 , 
   1.15906 ,    -0.228057545285648E+01 ,     0.570987910755597E+00 ,    -0.485257442206422E+00 , 
   1.18909 ,    -0.216011928013619E+01 ,     0.634030158214758E+00 ,    -0.407323083713210E+00 , 
   1.21913 ,    -0.202582256144085E+01 ,     0.701829856229203E+00 ,    -0.337337543817815E+00 , 
   1.24916 ,    -0.187752950815269E+01 ,     0.778937871304951E+00 ,    -0.269521145521316E+00 , 
   1.27920 ,    -0.171628566882157E+01 ,     0.867667061839873E+00 ,    -0.198611546608212E+00 , 
   1.30923 ,    -0.154462843047668E+01 ,     0.967039517014512E+00 ,    -0.121359603273270E+00 , 
   1.33927 ,    -0.136656243897424E+01 ,     0.107250325304115E+01 ,    -0.375000516898036E-01 , 
   1.36930 ,    -0.118721892821775E+01 ,     0.117648072083013E+01 ,     0.499828652167494E-01 , 
   1.39934 ,    -0.101227353985227E+01 ,     0.126962297678449E+01 ,     0.135316213221575E+00 , 
   1.42937 ,    -0.847249996264260E+00 ,     0.134248870481529E+01 ,     0.210995721285705E+00 , 
   1.45941 ,    -0.696855816013129E+00 ,     0.138727885523384E+01 ,     0.269196111430178E+00 , 
   1.48944 ,    -0.564478908117128E+00 ,     0.139925239709428E+01 ,     0.303235152798297E+00 , 
   1.51948 ,    -0.451927055986571E+00 ,     0.137752498901713E+01 ,     0.308801304346619E+00 , 
   1.54951 ,    -0.359429526788547E+00 ,     0.132509123395560E+01 ,     0.284721688084537E+00 , 
   1.57955 ,    -0.285858015402329E+00 ,     0.124808081752021E+01 ,     0.233153417598520E+00 , 
   1.60958 ,    -0.229078476835348E+00 ,     0.115442193036275E+01 ,     0.159202047748058E+00 , 
   1.63962 ,    -0.186326843331424E+00 ,     0.105220723715359E+01 ,     0.700803122118904E-01 , 
   1.66966 ,    -0.154513496109222E+00 ,     0.948113459608009E+00 ,    -0.260028103058809E-01 , 
   1.69969 ,    -0.130398997350880E+00 ,     0.846205392041387E+00 ,    -0.121000837609322E+00 , 
   1.72973 ,    -0.110635687965175E+00 ,     0.747365315674283E+00 ,    -0.208029683702722E+00 , 
   1.75976 ,    -0.917213815584664E-01 ,     0.649450313622160E+00 ,    -0.282056293885534E+00 , 
   1.78980 ,    -0.699478050618131E-01 ,     0.548123532666742E+00 ,    -0.340201433711825E+00 , 
   1.81983 ,    -0.414369034693629E-01 ,     0.438164466046833E+00 ,    -0.381664735134572E+00 , 
   1.84987 ,    -0.233865529046370E-02 ,     0.314967030368130E+00 ,    -0.407349873552277E+00 , 
   1.87990 ,     0.507814645016933E-01 ,     0.175901480874372E+00 ,    -0.419311630938034E+00 , 
   1.90994 ,     0.120397816965238E+00 ,     0.212520410597875E-01 ,    -0.420158770875770E+00 , 
   1.93997 ,     0.207415343145256E+00 ,    -0.145462991292225E+00 ,    -0.412528991652840E+00 , 
   1.97001 ,     0.310631831891199E+00 ,    -0.317849481356473E+00 ,    -0.398713070243832E+00 , 
   2.00004 ,     0.426421574574988E+00 ,    -0.487593537889593E+00 ,    -0.380456843618156E+00 , 
   2.03008 ,     0.548767739577711E+00 ,    -0.645814236415418E+00 ,    -0.358924653157377E+00 , 
   2.06011 ,     0.669713863183011E+00 ,    -0.784535932920084E+00 ,    -0.334776536030491E+00 , 
   2.09015 ,     0.780223748459390E+00 ,    -0.897986210161717E+00 ,    -0.308299270336950E+00 , 
   2.12018 ,     0.871350390983413E+00 ,    -0.983468948764019E+00 ,    -0.279538236913246E+00 , 
   2.15022 ,     0.935537743554288E+00 ,    -0.104165473717552E+01 ,    -0.248397794269324E+00 , 
   2.18025 ,     0.967832166029311E+00 ,    -0.107625203343012E+01 ,    -0.214704110356355E+00 , 
   2.21029 ,     0.966775699231339E+00 ,    -0.109314635317211E+01 ,    -0.178247094159786E+00 , 
   2.24032 ,     0.934794734838975E+00 ,    -0.109919599072736E+01 ,    -0.138829996869348E+00 , 
   2.27036 ,     0.877979392234090E+00 ,    -0.110093181342438E+01 ,    -0.963529326674630E-01 , 
   2.30039 ,     0.805256325622652E+00 ,    -0.110341544362491E+01 ,    -0.509411073009564E-01 , 
   2.33043 ,     0.727070184682512E+00 ,    -0.110946575287291E+01 ,    -0.310518571299340E-02 , 
   2.36046 ,     0.653784186540631E+00 ,    -0.111937954397470E+01 ,     0.461021842980555E-01 , 
   2.39050 ,     0.594068744761113E+00 ,    -0.113116763589601E+01 ,     0.949849639175360E-01 , 
   2.42054 ,     0.553556335326816E+00 ,    -0.114122458085096E+01 ,     0.141209680161321E+00 , 
   2.45057 ,     0.533997915587448E+00 ,    -0.114526970027725E+01 ,     0.181955310181301E+00 , 
