 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.275109286953251E+01 ,     0.108587288008816E+00 ,    -0.141305394435661E+01 , 
   0.49828 ,    -0.293215391159033E+01 ,    -0.926942862447935E-01 ,    -0.163271305940941E+01 , 
   0.52832 ,    -0.306341367764167E+01 ,    -0.214893932289725E+00 ,    -0.175482950968138E+01 , 
   0.55835 ,    -0.314117693261857E+01 ,    -0.262183611253549E+00 ,    -0.178689741769421E+01 , 
   0.58839 ,    -0.316746307732525E+01 ,    -0.247693491774035E+00 ,    -0.174767223601983E+01 , 
   0.61842 ,    -0.314913314289218E+01 ,    -0.190244798648297E+00 ,    -0.166270060971775E+01 , 
   0.64846 ,    -0.309647563932884E+01 ,    -0.110607151916523E+00 ,    -0.155927226637672E+01 , 
   0.67849 ,    -0.302149116165839E+01 ,    -0.279524442834161E-01 ,    -0.146170510392191E+01 , 
   0.70853 ,    -0.293613747766779E+01 ,     0.429255957975624E-01 ,    -0.138773514604952E+01 , 
   0.73856 ,    -0.285077920096900E+01 ,     0.932509909145934E-01 ,    -0.134651715772643E+01 , 
   0.76860 ,    -0.277303499006598E+01 ,     0.120631336020702E+00 ,    -0.133840652177507E+01 , 
   0.79863 ,    -0.270714093490293E+01 ,     0.128258924581209E+00 ,    -0.135635476057249E+01 , 
   0.82867 ,    -0.265386435112303E+01 ,     0.123253276443840E+00 ,    -0.138847247117559E+01 , 
   0.85870 ,    -0.261092086968409E+01 ,     0.114570592300268E+00 ,    -0.142114184659205E+01 , 
   0.88874 ,    -0.257378102713817E+01 ,     0.110932279684085E+00 ,    -0.144202052318822E+01 , 
   0.91878 ,    -0.253670877284687E+01 ,     0.119162372198756E+00 ,    -0.144236688085691E+01 , 
   0.94881 ,    -0.249385746350256E+01 ,     0.143193146880428E+00 ,    -0.141830733054719E+01 , 
   0.97885 ,    -0.244025871418672E+01 ,     0.183831812231649E+00 ,    -0.137091392748374E+01 , 
   1.00888 ,    -0.237257179341379E+01 ,     0.239215329939918E+00 ,    -0.130521310728650E+01 , 
   1.03892 ,    -0.228950916696377E+01 ,     0.305748436684774E+00 ,    -0.122845335700590E+01 , 
   1.06895 ,    -0.219190891510114E+01 ,     0.379245189240707E+00 ,    -0.114808339384052E+01 , 
   1.09899 ,    -0.208247856304284E+01 ,     0.455986579131987E+00 ,    -0.106991411470803E+01 , 
   1.12902 ,    -0.196527996248426E+01 ,     0.533461035047462E+00 ,    -0.996859968020315E+00 , 
   1.15906 ,    -0.184505581572700E+01 ,     0.610653563848964E+00 ,    -0.928501011568213E+00 , 
   1.18909 ,    -0.172651230355162E+01 ,     0.687867594700567E+00 ,    -0.861512385928606E+00 , 
   1.21913 ,    -0.161366871448155E+01 ,     0.766174011179447E+00 ,    -0.790815814478934E+00 , 
   1.24916 ,    -0.150936597659947E+01 ,     0.846661016225538E+00 ,    -0.711157616355132E+00 , 
   1.27920 ,    -0.141499541246933E+01 ,     0.929691587565946E+00 ,    -0.618738330875709E+00 , 
   1.30923 ,    -0.133047191337142E+01 ,     0.101435867774813E+01 ,    -0.512523058404550E+00 , 
   1.33927 ,    -0.125443757564086E+01 ,     0.109826944163282E+01 ,    -0.394943869303283E+00 , 
   1.36930 ,    -0.118464795209935E+01 ,     0.117770482012225E+01 ,    -0.271845131233881E+00 , 
   1.39934 ,    -0.111846790192185E+01 ,     0.124811058570888E+01 ,    -0.151687631981006E+00 , 
   1.42937 ,    -0.105339070467823E+01 ,     0.130480105654653E+01 ,    -0.441825060295450E-01 , 
   1.45941 ,    -0.987494114267015E+00 ,     0.134371298347727E+01 ,     0.413604695972781E-01 , 
   1.48944 ,    -0.919760033575847E+00 ,     0.136204256128843E+01 ,     0.976352721378139E-01 , 
   1.51948 ,    -0.850208395922104E+00 ,     0.135863186826881E+01 ,     0.120578183145489E+00 , 
   1.54951 ,    -0.779827036845592E+00 ,     0.133403267545425E+01 ,     0.110011790470662E+00 , 
   1.57955 ,    -0.710313155015183E+00 ,     0.129025010547528E+01 ,     0.695909773014073E-01 , 
   1.60958 ,    -0.643673262763648E+00 ,     0.123023865906005E+01 ,     0.609003574921530E-02 , 
   1.63962 ,    -0.581752442160408E+00 ,     0.115727323174169E+01 ,    -0.718018717835324E-01 , 
   1.66966 ,    -0.525776367978333E+00 ,     0.107433778557865E+01 ,    -0.154921605529266E+00 , 
   1.69969 ,    -0.475988680246334E+00 ,     0.983661477216872E+00 ,    -0.235021994167663E+00 , 
   1.72973 ,    -0.431451699280307E+00 ,     0.886490968815999E+00 ,    -0.305851356958122E+00 , 
   1.75976 ,    -0.390052196269788E+00 ,     0.783129148771558E+00 ,    -0.363742035083895E+00 , 
   1.78980 ,    -0.348719980875876E+00 ,     0.673208704222925E+00 ,    -0.407638508356165E+00 , 
   1.81983 ,    -0.303830897214030E+00 ,     0.556118051364450E+00 ,    -0.438614466556132E+00 , 
   1.84987 ,    -0.251733472623998E+00 ,     0.431467977494354E+00 ,    -0.459029691228620E+00 , 
   1.87990 ,    -0.189315563996703E+00 ,     0.299485396568560E+00 ,    -0.471541647385667E+00 , 
   1.90994 ,    -0.114518105622525E+00 ,     0.161244803976774E+00 ,    -0.478201924897619E+00 , 
   1.93997 ,    -0.267094764310472E-01 ,     0.186913476626495E-01 ,    -0.479833474399481E+00 , 
   1.97001 ,     0.731445959770936E-01 ,    -0.125539122456203E+00 ,    -0.475810681480148E+00 , 
   2.00004 ,     0.182547616199509E+00 ,    -0.268450465133420E+00 ,    -0.464268297372209E+00 , 
   2.03008 ,     0.297768171698347E+00 ,    -0.407082378282917E+00 ,    -0.442668494781658E+00 , 
   2.06011 ,     0.414319160728168E+00 ,    -0.538877123264711E+00 ,    -0.408578411639747E+00 , 
   2.09015 ,     0.527543193887638E+00 ,    -0.661934491296258E+00 ,    -0.360468945732591E+00 , 
   2.12018 ,     0.633208665197852E+00 ,    -0.775104462987465E+00 ,    -0.298346607449776E+00 , 
   2.15022 ,     0.728019120990940E+00 ,    -0.877909395829609E+00 ,    -0.224071951583521E+00 , 
   2.18025 ,     0.809953642775598E+00 ,    -0.970329922193184E+00 ,    -0.141290016273460E+00 , 
   2.21029 ,     0.878385472392348E+00 ,    -0.105252084175295E+01 ,    -0.549838775818369E-01 , 
   2.24032 ,     0.933964872014048E+00 ,    -0.112453774137840E+01 ,     0.292567889641829E-01 , 
