Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
233034.792        6520       16329  0.727E+00  0.656E+00
233046.797        9911       30483  0.451E+00  0.616E+00
233058.792       12801       44475  0.310E+00  0.591E+00
233110.790       15216       58631  0.247E+00  0.570E+00
233122.792       17390       72686  0.213E+00  0.552E+00
233134.791       19364       86708  0.188E+00  0.537E+00
233146.843       20774       97512  0.175E+00  0.526E+00
233158.805       21551      103369  0.167E+00  0.521E+00
233210.799       22477      110505  0.159E+00  0.514E+00
233222.794       23335      116997  0.152E+00  0.508E+00
233234.822       23920      121772  0.147E+00  0.505E+00
233246.793       24511      126795  0.143E+00  0.501E+00
233258.792       25401      134052  0.135E+00  0.496E+00
233310.795       26207      140429  0.130E+00  0.490E+00
233322.801       26906      146385  0.125E+00  0.486E+00
233334.795       27720      152724  0.120E+00  0.481E+00
233346.799       28720      161208  0.114E+00  0.475E+00
233358.844       29412      166672  0.110E+00  0.471E+00
233410.811       30154      173278  0.105E+00  0.468E+00
233422.804       31030      181123  0.100E+00  0.464E+00
233434.799       31690      186598  0.966E-01  0.461E+00
233446.799       32347      192256  0.926E-01  0.458E+00
233458.796       32916      197071  0.903E-01  0.455E+00
233510.796       33584      202942  0.875E-01  0.452E+00
233522.810       34268      208942  0.845E-01  0.450E+00
233534.828       34788      213804  0.821E-01  0.448E+00
233546.796       35588      220955  0.792E-01  0.444E+00
233558.801       36571      229753  0.755E-01  0.440E+00
233610.821       37139      235029  0.737E-01  0.437E+00
233622.820       37984      242349  0.704E-01  0.434E+00
233634.795       38911      250865  0.676E-01  0.431E+00
233646.799       39743      258451  0.646E-01  0.428E+00
233658.795       40506      265820  0.620E-01  0.425E+00
233710.802       41488      274661  0.590E-01  0.422E+00
233722.801       42341      282704  0.568E-01  0.419E+00
233734.794       43092      290209  0.547E-01  0.416E+00
233746.801       43924      297992  0.523E-01  0.414E+00
233758.799       44749      305765  0.499E-01  0.412E+00
233810.796       45556      313933  0.482E-01  0.409E+00
