Time       moves_acc moves_gen     G(r)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01
101205.934        1741        6763  0.129E+01
101217.894        2543       12575  0.105E+01
101229.931        3256       18458  0.891E+00
101241.900        3856       24604  0.792E+00
101253.906        4406       30738  0.718E+00
101305.898        4863       36200  0.669E+00
101317.912        5361       42613  0.619E+00
101329.893        5843       48910  0.575E+00
101341.897        6301       55488  0.539E+00
101353.893        6819       62861  0.500E+00
101405.891        7344       70952  0.461E+00
101417.898        7769       77548  0.433E+00
101429.894        8220       85065  0.407E+00
101441.894        8718       93215  0.381E+00
101453.946        9084      100001  0.365E+00
101505.901        9367      106063  0.354E+00
101517.893        9698      113145  0.339E+00
101529.905       10043      120661  0.327E+00
101541.891       10314      128134  0.318E+00
101553.909       10618      136250  0.308E+00
101605.908       10825      141857  0.302E+00
101617.893       11041      148146  0.296E+00
101629.896       11290      155944  0.289E+00
101641.894       11446      162094  0.285E+00
101653.905       11589      166357  0.281E+00
101705.891       11762      172579  0.277E+00
101717.899       11948      179159  0.273E+00
101729.905       12353      187345  0.277E+00
101741.899       12622      193738  0.270E+00
101753.893       12836      199742  0.265E+00
101805.895       13062      206789  0.260E+00
101817.899       13267      213387  0.255E+00
101829.896       13499      221001  0.251E+00
101841.915       13680      228566  0.247E+00
101853.902       13875      235766  0.244E+00
101905.896       14066      242790  0.241E+00
101917.898       14245      249253  0.238E+00
101929.893       14398      255974  0.235E+00
101941.904       14560      262995  0.233E+00
101953.912       14699      269144  0.231E+00
102005.907       14868      277474  0.228E+00
102017.912       15058      286113  0.225E+00
102029.895       15258      296865  0.222E+00
102041.919       15410      304225  0.219E+00
102053.936       15609      313985  0.216E+00
102105.896       15717      320369  0.215E+00
102117.895       15908      329633  0.212E+00
102129.899       16090      338472  0.209E+00
102141.906       16185      345370  0.208E+00
102153.905       16344      353330  0.206E+00
102205.895       16516      362536  0.204E+00
102217.941       16684      371066  0.202E+00
102229.899       16854      379312  0.200E+00
102241.902       16984      386446  0.198E+00
102253.897       17191      397012  0.196E+00
102305.902       17396      407997  0.193E+00
102317.897       17553      416022  0.192E+00
102329.902       17762      427342  0.189E+00
102341.896       17945      437266  0.187E+00
102353.894       18107      446019  0.185E+00
102405.899       18234      452958  0.184E+00
102417.901       18416      462299  0.182E+00
102429.903       18554      470113  0.181E+00
102441.896       18742      480431  0.179E+00
102453.902       18954      491124  0.178E+00
102505.895       19109      501254  0.176E+00
102517.898       19308      511574  0.174E+00
102529.895       19511      522224  0.172E+00
102541.899       19731      533973  0.170E+00
102553.918       19875      542614  0.169E+00
102605.909       20033      551630  0.168E+00
102617.894       20223      562191  0.167E+00
102629.906       20386      570724  0.165E+00
102641.925       20484      576984  0.164E+00
102653.898       20676      587172  0.163E+00
102705.902       20881      597957  0.161E+00
102717.918       21083      608372  0.160E+00
102729.898       21280      619838  0.158E+00
102741.901       21410      627370  0.157E+00
102753.896       21531      636229  0.157E+00
102805.902       21745      647761  0.155E+00
102817.898       21902      657313  0.154E+00
102829.894       22172      669260  0.154E+00
102841.903       22332      677969  0.153E+00
102853.919       22452      684756  0.152E+00
102905.899       22584      693007  0.151E+00
102917.902       22721      701019  0.151E+00
102929.901       22883      711243  0.149E+00
102941.902       23074      722961  0.148E+00
102953.902       23256      733198  0.147E+00
103005.902       23445      744072  0.146E+00
103017.898       23673      755314  0.145E+00
103029.899       23856      765133  0.144E+00
103041.895       23971      772905  0.143E+00
103053.908       24092      780936  0.142E+00
103105.899       24219      788487  0.142E+00
103117.900       24356      797693  0.141E+00
103129.899       24504      806870  0.141E+00
103141.898       24674      816767  0.140E+00
103153.898       24822      825543  0.139E+00
103205.894       24952      833348  0.138E+00
103217.918       25099      842685  0.137E+00
103229.935       25224      849747  0.136E+00
103241.936       25306      855250  0.136E+00
103253.895       25429      862212  0.135E+00
103305.911       25540      868576  0.135E+00
103317.901       25670      876387  0.134E+00
103329.916       25773      883623  0.134E+00
103341.935       25881      891518  0.133E+00
103353.898       26067      901790  0.132E+00
103405.901       26258      912871  0.131E+00
103417.902       26397      921450  0.130E+00
103429.901       26577      932520  0.129E+00
103441.901       26720      942340  0.128E+00
103453.901       26898      952509  0.128E+00
103505.902       27066      963443  0.127E+00
103517.924       27199      972508  0.126E+00
103529.896       27366      983486  0.125E+00
103541.902       27549      994667  0.124E+00
103553.896       27670     1002922  0.124E+00
103605.900       27840     1014491  0.123E+00
103617.901       28001     1025699  0.123E+00
103629.899       28140     1034763  0.122E+00
103641.899       28436     1045677  0.123E+00
103653.901       28681     1056609  0.121E+00
103705.901       28871     1066959  0.120E+00
103717.925       29046     1077508  0.120E+00
103729.895       29220     1088628  0.118E+00
103741.909       29363     1097413  0.118E+00
103753.899       29567     1108195  0.117E+00
103805.906       29735     1117700  0.116E+00
103817.899       29899     1128867  0.115E+00
103829.898       30047     1138520  0.115E+00
103841.918       30206     1149305  0.114E+00
103853.899       30392     1160271  0.114E+00
103905.894       30534     1169392  0.113E+00
103917.911       30676     1177828  0.113E+00
103929.911       30852     1188286  0.112E+00
103941.902       31007     1198589  0.111E+00
103953.901       31097     1204382  0.111E+00
104005.898       31600     1214021  0.115E+00
104017.893       31917     1224508  0.112E+00
104029.893       32113     1234084  0.111E+00
104041.899       32335     1244626  0.110E+00
104053.912       32511     1254102  0.109E+00
104105.900       32683     1263905  0.109E+00
