 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.285752505372135E+01 ,     0.183602448485015E+00 ,    -0.130977728567420E+01 , 
   0.49828 ,    -0.282208784332106E+01 ,     0.228420323071765E+00 ,    -0.125005182650892E+01 , 
   0.52832 ,    -0.276982883758042E+01 ,     0.287703132649719E+00 ,    -0.116893131808020E+01 , 
   0.55835 ,    -0.270737164413961E+01 ,     0.355252872653100E+00 ,    -0.107523651203376E+01 , 
   0.58839 ,    -0.264257921771320E+01 ,     0.424056067754106E+00 ,    -0.978965090895837E+00 , 
   0.61842 ,    -0.258282015278024E+01 ,     0.487847934706622E+00 ,    -0.889019545666166E+00 , 
   0.64846 ,    -0.253341307786307E+01 ,     0.542495055693848E+00 ,    -0.811207888132873E+00 , 
   0.67849 ,    -0.249654983274059E+01 ,     0.586922810523341E+00 ,    -0.746914175064505E+00 , 
   0.70853 ,    -0.247089579180275E+01 ,     0.623404161690721E+00 ,    -0.692701924168895E+00 , 
   0.73856 ,    -0.245192819619404E+01 ,     0.657150984862607E+00 ,    -0.640930800087791E+00 , 
   0.76860 ,    -0.243292812957607E+01 ,     0.695283993553291E+00 ,    -0.581270786468493E+00 , 
   0.79863 ,    -0.240641696218269E+01 ,     0.745376768318711E+00 ,    -0.502825793503405E+00 , 
   0.82867 ,    -0.236574707004935E+01 ,     0.813851034409085E+00 ,    -0.396462530935274E+00 , 
   0.85870 ,    -0.230653364076714E+01 ,     0.904529120921575E+00 ,    -0.256901633562173E+00 , 
   0.88874 ,    -0.222765202383038E+01 ,     0.101762061007642E+01 ,    -0.841726744762405E-01 , 
   0.91878 ,    -0.213161425204072E+01 ,     0.114933959409319E+01 ,     0.115846746596630E+00 , 
   0.94881 ,    -0.202426034567759E+01 ,     0.129223235340759E+01 ,     0.331918460638412E+00 , 
   0.97885 ,    -0.191383047079164E+01 ,     0.143616481380964E+01 ,     0.548880796026638E+00 , 
   1.00888 ,    -0.180959788001770E+01 ,     0.156979922375294E+01 ,     0.749787418132206E+00 , 
   1.03892 ,    -0.172031887199552E+01 ,     0.168230212646538E+01 ,     0.918377002866810E+00 , 
   1.06895 ,    -0.165278182133340E+01 ,     0.176498643787897E+01 ,     0.104144903029390E+01 , 
   1.09899 ,    -0.161070987774290E+01 ,     0.181260560359399E+01 ,     0.111074469121664E+01 , 
   1.12902 ,    -0.159419869032730E+01 ,     0.182408351133426E+01 ,     0.112402672340116E+01 , 
   1.15906 ,    -0.159976730891114E+01 ,     0.180256695077895E+01 ,     0.108519867020013E+01 , 
   1.18909 ,    -0.162098797703849E+01 ,     0.175480824270437E+01 ,     0.100347440847209E+01 , 
   1.21913 ,    -0.164956025203885E+01 ,     0.169000177644852E+01 ,     0.891771270714716E+00 , 
   1.24916 ,    -0.167662466655375E+01 ,     0.161828868731218E+01 ,     0.764625726589957E+00 , 
