Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
230851.652      573457      682476
230903.655     1005680     1193791
230915.652     1488157     1765097
230927.655     1971768     2338217
230939.658     2394400     2837812
230951.655     2825773     3348057
231003.654     3259923     3861314
231015.654     3686231     4364544
231027.655     4104362     4860618
231039.654     4530499     5365538
231051.654     4961737     5875400
231103.654     5386649     6380252
231115.654     5825342     6898794
231127.654     6261043     7415764
231139.659     6699732     7934970
231151.653     7128723     8443250
231203.655     7554811     8947337
231215.654     7987341     9458493
231227.658     8429227     9980170
231239.654     8861888    10493128
231251.654     9295744    11003800
231303.659     9728487    11513852
231315.654    10145649    12007434
231327.659    10565007    12502130
231339.653    11000680    13018077
231351.654    11433208    13529935
231403.658    11859843    14034396
231415.659    12287059    14539909
231427.654    12712639    15044151
231439.654    13137634    15547123
231451.655    13564143    16050480
231503.659    13994361    16558768
231515.658    14486988    17141627
231527.659    14971278    17714479
231539.659    15397100    18217094
231551.654    15824397    18722859
231603.654    16257227    19231685
231615.659    16658196    19705723
231627.654    17086804    20212600
231639.654    17517805    20721115
231651.654    17950543    21233577
231703.654    18439427    21814860
231715.658    18908264    22372074
231727.652    19393274    22946219
231739.654    19823056    23453614
231751.658    20304334    24023357
231803.654    20746345    24545582
231815.659    21167599    25043664
231827.654    21617296    25576459
231839.654    22068178    26108050
231851.659    22517656    26638871
231903.655    22957720    27159660
231915.659    23399132    27680037
231927.655    23827099    28184200
231939.654    24300655    28743171
231951.654    24798907    29331157
232003.659    25297199    29919624
232015.654    25739461    30442343
232027.654    26184292    30966169
232039.659    26622267    31484980
232051.659    27064209    32004640
232103.655    27492544    32511902
232115.654    27921193    33019581
232127.654    28334818    33508980
232139.659    28773330    34028373
232151.653    29211026    34548317
232203.654    29648751    35063971
232215.658    30133406    35636207
232227.654    30628876    36221151
232239.658    31121863    36803733
232251.658    31621560    37393117
232303.653    32118608    37979817
232315.654    32606582    38560591
232327.652    33103203    39149522
232339.654    33590985    39726900
