Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
161635.866        6033       47491  0.233E-01  0.431E+00
161647.866        8624       82900  0.228E-01  0.428E+00
161659.866       11509      122418  0.227E-01  0.415E+00
161711.866       14432      161321  0.226E-01  0.415E+00
161723.866       17060      199067  0.225E-01  0.410E+00
161735.865       20396      249485  0.220E-01  0.419E+00
161747.865       23934      302371  0.220E-01  0.410E+00
161759.866       27520      357157  0.220E-01  0.407E+00
161811.866       32223      428570  0.220E-01  0.407E+00
161823.865       37377      505327  0.218E-01  0.409E+00
161835.865       42251      580783  0.219E-01  0.406E+00
161847.865       47102      656637  0.217E-01  0.405E+00
161859.865       51341      721876  0.216E-01  0.403E+00
161911.865       54833      775791  0.217E-01  0.403E+00
161923.865       59520      849029  0.215E-01  0.403E+00
161935.865       63796      920573  0.212E-01  0.407E+00
161947.865       67795      983756  0.213E-01  0.406E+00
161959.866       71237     1040308  0.215E-01  0.402E+00
162011.865       74724     1096928  0.213E-01  0.404E+00
162023.865       79398     1173082  0.210E-01  0.407E+00
162035.865       84207     1249395  0.209E-01  0.411E+00
162047.865       88772     1323329  0.209E-01  0.407E+00
162059.865       93408     1399546  0.208E-01  0.410E+00
162111.893       97809     1474000  0.231E-01  0.447E+00
162123.865      102379     1550144  0.207E-01  0.411E+00
162135.865      106946     1622526  0.209E-01  0.412E+00
162147.865      111123     1691490  0.209E-01  0.403E+00
162159.865      114730     1753164  0.205E-01  0.412E+00
162211.865      118696     1816274  0.208E-01  0.404E+00
162223.865      122354     1878883  0.207E-01  0.401E+00
162235.866      126499     1949915  0.206E-01  0.408E+00
162247.865      130595     2016689  0.208E-01  0.403E+00
162259.865      134224     2076451  0.207E-01  0.402E+00
162311.873      137798     2138000  0.274E-01  0.536E+00
162323.865      141454     2200674  0.206E-01  0.401E+00
162335.866      145699     2272927  0.206E-01  0.404E+00
162347.866      148358     2319896  0.205E-01  0.404E+00
162359.865      151485     2371237  0.205E-01  0.408E+00
162411.865      155600     2441592  0.204E-01  0.412E+00
162423.865      159949     2516075  0.204E-01  0.408E+00
162435.865      163455     2577147  0.204E-01  0.405E+00
162447.920      166055     2624000  0.281E-01  0.552E+00
162459.866      169617     2685406  0.203E-01  0.407E+00
162511.865      173891     2756760  0.203E-01  0.409E+00
162523.865      176761     2800518  0.204E-01  0.410E+00
162535.865      180317     2862880  0.199E-01  0.419E+00
162547.866      183658     2920076  0.203E-01  0.408E+00
162559.865      187472     2980775  0.203E-01  0.412E+00
162611.866      191804     3054174  0.204E-01  0.406E+00
162623.865      194445     3099102  0.201E-01  0.410E+00
162635.867      198132     3162000  0.184E-01  0.362E+00
162647.865      201739     3223232  0.202E-01  0.408E+00
162659.865      205028     3279837  0.205E-01  0.405E+00
162711.865      209089     3350225  0.204E-01  0.406E+00
162723.866      212751     3412410  0.203E-01  0.405E+00
162735.865      216306     3473835  0.201E-01  0.412E+00
162747.865      219581     3529783  0.201E-01  0.414E+00
162759.909      223922     3604000  0.256E-01  0.502E+00
162811.867      228444     3680131  0.202E-01  0.411E+00
162823.866      232778     3756876  0.202E-01  0.407E+00
162835.865      236458     3819537  0.202E-01  0.409E+00
162847.865      240292     3884034  0.203E-01  0.406E+00
162859.865      244895     3960906  0.203E-01  0.405E+00
162911.865      249512     4037853  0.204E-01  0.404E+00
162923.865      253989     4114000  0.230E-01  0.437E+00
162935.865      258471     4187782  0.205E-01  0.400E+00
162947.867      262724     4262387  0.203E-01  0.403E+00
162959.865      266946     4336575  0.206E-01  0.398E+00
163011.915      271366     4412000  0.198E-01  0.374E+00
163023.865      275546     4484184  0.207E-01  0.394E+00
163035.866      279705     4556957  0.204E-01  0.402E+00
163047.865      283631     4624192  0.203E-01  0.400E+00
163059.865      287394     4692376  0.201E-01  0.410E+00
163111.865      291820     4767132  0.201E-01  0.411E+00
163123.865      296336     4842516  0.200E-01  0.411E+00
163135.865      300614     4916592  0.204E-01  0.402E+00
163147.865      304704     4986576  0.202E-01  0.406E+00
163159.865      308849     5056830  0.203E-01  0.402E+00
163211.865      313398     5131253  0.204E-01  0.399E+00
163223.865      317588     5200145  0.201E-01  0.408E+00
163235.866      321802     5272301  0.204E-01  0.397E+00
163247.865      325795     5340455  0.204E-01  0.399E+00
163259.865      329388     5401264  0.202E-01  0.405E+00
163311.865      332724     5462811  0.201E-01  0.406E+00
163323.865      336255     5523929  0.200E-01  0.409E+00
163335.867      340038     5585977  0.201E-01  0.407E+00
163347.865      344222     5658211  0.203E-01  0.402E+00
163359.865      348442     5732058  0.204E-01  0.397E+00
163411.865      352463     5804584  0.204E-01  0.397E+00
163423.865      356979     5881197  0.199E-01  0.413E+00
163435.865      359643     5928180  0.201E-01  0.405E+00
163447.865      363406     5997799  0.202E-01  0.400E+00
163459.865      367357     6068095  0.202E-01  0.404E+00
163511.866      371764     6142458  0.203E-01  0.404E+00
163523.865      375613     6208032  0.203E-01  0.400E+00
163535.865      379904     6281143  0.203E-01  0.402E+00
163547.865      384344     6358285  0.201E-01  0.408E+00
163559.866      388688     6433745  0.204E-01  0.396E+00
163611.865      392900     6510935  0.202E-01  0.403E+00
