 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.282447987357478E+01 ,    -0.216624518479426E+00 ,    -0.140841540939106E+01 , 
   0.49828 ,    -0.268474864026155E+01 ,    -0.231932423639734E+00 ,    -0.139138699329733E+01 , 
   0.52832 ,    -0.257381545145821E+01 ,    -0.239409560838517E+00 ,    -0.138283073871051E+01 , 
   0.55835 ,    -0.249297687467655E+01 ,    -0.238902332188271E+00 ,    -0.138261418528647E+01 , 
   0.58839 ,    -0.244256500387011E+01 ,    -0.230497331954986E+00 ,    -0.139028048165534E+01 , 
   0.61842 ,    -0.242194726473812E+01 ,    -0.214512307203705E+00 ,    -0.140506334499502E+01 , 
   0.64846 ,    -0.242955523154946E+01 ,    -0.191479165883534E+00 ,    -0.142591305491967E+01 , 
   0.67849 ,    -0.246294140956391E+01 ,    -0.162119697397255E+00 ,    -0.145153265659618E+01 , 
   0.70853 ,    -0.251886208731317E+01 ,    -0.127314928306937E+00 ,    -0.148042319334729E+01 , 
   0.73856 ,    -0.259338357580220E+01 ,    -0.880692609182291E-01 ,    -0.151093647242455E+01 , 
   0.76860 ,    -0.268200845127410E+01 ,    -0.454707271121207E-01 ,    -0.154133359992384E+01 , 
   0.79863 ,    -0.277981782590087E+01 ,    -0.648827404046703E-03 ,    -0.156984731115660E+01 , 
   0.82867 ,    -0.288162520448995E+01 ,     0.452684891140649E-01 ,    -0.159474597846039E+01 , 
   0.85870 ,    -0.298213715887556E+01 ,     0.911971176694147E-01 ,    -0.161439710456126E+01 , 
   0.88874 ,    -0.307611587449467E+01 ,     0.136136802892641E+00 ,    -0.162732810898523E+01 , 
   0.91878 ,    -0.315853860040581E+01 ,     0.179207376569067E+00 ,    -0.163228228803251E+01 , 
   0.94881 ,    -0.322474916452995E+01 ,     0.219679882464960E+00 ,    -0.162826797340419E+01 , 
   0.97885 ,    -0.327059699519308E+01 ,     0.257001424828449E+00 ,    -0.161459912625773E+01 , 
   1.00888 ,    -0.329255950851492E+01 ,     0.290812801384124E+00 ,    -0.159092587557375E+01 , 
   1.03892 ,    -0.328784426489883E+01 ,     0.320958240173215E+00 ,    -0.155725383352962E+01 , 
   1.06895 ,    -0.325446794907218E+01 ,     0.347486843507192E+00 ,    -0.151395138564127E+01 , 
   1.09899 ,    -0.319130996578361E+01 ,     0.370645641761032E+00 ,    -0.146174454789818E+01 , 
   1.12902 ,    -0.309813924378635E+01 ,     0.390864464321274E+00 ,    -0.140169939411220E+01 , 
   1.15906 ,    -0.297561367870890E+01 ,     0.408733134097582E+00 ,    -0.133519247076762E+01 , 
   1.18909 ,    -0.282525249441942E+01 ,     0.424971775132434E+00 ,    -0.126387002018740E+01 , 
   1.21913 ,    -0.264938263594389E+01 ,     0.440395280043317E+00 ,    -0.118959721250416E+01 , 
   1.24916 ,    -0.245106109899768E+01 ,     0.455873206205904E+00 ,    -0.111439893015913E+01 , 
   1.27920 ,    -0.223397582731981E+01 ,     0.472286548809395E+00 ,    -0.104039394401271E+01 , 
   1.30923 ,    -0.200232844709475E+01 ,     0.490482968710316E+00 ,    -0.969724557720821E+00 , 
   1.33927 ,    -0.176070263858030E+01 ,     0.511232128577502E+00 ,    -0.904483968747697E+00 , 
   1.36930 ,    -0.151392235292308E+01 ,     0.535182809202658E+00 ,    -0.846643694300410E+00 , 
   1.39934 ,    -0.126690435531873E+01 ,     0.562823438041527E+00 ,    -0.797983434950467E+00 , 
   1.42937 ,    -0.102450970677734E+01 ,     0.594447565034610E+00 ,    -0.760025696557184E+00 , 
   1.45941 ,    -0.791398782929460E+00 ,     0.630125669479195E+00 ,    -0.733977363612278E+00 , 
   1.48944 ,    -0.571894271285491E+00 ,     0.669684480997800E+00 ,    -0.720680218013043E+00 , 
   1.51948 ,    -0.369856294363184E+00 ,     0.712694753991078E+00 ,    -0.720572132597308E+00 , 
   1.54951 ,    -0.188573385605237E+00 ,     0.758468156383810E+00 ,    -0.733660346725116E+00 , 
   1.57955 ,    -0.306725123941793E-01 ,     0.806063629200545E+00 ,    -0.759507861828741E+00 , 
   1.60958 ,     0.101949286492723E+00 ,     0.854303253683191E+00 ,    -0.797233589782311E+00 , 
   1.63962 ,     0.208169782376452E+00 ,     0.901797337996857E+00 ,    -0.845526458948030E+00 , 
   1.66966 ,     0.287661842288185E+00 ,     0.946978116981701E+00 ,    -0.902673245385898E+00 , 
   1.69969 ,     0.340888782599680E+00 ,     0.988141156657541E+00 ,    -0.966599463844722E+00 , 
   1.72973 ,     0.369075235523519E+00 ,     0.102349328051223E+01 ,    -0.103492223854395E+01 , 
   1.75976 ,     0.374154731961930E+00 ,     0.105120559637426E+01 ,    -0.110501369060952E+01 , 
   1.78980 ,     0.358695916889142E+00 ,     0.106947000907062E+01 ,    -0.117407303956060E+01 , 
   1.81983 ,     0.325809958331172E+00 ,     0.107655746182782E+01 ,    -0.123920533130273E+01 , 
   1.84987 ,     0.279042268521334E+00 ,     0.107087606352487E+01 ,    -0.129750448378943E+01 , 
   1.87990 ,     0.222252109387389E+00 ,     0.105102723263025E+01 ,    -0.134613819098174E+01 , 
   1.90994 ,     0.159483991055692E+00 ,     0.101585802316378E+01 ,    -0.138243215083719E+01 , 
   1.93997 ,     0.948349822686220E-01 ,     0.964507892522277E+00 ,    -0.140395108628062E+01 , 
   1.97001 ,     0.323221303286526E-01 ,     0.896448322715328E+00 ,    -0.140857410946523E+01 , 
   2.00004 ,    -0.242458655546170E-01 ,     0.811513910803962E+00 ,    -0.139456213667412E+01 , 
   2.03008 ,    -0.713887665896304E-01 ,     0.709923794711607E+00 ,    -0.136061528911081E+01 , 
   2.06011 ,    -0.106063036351799E+00 ,     0.592292569150745E+00 ,    -0.130591850652370E+01 , 
   2.09015 ,    -0.125754972046910E+00 ,     0.459630163985665E+00 ,    -0.123017394705384E+01 , 
   2.12018 ,    -0.128555996942017E+00 ,     0.313330493779703E+00 ,    -0.113361913712892E+01 , 
   2.15022 ,    -0.113217977084097E+00 ,     0.155149031780941E+00 ,    -0.101703025753544E+01 , 
   2.18025 ,    -0.791870761873212E-01 ,    -0.128301968557458E-01 ,    -0.881710392895781E+00 , 
   2.21029 ,    -0.266153515704975E-01 ,    -0.188237380172405E+00 ,    -0.729463018016987E+00 , 
   2.24032 ,     0.436500009302445E-01 ,    -0.368468317148610E+00 ,    -0.562551432199127E+00 , 
   2.27036 ,     0.130099146485596E+00 ,    -0.550743053214374E+00 ,    -0.383645268143352E+00 , 
   2.30039 ,     0.230612578294636E+00 ,    -0.732170132141476E+00 ,    -0.195755582870226E+00 , 
   2.33043 ,     0.342532653870550E+00 ,    -0.909814666215923E+00 ,    -0.216037246881808E-02 , 
   2.36046 ,     0.462751249035051E+00 ,    -0.108076830527437E+01 ,     0.193677369538034E+00 , 
   2.39050 ,     0.587810609218755E+00 ,    -0.124221912301137E+01 ,     0.388196717187557E+00 , 
   2.42054 ,     0.714014106888815E+00 ,    -0.139151943777945E+01 ,     0.577828525116463E+00 , 
   2.45057 ,     0.837543351516066E+00 ,    -0.152624964479447E+01 ,     0.759085246980496E+00 , 
   2.48061 ,     0.954577951161213E+00 ,    -0.164427625515545E+01 ,     0.928648325807747E+00 , 
   2.51064 ,     0.106141419546261E+01 ,    -0.174380251045149E+01 ,     0.108345070787685E+01 , 
   2.54068 ,     0.115457901771326E+01 ,    -0.182341016428104E+01 ,     0.122075218946571E+01 , 
   2.57071 ,     0.123093579427585E+01 ,    -0.188209128653626E+01 ,     0.133820553095289E+01 , 
   2.60075 ,     0.128777884474232E+01 ,    -0.191926924429466E+01 ,     0.143391155788748E+01 , 
   2.63078 ,     0.132291389473458E+01 ,    -0.193480833509118E+01 ,     0.150646180458579E+01 , 
   2.66082 ,     0.133472224100511E+01 ,    -0.192901188399815E+01 ,     0.155496763188009E+01 , 
   2.69085 ,     0.132220689916523E+01 ,    -0.190260895474575E+01 ,     0.157907515499622E+01 , 
   2.72089 ,     0.128501959983657E+01 ,    -0.185673015648299E+01 ,     0.157896573756961E+01 , 
   2.75092 ,     0.122346811004114E+01 ,    -0.179287334145466E+01 ,     0.155534223054871E+01 , 
   2.78096 ,     0.113850397347025E+01 ,    -0.171286027525511E+01 ,     0.150940154725567E+01 , 
   2.81099 ,     0.103169136629658E+01 ,    -0.161878561178359E+01 ,     0.144279455569874E+01 , 
   2.84103 ,     0.905158335578603E+00 ,    -0.151295971216938E+01 ,     0.135757462472214E+01 , 
   2.87106 ,     0.761532207576171E+00 ,    -0.139784700481954E+01 ,     0.125613647129372E+01 , 
   2.90110 ,     0.603861407877952E+00 ,    -0.127600168806671E+01 ,     0.114114721323808E+01 , 
   2.93113 ,     0.435526310931783E+00 ,    -0.115000262511377E+01 ,     0.101547172786548E+01 , 
   2.96117 ,     0.260142022925503E+00 ,    -0.102238927236191E+01 ,     0.882094547049247E+00 , 
   2.99120 ,     0.814561915906354E-01 ,    -0.895600417861954E+00 ,     0.744040580310304E+00 , 
