r (Ang), PDF (RMC), PDF (Expt)
   0.0000000000000000       ,    3.9574658231883848E-321  ,    3.9574658231883848E-321
   6.5450934118047310E-002  ,    0.0000000000000000       ,    0.0000000000000000     
  0.13090186823609462       ,    0.0000000000000000       ,    0.0000000000000000     
  0.19635280235414193       ,    0.0000000000000000       ,    0.0000000000000000     
  0.26180373647218924       ,    0.0000000000000000       ,    0.0000000000000000     
  0.32725467059023655       ,    0.0000000000000000       ,    0.0000000000000000     
  0.39270560470828386       ,    0.0000000000000000       ,    0.0000000000000000     
  0.45815653882633117       ,    0.0000000000000000       ,    0.0000000000000000     
  0.52360747294437848       ,    0.0000000000000000       ,    0.0000000000000000     
  0.58905840706242585       ,    0.0000000000000000       ,    0.0000000000000000     
  0.65450934118047310       ,    0.0000000000000000       ,    0.0000000000000000     
  0.71996027529852036       ,    0.0000000000000000       ,    0.0000000000000000     
  0.78541120941656772       ,    0.0000000000000000       ,    0.0000000000000000     
  0.85086214353461509       ,    0.0000000000000000       ,    0.0000000000000000     
  0.91631307765266234       ,    0.0000000000000000       ,    0.0000000000000000     
  0.98176401177070960       ,    0.0000000000000000       ,    0.0000000000000000     
   1.0472149458887570       ,    0.0000000000000000       ,    0.0000000000000000     
   1.1126658800068043       ,    0.0000000000000000       ,    0.0000000000000000     
   1.1781168141248517       ,   -1.0726177106313833E-002  ,    0.0000000000000000     
   1.2435677482428988       ,   0.30718308118604437       ,   0.13167602517899019     
   1.3090186823609462       ,   0.73671511794172473       ,   0.42386247629255391     
   1.3744696164789936       ,    1.1392254173870064       ,   0.82131347155589007     
   1.4399205505970407       ,    1.4085088923614313       ,    1.3101088086315140     
   1.5053714847150881       ,    1.5283765005991716       ,    1.8490447339205551     
   1.5708224188331354       ,    1.5617196836183878       ,    2.3716989650142000     
   1.6362733529511828       ,    1.5878977052383245       ,    2.7982536838707226     
   1.7017242870692302       ,    1.6429729485759055       ,    3.0546463321230686     
   1.7671752211872773       ,    1.7079097635548957       ,    3.0928779473400105     
   1.8326261553053247       ,    1.7446170151577154       ,    2.9050533958236566     
   1.8980770894233721       ,    1.7393664053735847       ,    2.5258398192845775     
   1.9635280235414192       ,    1.7118859171939487       ,    2.0226271751796037     
   2.0289789576594668       ,    1.6848846196645559       ,    1.4775399115847327     
   2.0944298917775139       ,    1.6483332518766207       ,   0.96823665855546903     
   2.1598808258955611       ,    1.5590535133915859       ,   0.55394793650655938     
   2.2253317600136087       ,    1.3830860982181503       ,   0.26998262513381827     
   2.2907826941316558       ,    1.1456397745266260       ,   0.12985703102449930     
   2.3562336282497034       ,   0.94035662565985556       ,   0.13135596354324930     
   2.4216845623677505       ,   0.88010959346859385       ,   0.26239243900670456     
   2.4871354964857977       ,    1.0213274753727482       ,   0.50423281308914858     
   2.5525864306038453       ,    1.3205635082318097       ,   0.83215579181354615     
   2.6180373647218924       ,    1.6612486885969822       ,    1.2153921088011082     
   2.6834882988399396       ,    1.9350519895095155       ,    1.6184071872454389     
   2.7489392329579871       ,    2.1184355447939613       ,    2.0044333994017980     
   2.8143901670760343       ,    2.2863452277011924       ,    2.3405595640753352     
   2.8798411011940814       ,    2.5512334696646191       ,    2.6026469702680530     
   2.9452920353121290       ,    2.9711561915225322       ,    2.7783616266436004     
   3.0107429694301762       ,    3.4932725126457305       ,    2.8675032504136446     
   3.0761939035482238       ,    3.9728172275271350       ,    2.8799455555353268     
   3.1416448376662709       ,    4.2538990585541709       ,    2.8322592213774396     
   3.2070957717843180       ,    4.2575006416196812       ,    2.7441969139417757     
   3.2725467059023656       ,    4.0214459462751355       ,    2.6358188562085267     
   3.3379976400204128       ,    3.6729288797896515       ,    2.5254918227806549     
   3.4034485741384604       ,    3.3576434764644891       ,    2.4286262733446584     
   3.4688995082565075       ,    3.1710541744626672       ,    2.3569375153548320     
   3.5343504423745546       ,    3.1274819743773028       ,    2.3181305682172599     
   3.5998013764926022       ,    3.1746307478093003       ,    2.3160324858322379     
   3.6652523106106494       ,    3.2362860098417854       ,    2.3511994327672019     
   3.7307032447286965       ,    3.2570125413507065       ,    2.4218968088282842     
   3.7961541788467441       ,    3.2284487646732454       ,    2.5251769516202645     
   3.8616051129647913       ,    3.1885594295994415       ,    2.6576796803336227     
   3.9270560470828384       ,    3.1965112250494636       ,    2.8158389681916995     
   3.9925069812008860       ,    3.2953091633533020       ,    2.9954021269749020     
   4.0579579153189336       ,    3.4812392913794339       ,    3.1904841721615775     
   4.1234088494369807       ,    3.6992876329049462       ,    3.3926613589691890     
   4.1888597835550279       ,    3.8721916954546720       ,    3.5907159811514093     
   4.2543107176730750       ,    3.9498212221203648       ,    3.7714916152919797     
   4.3197616517911221       ,    3.9477991146986735       ,    3.9219208919469515     
   4.3852125859091702       ,    3.9453230647430217       ,    4.0317843215463292     
   4.4506635200272173       ,    4.0367585697970760       ,    4.0963629943386977     
   4.5161144541452645       ,    4.2655404155080898       ,    4.1180547095069580     
   4.5815653882633116       ,    4.5867240660032724       ,    4.1063046984801881     
   4.6470163223813588       ,    4.8890300062110308       ,    4.0757597829829706     
   4.7124672564994068       ,    5.0658150926237342       ,    4.0431578575879339     
   4.7779181906174539       ,    5.0866290425790535       ,    4.0238619556522828     
   4.8433691247355011       ,    5.0170205465607838       ,    4.0289910766851005     
   4.9088200588535482       ,    4.9701639147149459       ,    4.0638071524767954     
   4.9742709929715954       ,    5.0245294732842920       ,    4.1275498708682825     
   5.0397219270896425       ,    5.1685856201897193       ,    4.2144769673774967     
   5.1051728612076905       ,    5.3143539154409387       ,    4.3156183023144647     
   5.1706237953257377       ,    5.3696052871054389       ,    4.4207244533793730     
   5.2360747294437848       ,    5.3130286988714683       ,    4.5200192649834978     
   5.3015256635618320       ,    5.2134635338726891       ,    4.6055433332772697     
   5.3669765976798791       ,    5.1768747640558264       ,    4.6720167989317201     
   5.4324275317979271       ,    5.2610508686764588       ,    4.7172256028305926     
