Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
154141.077        3120       27206  0.579E+00  0.573E+00
154153.062        5427       56496  0.562E+00  0.571E+00
154205.062        7715       86870  0.549E+00  0.568E+00
154217.061        9903      117545  0.537E+00  0.566E+00
154229.064       11979      147665  0.525E+00  0.563E+00
154241.063       14469      177587  0.521E+00  0.563E+00
154253.063       17195      207295  0.516E+00  0.562E+00
154305.064       19527      237569  0.501E+00  0.560E+00
154317.067       21414      265449  0.491E+00  0.558E+00
154329.066       22812      288283  0.484E+00  0.556E+00
154341.068       24272      311299  0.476E+00  0.555E+00
154353.063       26108      341365  0.467E+00  0.553E+00
154405.072       27897      371556  0.458E+00  0.552E+00
154417.070       29748      393681  0.459E+00  0.552E+00
154429.063       32219      423689  0.453E+00  0.551E+00
154441.065       33725      448150  0.447E+00  0.549E+00
154453.063       35868      477623  0.440E+00  0.547E+00
154505.065       37569      504330  0.433E+00  0.546E+00
154517.065       38884      526171  0.428E+00  0.545E+00
154529.066       40228      549466  0.422E+00  0.543E+00
154541.074       41458      572168  0.417E+00  0.542E+00
154553.062       43055      602115  0.410E+00  0.541E+00
154605.061       44714      631788  0.407E+00  0.541E+00
154617.065       46832      661940  0.405E+00  0.540E+00
154629.066       48388      688699  0.398E+00  0.538E+00
154641.068       49618      711790  0.394E+00  0.537E+00
154653.074       51148      740467  0.388E+00  0.536E+00
154705.066       52245      762674  0.384E+00  0.535E+00
154717.066       53570      785720  0.383E+00  0.535E+00
154729.067       54696      807217  0.379E+00  0.534E+00
154741.066       55877      829883  0.376E+00  0.533E+00
154753.061       57464      859108  0.372E+00  0.532E+00
154805.062       59292      889181  0.370E+00  0.532E+00
154817.061       60878      919901  0.365E+00  0.530E+00
154829.072       62037      944849  0.361E+00  0.529E+00
154841.062       63867      971897  0.360E+00  0.529E+00
154853.061       65399     1001843  0.355E+00  0.528E+00
154905.073       66460     1024338  0.352E+00  0.527E+00
154917.074       67837     1046965  0.350E+00  0.527E+00
154929.069       68972     1069762  0.347E+00  0.526E+00
154941.066       70735     1098571  0.346E+00  0.526E+00
154953.071       71910     1121902  0.343E+00  0.525E+00
155005.061       73382     1152664  0.340E+00  0.524E+00
155017.062       74657     1182616  0.336E+00  0.523E+00
155029.063       75960     1212235  0.332E+00  0.522E+00
155041.062       77115     1243622  0.329E+00  0.521E+00
155053.062       78329     1274287  0.326E+00  0.520E+00
155105.061       79450     1304548  0.323E+00  0.519E+00
155117.061       80624     1335799  0.321E+00  0.518E+00
155129.064       81688     1365957  0.318E+00  0.518E+00
155141.062       83184     1396216  0.318E+00  0.518E+00
155153.062       84390     1426427  0.315E+00  0.517E+00
155205.062       85553     1456249  0.312E+00  0.516E+00
155217.063       86625     1485697  0.310E+00  0.515E+00
155229.073       87741     1517206  0.308E+00  0.514E+00
155241.062       88772     1546850  0.306E+00  0.513E+00
155253.062       90211     1576475  0.307E+00  0.514E+00
155305.069       91171     1599786  0.304E+00  0.513E+00
155317.062       92228     1630599  0.302E+00  0.512E+00
155329.071       93338     1660235  0.301E+00  0.511E+00
155341.070       94141     1682736  0.298E+00  0.511E+00
155353.067       95040     1710096  0.297E+00  0.510E+00
155405.061       96275     1741139  0.296E+00  0.510E+00
155417.061       97324     1770934  0.294E+00  0.509E+00
155429.066       98273     1799692  0.292E+00  0.508E+00
155441.064       99179     1827050  0.290E+00  0.508E+00
155453.061      100127     1858417  0.288E+00  0.507E+00
155505.063      101078     1890152  0.286E+00  0.506E+00
155517.061      102138     1921388  0.286E+00  0.506E+00
155529.063      103062     1951756  0.283E+00  0.505E+00
155541.063      103896     1980931  0.282E+00  0.505E+00
155553.061      104717     2010742  0.281E+00  0.504E+00
155605.069      105490     2038692  0.280E+00  0.504E+00
155617.062      107238     2069029  0.283E+00  0.505E+00
155629.067      108405     2098790  0.281E+00  0.504E+00
155641.061      109611     2128505  0.279E+00  0.504E+00
155653.088      110774     2151467  0.279E+00  0.504E+00
155705.067      111650     2175350  0.278E+00  0.503E+00
155717.069      112456     2198083  0.276E+00  0.503E+00
155729.065      113254     2222159  0.275E+00  0.502E+00
155741.064      114237     2251445  0.273E+00  0.502E+00
155753.065      115248     2273993  0.273E+00  0.501E+00
155805.067      116088     2299428  0.271E+00  0.501E+00
155817.078      116793     2321857  0.270E+00  0.500E+00
155829.070      117568     2347120  0.269E+00  0.500E+00
155841.074      118339     2373729  0.268E+00  0.499E+00
155853.062      119530     2402850  0.268E+00  0.500E+00
155905.074      120702     2429389  0.268E+00  0.500E+00
155917.072      121669     2456544  0.266E+00  0.499E+00
155929.065      122587     2486120  0.265E+00  0.498E+00
155941.065      123530     2514815  0.263E+00  0.498E+00
155953.063      124793     2544796  0.264E+00  0.498E+00
160005.062      125821     2575069  0.262E+00  0.498E+00
160017.070      126726     2599033  0.261E+00  0.497E+00
160029.062      127705     2629743  0.260E+00  0.497E+00
160041.062      128636     2660532  0.258E+00  0.496E+00
160053.073      129503     2689154  0.257E+00  0.496E+00
160105.063      130343     2719715  0.256E+00  0.495E+00
160117.061      131169     2749183  0.255E+00  0.494E+00
160129.061      132418     2780224  0.256E+00  0.495E+00
160141.066      133335     2810851  0.255E+00  0.494E+00
160153.070      134052     2836912  0.254E+00  0.494E+00
160205.061      134850     2867744  0.253E+00  0.493E+00
160217.061      135746     2899063  0.252E+00  0.493E+00
160229.062      136818     2930446  0.252E+00  0.492E+00
160241.061      138238     2961576  0.252E+00  0.493E+00
160253.071      138930     2984280  0.251E+00  0.492E+00
160305.064      139744     3010703  0.250E+00  0.492E+00
160317.064      140527     3039436  0.249E+00  0.491E+00
160329.073      141124     3061837  0.248E+00  0.491E+00
160341.070      141901     3084305  0.248E+00  0.491E+00
160353.067      143124     3106711  0.249E+00  0.491E+00
160405.068      143843     3128801  0.249E+00  0.491E+00
160417.067      145180     3151677  0.250E+00  0.491E+00
160429.065      146025     3174529  0.249E+00  0.491E+00
160441.068      146773     3200443  0.247E+00  0.490E+00
160453.063      147618     3229225  0.246E+00  0.490E+00
160505.064      148248     3251630  0.245E+00  0.489E+00
160517.074      148938     3276958  0.244E+00  0.489E+00
160529.067      149703     3304299  0.243E+00  0.488E+00
160541.068      150320     3328130  0.243E+00  0.488E+00
160553.066      150995     3355232  0.242E+00  0.488E+00
160605.067      151593     3378473  0.241E+00  0.487E+00
160617.067      152316     3408846  0.240E+00  0.487E+00
160629.062      153032     3438988  0.240E+00  0.486E+00
160641.067      153628     3464651  0.239E+00  0.486E+00
160653.066      154133     3487722  0.239E+00  0.486E+00
160705.068      154630     3510235  0.238E+00  0.486E+00
160717.063      155160     3533449  0.238E+00  0.485E+00
160729.067      155666     3557073  0.237E+00  0.485E+00
160741.067      156116     3580082  0.237E+00  0.485E+00
160753.065      157239     3604938  0.238E+00  0.486E+00
160805.072      157975     3633728  0.237E+00  0.485E+00
160817.068      158591     3657053  0.236E+00  0.485E+00
160829.074      159354     3686100  0.235E+00  0.485E+00
160841.073      159916     3709727  0.235E+00  0.484E+00
160853.066      160414     3732323  0.234E+00  0.484E+00
160905.073      160948     3754927  0.234E+00  0.484E+00
160917.073      161545     3778205  0.233E+00  0.483E+00
160929.064      162487     3800755  0.234E+00  0.484E+00
160941.066      163300     3830199  0.233E+00  0.483E+00
160953.067      164236     3853464  0.234E+00  0.484E+00
161005.062      165427     3883384  0.234E+00  0.484E+00
161017.064      166252     3913038  0.233E+00  0.483E+00
161029.073      166935     3939006  0.232E+00  0.483E+00
161041.063      167530     3962521  0.232E+00  0.482E+00
161053.067      168137     3985917  0.231E+00  0.482E+00
161105.066      168669     4009338  0.230E+00  0.482E+00
161117.066      169217     4032620  0.230E+00  0.482E+00
