 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.278443191714574E+01 ,     0.617777197604253E-01 ,    -0.136925242666445E+01 , 
   0.49828 ,    -0.283561225913343E+01 ,     0.674307355245978E-01 ,    -0.135562219743064E+01 , 
   0.52832 ,    -0.288139759997608E+01 ,     0.712089837750588E-01 ,    -0.134358512546321E+01 , 
   0.55835 ,    -0.292103254415503E+01 ,     0.731365573611096E-01 ,    -0.133314714669102E+01 , 
   0.58838 ,    -0.295388514967066E+01 ,     0.733184735584421E-01 ,    -0.132423859074006E+01 , 
   0.61841 ,    -0.297945430865101E+01 ,     0.719397662467419E-01 ,    -0.131671702431713E+01 , 
   0.64843 ,    -0.299737372212160E+01 ,     0.692620731735432E-01 ,    -0.131037264374464E+01 , 
   0.67846 ,    -0.300741246015682E+01 ,     0.656177769940801E-01 ,    -0.130493604717636E+01 , 
   0.70848 ,    -0.300947219061212E+01 ,     0.614018299020869E-01 ,    -0.130008813643707E+01 , 
   0.73850 ,    -0.300358124791374E+01 ,     0.570614594204367E-01 ,    -0.129547182580482E+01 , 
   0.76852 ,    -0.298988579552327E+01 ,     0.530840153720996E-01 ,    -0.129070517280014E+01 , 
   0.79854 ,    -0.296863840946430E+01 ,     0.499832734244720E-01 ,    -0.128539549623303E+01 , 
   0.82855 ,    -0.294018447373281E+01 ,     0.482845573215501E-01 ,    -0.127915401105264E+01 , 
   0.85856 ,    -0.290494682986790E+01 ,     0.485090786657488E-01 ,    -0.127161048915282E+01 , 
   0.88857 ,    -0.286340916115519E+01 ,     0.511579188473046E-01 ,    -0.126242745091872E+01 , 
   0.91857 ,    -0.281609861599178E+01 ,     0.566960917213477E-01 ,    -0.125131340414220E+01 , 
   0.94858 ,    -0.276356818439715E+01 ,     0.655371275117266E-01 ,    -0.123803467464865E+01 , 
   0.97858 ,    -0.270637933647202E+01 ,     0.780286081302932E-01 ,    -0.122242541570757E+01 , 
   1.00857 ,    -0.264508541217484E+01 ,     0.944390619371444E-01 ,    -0.120439543970290E+01 , 
   1.03857 ,    -0.258021621889246E+01 ,     0.114946592559978E+00 ,    -0.118393558382705E+01 , 
   1.06856 ,    -0.251226424809413E+01 ,     0.139629572680700E+00 ,    -0.116112039956442E+01 , 
   1.09855 ,    -0.244167286637754E+01 ,     0.168459680910071E+00 ,    -0.113610804095552E+01 , 
   1.12853 ,    -0.236882677122995E+01 ,     0.201297499479330E+00 ,    -0.110913731636189E+01 , 
   1.15851 ,    -0.229404492985398E+01 ,     0.237890824158483E+00 ,    -0.108052195981471E+01 , 
   1.18849 ,    -0.221757614263016E+01 ,     0.277875767396535E+00 ,    -0.105064226810535E+01 , 
   1.21846 ,    -0.213959729349096E+01 ,     0.320780663104415E+00 ,    -0.101993433568225E+01 , 
   1.24843 ,    -0.206021426997969E+01 ,     0.366032708748736E+00 ,    -0.988877198407877E+00 , 
   1.27840 ,    -0.197946545833943E+01 ,     0.412967209466954E+00 ,    -0.957978266773111E+00 , 
   1.30836 ,    -0.189732764579946E+01 ,     0.460839221661182E+00 ,    -0.927757487040309E+00 , 
   1.33832 ,    -0.181372409530833E+01 ,     0.508837331770400E+00 ,    -0.898730713134553E+00 , 
   1.36827 ,    -0.172853449909529E+01 ,     0.556099251284829E+00 ,    -0.871392801502780E+00 , 
   1.39822 ,    -0.164160646814640E+01 ,     0.601728862967339E+00 ,    -0.846200954662770E+00 , 
   1.42817 ,    -0.155276817617193E+01 ,     0.644814316853225E+00 ,    -0.823558836322694E+00 , 
   1.45811 ,    -0.146184174979528E+01 ,     0.684446748802546E+00 ,    -0.803801961837289E+00 , 
   1.48805 ,    -0.136865698203050E+01 ,     0.719739179770978E+00 ,    -0.787184832960974E+00 , 
   1.51798 ,    -0.127306494379536E+01 ,     0.749845150826224E+00 ,    -0.773870236435309E+00 , 
   1.54791 ,    -0.117495107802580E+01 ,     0.773976657233077E+00 ,    -0.763921063438146E+00 , 
   1.57783 ,    -0.107424738236994E+01 ,     0.791420964315697E+00 ,    -0.757294933260108E+00 , 
   1.60775 ,    -0.970943318573809E+00 ,     0.801555917639456E+00 ,    -0.753841822039154E+00 , 
   1.63766 ,    -0.865095128369763E+00 ,     0.803863399420498E+00 ,    -0.753304808523904E+00 , 
   1.66757 ,    -0.756833285534702E+00 ,     0.797940630808389E+00 ,    -0.755323956387026E+00 , 
   1.69747 ,    -0.646367870191996E+00 ,     0.783509074425930E+00 ,    -0.759443259408487E+00 , 
   1.72737 ,    -0.533991712632579E+00 ,     0.760420751753158E+00 ,    -0.765120484743645E+00 , 
   1.75726 ,    -0.420081218078362E+00 ,     0.728661853949924E+00 ,    -0.771739663254190E+00 , 
   1.78715 ,    -0.305094849019140E+00 ,     0.688353590789542E+00 ,    -0.778625897118480E+00 , 
   1.81703 ,    -0.189569306157062E+00 ,     0.639750288765901E+00 ,    -0.785062086015459E+00 , 
   1.84691 ,    -0.741135107982349E-01 ,     0.583234814403641E+00 ,    -0.790307116141013E+00 , 
   1.87678 ,     0.405994509279961E-01 ,     0.519311460682628E+00 ,    -0.793615012837920E+00 , 
   1.90664 ,     0.153842209863198E+00 ,     0.448596491737413E+00 ,    -0.794254528945157E+00 , 
   1.93650 ,     0.264844564741335E+00 ,     0.371806592219750E+00 ,    -0.791528627882531E+00 , 
   1.96636 ,     0.372806208723972E+00 ,     0.289745511719482E+00 ,    -0.784793323284399E+00 , 
   1.99620 ,     0.476910410291758E+00 ,     0.203289230449164E+00 ,    -0.773475355497102E+00 , 
   2.02604 ,     0.576338308880153E+00 ,     0.113369999276088E+00 ,    -0.757088218798172E+00 , 
   2.05588 ,     0.670283476901865E+00 ,     0.209596246557751E-01 ,    -0.735246100669780E+00 , 
   2.08571 ,     0.757966400599930E+00 ,    -0.729476231284692E-01 ,    -0.707675354341003E+00 , 
