 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.256279955676181E+01 ,     0.227997240340195E-02 ,    -0.129410024462477E+01 , 
   0.49828 ,    -0.237835007571136E+01 ,    -0.232033769619828E-01 ,    -0.130202224772267E+01 , 
   0.52832 ,    -0.222597817868221E+01 ,    -0.450493831245010E-01 ,    -0.130588204806156E+01 , 
   0.55835 ,    -0.210759759186928E+01 ,    -0.628335229900995E-01 ,    -0.130524957760612E+01 , 
   0.58838 ,    -0.202408033144869E+01 ,    -0.762164605777524E-01 ,    -0.129976314139102E+01 , 
   0.61841 ,    -0.197524698199994E+01 ,    -0.849491685882445E-01 ,    -0.128913748952878E+01 , 
   0.64843 ,    -0.195988761595760E+01 ,    -0.888758964287162E-01 ,    -0.127317052952197E+01 , 
   0.67846 ,    -0.197581246495157E+01 ,    -0.879349815159349E-01 ,    -0.125174852633948E+01 , 
   0.70848 ,    -0.201993057328740E+01 ,    -0.821575578628750E-01 ,    -0.122484966351209E+01 , 
   0.73850 ,    -0.208835384329687E+01 ,    -0.716642701148790E-01 ,    -0.119254586780254E+01 , 
   0.76852 ,    -0.217652314650677E+01 ,    -0.566601508035663E-01 ,    -0.115500283236421E+01 , 
   0.79854 ,    -0.227935254539159E+01 ,    -0.374278622540385E-01 ,    -0.111247820816875E+01 , 
   0.82855 ,    -0.239138716630589E+01 ,    -0.143195411446323E-01 ,    -0.106531797020403E+01 , 
   0.85856 ,    -0.250696989944006E+01 ,     0.122524877511685E-01 ,    -0.101395100277990E+01 , 
   0.88857 ,    -0.262041188629295E+01 ,     0.418258422780763E-01 ,    -0.958881986415828E+00 , 
   0.91857 ,    -0.272616169448812E+01 ,     0.738987609509513E-01 ,    -0.900682706351875E+00 , 
   0.94858 ,    -0.281896817422930E+01 ,     0.107941029644392E+00 ,    -0.839981938818032E+00 , 
   0.97858 ,    -0.289403223594453E+01 ,     0.143404865606117E+00 ,    -0.777454104901707E+00 , 
   1.00857 ,    -0.294714317572895E+01 ,     0.179735483361860E+00 ,    -0.713806912270174E+00 , 
   1.03857 ,    -0.297479569078042E+01 ,     0.216381090719730E+00 ,    -0.649768231275617E+00 , 
   1.06856 ,    -0.297428435399597E+01 ,     0.252802093513333E+00 ,    -0.586072473307262E+00 , 
   1.09855 ,    -0.294377303484707E+01 ,     0.288479323781395E+00 ,    -0.523446754964266E+00 , 
   1.12853 ,    -0.288233753955577E+01 ,     0.322921146446974E+00 ,    -0.462597141131295E+00 , 
   1.15851 ,    -0.278998057256605E+01 ,     0.355669342800594E+00 ,    -0.404195262914624E+00 , 
   1.18849 ,    -0.266761896739437E+01 ,     0.386303713715274E+00 ,    -0.348865602369018E+00 , 
   1.21846 ,    -0.251704397195687E+01 ,     0.414445390021101E+00 ,    -0.297173724918593E+00 , 
   1.24843 ,    -0.234085617579374E+01 ,     0.439758880373029E+00 ,    -0.249615722436759E+00 , 
   1.27840 ,    -0.214237741000596E+01 ,     0.461952926872631E+00 ,    -0.206609105378427E+00 , 
   1.30836 ,    -0.192554261306521E+01 ,     0.480780274396086E+00 ,    -0.168485351616421E+00 , 
   1.33832 ,    -0.169477521762026E+01 ,     0.496036489948302E+00 ,    -0.135484283368189E+00 , 
   1.36827 ,    -0.145485005902832E+01 ,     0.507557992520322E+00 ,    -0.107750402620243E+00 , 
   1.39822 ,    -0.121074812343026E+01 ,     0.515219471215705E+00 ,    -0.853312707264767E-01 , 
   1.42817 ,    -0.967507633760462E+00 ,     0.518930879419885E+00 ,    -0.681779704579031E-01 , 
   1.45811 ,    -0.730076012480451E+00 ,     0.518634195360277E+00 ,    -0.561476398972678E-01 , 
   1.48805 ,    -0.503167160804030E+00 ,     0.514300134647994E+00 ,    -0.490080184492114E-01 , 
   1.51798 ,    -0.291128260821445E+00 ,     0.505924988660081E+00 ,    -0.464438971523717E-01 , 
   1.54791 ,    -0.978199484181253E-01 ,     0.493527744505589E+00 ,    -0.480653197049102E-01 , 
   1.57783 ,     0.734867658260146E-01 ,     0.477147618624018E+00 ,    -0.534173383775266E-01 , 
   1.60775 ,     0.220194017222816E+00 ,     0.456842107777895E+00 ,    -0.619910914366003E-01 , 
   1.63766 ,     0.340438882103337E+00 ,     0.432685629457005E+00 ,    -0.732359368691949E-01 , 
   1.66757 ,     0.433131979956552E+00 ,     0.404768789751053E+00 ,    -0.865723519797912E-01 , 
   1.69747 ,     0.497972147758077E+00 ,     0.373198281874680E+00 ,    -0.101405290530563E+00 , 
   1.72737 ,     0.535437194455635E+00 ,     0.338097384065794E+00 ,    -0.117137679040640E+00 , 
   1.75726 ,     0.546751473282198E+00 ,     0.299606992819742E+00 ,    -0.133183731948734E+00 , 
   1.78715 ,     0.533831703807913E+00 ,     0.257887097590617E+00 ,    -0.148981771656067E+00 , 
   1.81703 ,     0.499213113509323E+00 ,     0.213118577296628E+00 ,    -0.164006253851339E+00 , 
   1.84691 ,     0.445958531328422E+00 ,     0.165505178168165E+00 ,    -0.177778720598032E+00 , 
   1.87678 ,     0.377553537077952E+00 ,     0.115275517451939E+00 ,    -0.189877432840450E+00 , 
   1.90664 ,     0.297791137615355E+00 ,     0.626849488014181E-01 ,    -0.199945469461173E+00 , 
   1.93650 ,     0.210649693934008E+00 ,     0.801712318560272E-02 ,    -0.207697120822349E+00 , 
   1.96636 ,     0.120167956911731E+00 ,    -0.484149160591635E-01 ,    -0.212922449719156E+00 , 
   1.99620 ,     0.303210814636734E-01 ,    -0.106268253959654E+00 ,    -0.215489940620143E+00 , 
   2.02604 ,    -0.550986188404053E-01 ,    -0.165170372604529E+00 ,    -0.215347207638671E+00 , 
   2.05588 ,    -0.132592636412340E+00 ,    -0.224720276557540E+00 ,    -0.212519781502495E+00 , 
   2.08571 ,    -0.199055740049520E+00 ,    -0.284490555380152E+00 ,    -0.207108044492653E+00 , 
   2.11553 ,    -0.251861157242218E+00 ,    -0.344030431358831E+00 ,    -0.199282428574727E+00 , 
   2.14535 ,    -0.288929172094159E+00 ,    -0.402869805387021E+00 ,    -0.189277034489789E+00 , 
   2.17516 ,    -0.308777401061636E+00 ,    -0.460524277167653E+00 ,    -0.177381867268195E+00 , 
   2.20496 ,    -0.310551609519639E+00 ,    -0.516501078747866E+00 ,    -0.163933915484579E+00 , 
   2.23476 ,    -0.294036555697702E+00 ,    -0.570305824162561E+00 ,    -0.149307326771965E+00 , 
   2.26455 ,    -0.259646974889807E+00 ,    -0.621449943913656E+00 ,    -0.133902950041861E+00 , 
   2.29433 ,    -0.208399426436975E+00 ,    -0.669458642348457E+00 ,    -0.118137525118433E+00 , 
   2.32410 ,    -0.141866300135317E+00 ,    -0.713879189819467E+00 ,    -0.102432802918503E+00 , 
   2.35387 ,    -0.621138002575453E-01 ,    -0.754289340763794E+00 ,    -0.872048739560869E-01 , 
   2.38363 ,     0.283738208788224E-01 ,    -0.790305654315234E+00 ,    -0.728539701082391E-01 , 
   2.41339 ,     0.126781134632525E+00 ,    -0.821591486338977E+00 ,    -0.597549847512550E-01 , 
   2.44313 ,     0.230056585093256E+00 ,    -0.847864421222947E+00 ,    -0.482489302641952E-01 , 
   2.47287 ,     0.335012602031526E+00 ,    -0.868902918506325E+00 ,    -0.386355203758995E-01 , 
   2.50260 ,     0.438427579790436E+00 ,    -0.884551963374612E+00 ,    -0.311670289235030E-01 , 
   2.53233 ,     0.537146541022278E+00 ,    -0.894727530870555E+00 ,    -0.260435374286942E-01 , 
   2.56205 ,     0.628177419600348E+00 ,    -0.899419700807900E+00 ,    -0.234096426926910E-01 , 
   2.59175 ,     0.708780105193590E+00 ,    -0.898694293073511E+00 ,    -0.233526536102114E-01 , 
   2.62145 ,     0.776545684243588E+00 ,    -0.892692930325576E+00 ,    -0.259022648538528E-01 , 
   2.65115 ,     0.829463677338265E+00 ,    -0.881631475954085E+00 ,    -0.310316551911760E-01 , 
   2.68083 ,     0.865975498091566E+00 ,    -0.865796838360673E+00 ,    -0.386599210993348E-01 , 
   2.71051 ,     0.885012828881660E+00 ,    -0.845542176856573E+00 ,    -0.486557230585406E-01 , 
   2.74018 ,     0.886020108355491E+00 ,    -0.821280588449565E+00 ,    -0.608419933186086E-01 , 
   2.76984 ,     0.868960838099678E+00 ,    -0.793477397176732E+00 ,    -0.750015307605663E-01 , 
   2.79949 ,     0.834307924906421E+00 ,    -0.762641207166628E+00 ,    -0.908832912521561E-01 , 
