Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
223917.668        7979      191407  0.493E-01  0.102E+01
223929.668       17159      367126  0.498E-01  0.102E+01
223941.668       24986      542742  0.502E-01  0.101E+01
223953.668       30751      718502  0.488E-01  0.101E+01
224005.668       36122      894003  0.461E-01  0.102E+01
224017.668       43282     1069777  0.498E-01  0.101E+01
224029.668       57038     1244818  0.443E-01  0.102E+01
224041.668       61157     1419883  0.488E-01  0.101E+01
224053.668       67865     1595360  0.499E-01  0.101E+01
224105.668       71525     1772882  0.504E-01  0.101E+01
224117.668       78309     1947961  0.464E-01  0.101E+01
224129.668       86230     2122959  0.474E-01  0.101E+01
224141.668       97110     2297857  0.410E-01  0.102E+01
224153.668      106892     2472448  0.506E-01  0.101E+01
224205.668      110372     2647750  0.503E-01  0.101E+01
224217.668      114347     2823614  0.504E-01  0.101E+01
224229.670      122533     2998126  0.471E-01  0.101E+01
224241.668      128336     3172790  0.486E-01  0.101E+01
224253.668      134142     3347799  0.470E-01  0.101E+01
224305.668      140834     3522155  0.485E-01  0.101E+01
224317.668      146971     3697251  0.423E-01  0.101E+01
224329.668      154396     3871831  0.442E-01  0.101E+01
224341.668      163431     4051310  0.443E-01  0.101E+01
224353.668      169166     4228306  0.468E-01  0.101E+01
224405.668      175391     4405694  0.477E-01  0.101E+01
224417.668      185543     4579457  0.452E-01  0.101E+01
224429.668      191243     4757035  0.486E-01  0.101E+01
224441.668      200122     4940270  0.469E-01  0.101E+01
224453.668      204063     5117939  0.499E-01  0.101E+01
224505.668      209392     5295430  0.494E-01  0.101E+01
224517.668      212900     5466843  0.507E-01  0.101E+01
224529.668      218535     5645803  0.488E-01  0.101E+01
224541.668      224236     5825048  0.472E-01  0.101E+01
224553.668      233733     6022287  0.494E-01  0.101E+01
224605.668      239110     6206440  0.506E-01  0.101E+01
224617.668      244448     6385353  0.503E-01  0.101E+01
224629.668      251855     6561961  0.470E-01  0.101E+01
224641.668      255726     6739161  0.509E-01  0.101E+01
224653.668      261672     6916287  0.476E-01  0.101E+01
224705.668      265961     7095699  0.516E-01  0.101E+01
224717.668      271817     7274334  0.502E-01  0.101E+01
224729.668      277578     7451399  0.496E-01  0.101E+01
224741.668      284784     7623231  0.499E-01  0.101E+01
224753.668      288522     7799958  0.512E-01  0.101E+01
224805.668      292164     7978303  0.517E-01  0.101E+01
224817.668      296072     8157313  0.510E-01  0.101E+01
224829.668      301457     8337011  0.492E-01  0.101E+01
224841.668      307151     8515012  0.507E-01  0.101E+01
224853.668      314746     8692430  0.501E-01  0.101E+01
224905.668      318502     8870870  0.523E-01  0.101E+01
