Time       moves_acc moves_gen     G(r)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01
001610.224       48579      633200  0.191E-01
001622.224       92149     1229387  0.191E-01
001634.224      135649     1822827  0.191E-01
001646.224      179621     2417776  0.191E-01
001658.224      223277     3013133  0.190E-01
001710.224      267285     3607531  0.190E-01
001722.224      311322     4204166  0.189E-01
001734.224      355429     4798878  0.189E-01
001746.224      399503     5394264  0.189E-01
001758.224      443611     5989751  0.189E-01
001810.224      487826     6584387  0.189E-01
001822.224      532723     7180594  0.188E-01
001834.224      577294     7775611  0.188E-01
001846.224      622018     8370562  0.187E-01
001858.224      666785     8965273  0.186E-01
001910.224      710973     9558794  0.185E-01
001922.224      755304    10153518  0.185E-01
001934.224      799671    10747427  0.185E-01
001946.224      843697    11341091  0.186E-01
001958.224      887980    11933725  0.185E-01
002010.224      931689    12526822  0.185E-01
002022.224      975768    13121155  0.185E-01
002034.224     1019426    13715980  0.185E-01
002046.224     1063271    14309952  0.185E-01
002058.224     1107491    14904627  0.185E-01
002110.224     1150340    15491392  0.185E-01
002122.224     1194464    16103089  0.185E-01
002134.224     1239045    16705958  0.185E-01
002146.224     1283155    17307911  0.185E-01
002158.224     1327285    17910002  0.185E-01
002210.224     1371341    18510629  0.185E-01
002222.224     1415209    19109462  0.185E-01
002234.224     1459639    19710450  0.185E-01
002246.224     1504247    20310668  0.184E-01
002258.224     1548463    20910337  0.185E-01
002310.224     1592530    21509327  0.185E-01
002322.224     1636795    22110114  0.185E-01
002334.224     1680784    22710754  0.185E-01
002346.224     1725190    23314386  0.185E-01
002358.224     1769389    23915274  0.185E-01
002410.224     1813458    24514667  0.185E-01
002422.224     1857967    25115475  0.185E-01
002434.224     1902319    25717659  0.185E-01
002446.224     1946973    26319743  0.184E-01
002458.224     1991922    26921695  0.185E-01
002510.224     2035977    27522656  0.185E-01
002522.224     2080720    28124195  0.184E-01
002534.224     2125371    28726828  0.184E-01
002546.224     2169692    29330791  0.184E-01
002558.224     2214449    29932081  0.184E-01
