Time       moves_acc moves_gen     G(r)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01
002944.958       53855      707167  0.184E-01
002956.958       97127     1297685  0.184E-01
003008.958      140414     1888859  0.184E-01
003020.958      184053     2480494  0.184E-01
003032.958      227025     3072739  0.183E-01
003044.958      270434     3661943  0.183E-01
003056.958      313137     4249885  0.183E-01
003108.958      357140     4841844  0.183E-01
003120.958      400480     5431321  0.183E-01
003132.958      443503     6021463  0.183E-01
003144.958      486343     6613483  0.183E-01
003156.958      529548     7206103  0.182E-01
003208.958      572597     7797023  0.183E-01
003220.958      615729     8385127  0.182E-01
003232.958      658910     8977291  0.183E-01
003244.958      702100     9567459  0.182E-01
003256.958      745647    10157987  0.182E-01
003308.958      788635    10748803  0.181E-01
003320.958      831961    11340144  0.182E-01
003332.958      875116    11931235  0.182E-01
003344.958      918497    12522101  0.181E-01
003356.958      962155    13112791  0.181E-01
003408.958     1006009    13704266  0.181E-01
003420.958     1049409    14294031  0.181E-01
003432.958     1092881    14886940  0.181E-01
003444.958     1135663    15469580  0.181E-01
003456.959     1180015    16066776  0.181E-01
003508.958     1224248    16663052  0.181E-01
003520.958     1268304    17260361  0.181E-01
003532.958     1312580    17857775  0.181E-01
003544.958     1356684    18454392  0.181E-01
003556.958     1400766    19052300  0.181E-01
003608.958     1444755    19652042  0.180E-01
003620.958     1489661    20247749  0.180E-01
003632.958     1533696    20840526  0.181E-01
003644.958     1577833    21437613  0.180E-01
003656.958     1622355    22038108  0.180E-01
003708.958     1666645    22638207  0.180E-01
003720.958     1710986    23237665  0.180E-01
003732.958     1755445    23835415  0.180E-01
003744.964     1800058    24435139  0.180E-01
003756.958     1844597    25033682  0.180E-01
003808.958     1889580    25631891  0.180E-01
003820.958     1933951    26227464  0.180E-01
003832.958     1978604    26824702  0.180E-01
003844.958     2023106    27423483  0.180E-01
003856.958     2067325    28019416  0.180E-01
003908.958     2111270    28613940  0.180E-01
003920.959     2155597    29206972  0.180E-01
003932.958     2200070    29805482  0.180E-01
003944.958     2244245    30400641  0.180E-01
003956.958     2288694    31001610  0.180E-01
004008.958     2333514    31601342  0.180E-01
004020.958     2378211    32198288  0.180E-01
004032.958     2423273    32797911  0.180E-01
004044.958     2467856    33396093  0.180E-01
004056.958     2512468    33997675  0.180E-01
004108.958     2557549    34597776  0.180E-01
004120.958     2601844    35194233  0.180E-01
004132.958     2646103    35792074  0.180E-01
004144.958     2690835    36389773  0.180E-01
004156.958     2735447    36984727  0.179E-01
004208.958     2780317    37582337  0.179E-01
004220.958     2824631    38176145  0.180E-01
004232.958     2869175    38772969  0.180E-01
004244.958     2914044    39374845  0.180E-01
004256.958     2959421    39974101  0.179E-01
004308.958     3004588    40572745  0.179E-01
004320.958     3049029    41163322  0.179E-01
004332.958     3093990    41757777  0.179E-01
004344.958     3139670    42358477  0.179E-01
004356.958     3184756    42956865  0.180E-01
004408.958     3229514    43556529  0.179E-01
004420.958     3274921    44154510  0.179E-01
004432.958     3319648    44756787  0.179E-01
004444.958     3364341    45353777  0.179E-01
004456.958     3409317    45954991  0.180E-01
004508.958     3454076    46552253  0.179E-01
004520.958     3498458    47148920  0.179E-01
004532.959     3543710    47747732  0.179E-01
004544.958     3588530    48347478  0.179E-01
004556.958     3633332    48946008  0.179E-01
004608.958     3679035    49547098  0.179E-01
004620.958     3723981    50143595  0.179E-01
004632.958     3769575    50744950  0.179E-01
004644.958     3814908    51343788  0.179E-01
004656.958     3860129    51940072  0.179E-01
004708.958     3905420    52536340  0.179E-01
004720.958     3951214    53132838  0.178E-01
004732.958     3996539    53728668  0.179E-01
004744.958     4041389    54326953  0.179E-01
004756.958     4086494    54921877  0.179E-01
004808.958     4131841    55519098  0.179E-01
004820.958     4177314    56113842  0.179E-01
004832.958     4222322    56700833  0.179E-01
004844.958     4267586    57297256  0.179E-01
004856.958     4311762    57892516  0.178E-01
004908.958     4356597    58487961  0.179E-01
004920.958     4401739    59081970  0.179E-01
004932.958     4447041    59677448  0.178E-01
004944.958     4492601    60271819  0.178E-01
004956.958     4538140    60866503  0.179E-01
005008.958     4583513    61462352  0.179E-01
005020.958     4628656    62056135  0.179E-01
005032.958     4673748    62650085  0.179E-01
005044.958     4718969    63243865  0.178E-01
005056.958     4763591    63836265  0.178E-01
005108.958     4808293    64431986  0.178E-01
005120.958     4853229    65026476  0.178E-01
005132.958     4898737    65622045  0.178E-01
005144.958     4944395    66218648  0.178E-01
005156.958     4989272    66813444  0.179E-01
005208.958     5033779    67409464  0.179E-01
005220.958     5078563    68003398  0.178E-01
005232.958     5123735    68597458  0.178E-01
005244.958     5168874    69191305  0.179E-01
005256.958     5214120    69785291  0.178E-01
005308.958     5259423    70379902  0.178E-01
005320.958     5304301    70975174  0.178E-01
005332.958     5349149    71566545  0.179E-01
005344.958     5393557    72154131  0.178E-01
005356.958     5439582    72754116  0.179E-01
005408.958     5485424    73352262  0.178E-01
005420.958     5531290    73950882  0.178E-01
005432.958     5577323    74551699  0.178E-01
005444.958     5623214    75150695  0.178E-01
005456.958     5669383    75754127  0.178E-01
005508.958     5715643    76354750  0.178E-01
005520.958     5761906    76953689  0.178E-01
005532.958     5808033    77555583  0.178E-01
005544.958     5854208    78157326  0.178E-01
005556.958     5900288    78756806  0.178E-01
005608.958     5946511    79355894  0.178E-01
005620.958     5992525    79959210  0.178E-01
005632.958     6038593    80561513  0.178E-01
005644.958     6084656    81161034  0.178E-01
005656.958     6129959    81760262  0.178E-01
005708.958     6175721    82360073  0.178E-01
005720.958     6221456    82958814  0.178E-01
005732.958     6267878    83559962  0.178E-01
005744.958     6313748    84160662  0.178E-01
005756.958     6359871    84762849  0.178E-01
005808.958     6406072    85364566  0.178E-01
005820.958     6452069    85964377  0.178E-01
005832.958     6497823    86565306  0.178E-01
005844.959     6543514    87168508  0.178E-01
005856.958     6589520    87769089  0.178E-01
005908.958     6635768    88370920  0.178E-01
005920.958     6682031    88972027  0.178E-01
005932.958     6728272    89573193  0.178E-01
005944.958     6774071    90174986  0.178E-01
005956.958     6820183    90776189  0.177E-01
010008.958     6866438    91379560  0.177E-01
010020.958     6912247    91981348  0.178E-01
010032.958     6957900    92580373  0.178E-01
010044.958     7003858    93181962  0.178E-01
010056.958     7050329    93784861  0.178E-01
010108.958     7096259    94386092  0.178E-01
010120.958     7142481    94986710  0.177E-01
010132.958     7189113    95590166  0.177E-01
010144.958     7234959    96192883  0.178E-01
010156.958     7281101    96794976  0.178E-01
010208.958     7326585    97396693  0.177E-01
010220.958     7371797    97998602  0.178E-01
010232.958     7417962    98601486  0.177E-01
010244.958     7463856    99204390  0.178E-01
010256.958     7510075    99807455  0.178E-01
010308.958     7555727   100408484  0.178E-01
010320.958     7601634   101009340  0.178E-01
010332.958     7647330   101609822  0.178E-01
010344.958     7693337   102213445  0.178E-01
010356.958     7739126   102814203  0.178E-01
010408.958     7785334   103417635  0.178E-01
010420.958     7831891   104017275  0.177E-01
010432.958     7878398   104618509  0.177E-01
010444.958     7925173   105221038  0.177E-01
010456.958     7971132   105824761  0.178E-01
010508.958     8017442   106426068  0.177E-01
010520.958     8063862   107029325  0.177E-01
010532.958     8110332   107632174  0.177E-01
010544.958     8156701   108232361  0.177E-01
010556.958     8203134   108834771  0.177E-01
010608.958     8249264   109436152  0.177E-01
010620.958     8295654   110039542  0.177E-01
010632.958     8341975   110641331  0.177E-01
010644.958     8388130   111244338  0.177E-01
010656.958     8434187   111843621  0.177E-01
010708.958     8480699   112449844  0.177E-01
010720.958     8526931   113053226  0.177E-01
010732.958     8573758   113656413  0.177E-01
010744.958     8620253   114261161  0.177E-01
010756.958     8666747   114864481  0.177E-01
