 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.311363663696234E+01 ,     0.709840860687933E+00 ,    -0.130219472001988E+01 , 
   0.49828 ,    -0.310097630117212E+01 ,     0.846804673516753E+00 ,    -0.126984551752171E+01 , 
   0.52832 ,    -0.307525180703403E+01 ,     0.926596144061130E+00 ,    -0.125101706522151E+01 , 
   0.55835 ,    -0.303841192886387E+01 ,     0.951171902439481E+00 ,    -0.124493003107281E+01 , 
   0.58838 ,    -0.299296834463651E+01 ,     0.924563264001470E+00 ,    -0.125034549575572E+01 , 
   0.61841 ,    -0.294186376528428E+01 ,     0.852638855576150E+00 ,    -0.126564877224052E+01 , 
   0.64843 ,    -0.288831477404455E+01 ,     0.742797042351111E+00 ,    -0.128894532468914E+01 , 
   0.67846 ,    -0.283563646322505E+01 ,     0.603603009042463E+00 ,    -0.131816316569217E+01 , 
   0.70848 ,    -0.278705704160611E+01 ,     0.444387497455461E+00 ,    -0.135115605314056E+01 , 
   0.73850 ,    -0.274553132038181E+01 ,     0.274825550932030E+00 ,    -0.138580208288302E+01 , 
   0.76852 ,    -0.271356232192618E+01 ,     0.104514114670990E+00 ,    -0.142009285319082E+01 , 
   0.79854 ,    -0.269304016324377E+01 ,    -0.574330203644176E-01 ,    -0.145220921628396E+01 , 
   0.82855 ,    -0.268510683309689E+01 ,    -0.202755633119196E+00 ,    -0.148058067014150E+01 , 
   0.85856 ,    -0.269005451722140E+01 ,    -0.324367503111124E+00 ,    -0.150392660899396E+01 , 
   0.88857 ,    -0.270726375940571E+01 ,    -0.416614122443936E+00 ,    -0.152127886553774E+01 , 
   0.91857 ,    -0.273518602767895E+01 ,    -0.475458093376870E+00 ,    -0.153198616310049E+01 , 
   0.94858 ,    -0.277137325364313E+01 ,    -0.498586126084070E+00 ,    -0.153570217666933E+01 , 
   0.97858 ,    -0.281255471486185E+01 ,    -0.485435264958494E+00 ,    -0.153235981142113E+01 , 
   1.00857 ,    -0.285475933406744E+01 ,    -0.437139712805008E+00 ,    -0.152213499245319E+01 , 
   1.03857 ,    -0.289347918248466E+01 ,    -0.356403216167959E+00 ,    -0.150540368210325E+01 , 
   1.06856 ,    -0.292386780939217E+01 ,    -0.247305257380001E+00 ,    -0.148269598208588E+01 , 
   1.09855 ,    -0.294096508625971E+01 ,    -0.115052122755606E+00 ,    -0.145465103640464E+01 , 
   1.12853 ,    -0.293993865445620E+01 ,     0.343138410489614E-01 ,    -0.142197604635889E+01 , 
   1.15851 ,    -0.291633089115325E+01 ,     0.194231902214903E+00 ,    -0.138541207719881E+01 , 
   1.18849 ,    -0.286629963160136E+01 ,     0.357951835747970E+00 ,    -0.134570852825450E+01 , 
   1.21846 ,    -0.278684075842161E+01 ,     0.518858240606552E+00 ,    -0.130360721720034E+01 , 
