Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
231012.194       27492      217989  0.214E-01  0.103E+01
231024.194       43144      421800  0.199E-01  0.102E+01
231036.194       59284      630227  0.190E-01  0.102E+01
231048.194       75511      838422  0.185E-01  0.102E+01
231100.194       91512     1045756  0.181E-01  0.102E+01
231112.193      109075     1270538  0.180E-01  0.102E+01
231124.193      127119     1504694  0.180E-01  0.102E+01
231136.194      144370     1728241  0.179E-01  0.102E+01
231148.193      162350     1963957  0.176E-01  0.102E+01
231200.224      180070     2194647  0.183E-01  0.109E+01
231212.193      197111     2414622  0.178E-01  0.102E+01
231224.193      214220     2636265  0.177E-01  0.102E+01
231236.193      230425     2845408  0.177E-01  0.102E+01
231248.193      246585     3057104  0.177E-01  0.102E+01
231300.194      263216     3276310  0.173E-01  0.104E+01
231312.194      280387     3502948  0.177E-01  0.102E+01
231324.193      295678     3707712  0.175E-01  0.102E+01
231336.193      311539     3915615  0.175E-01  0.102E+01
231348.193      327669     4126880  0.177E-01  0.102E+01
231400.193      342268     4320141  0.186E-01  0.106E+01
231412.194      357950     4528426  0.175E-01  0.102E+01
231424.193      372875     4727791  0.177E-01  0.102E+01
231436.216      387843     4927655  0.182E-01  0.105E+01
231448.193      403059     5131030  0.176E-01  0.102E+01
231500.193      418323     5333595  0.177E-01  0.102E+01
231512.228      432525     5521814  0.149E-01  0.862E+00
231524.193      446885     5713348  0.176E-01  0.102E+01
231536.217      462073     5914409  0.146E-01  0.852E+00
231548.193      477468     6120791  0.177E-01  0.102E+01
231600.193      492275     6321430  0.177E-01  0.102E+01
231612.193      506978     6513907  0.180E-01  0.102E+01
231624.194      520758     6697978  0.179E-01  0.102E+01
231636.199      535268     6889104  0.190E-01  0.109E+01
231648.194      549811     7081149  0.179E-01  0.102E+01
231700.193      564802     7280132  0.177E-01  0.102E+01
231712.202      579469     7480945  0.143E-01  0.797E+00
231724.222      593564     7670310  0.166E-01  0.932E+00
231736.193      608853     7874668  0.179E-01  0.102E+01
231748.193      623296     8067181  0.179E-01  0.102E+01
231800.193      636882     8249257  0.180E-01  0.102E+01
231812.194      651281     8441884  0.180E-01  0.102E+01
231824.193      666666     8647694  0.178E-01  0.102E+01
231836.193      681655     8846132  0.180E-01  0.102E+01
231848.193      696792     9049305  0.179E-01  0.102E+01
231900.193      711151     9242726  0.179E-01  0.102E+01
231912.193      725219     9433538  0.177E-01  0.102E+01
231924.201      738833     9615528  0.168E-01  0.937E+00
231936.193      753037     9808064  0.178E-01  0.102E+01
231948.193      767007     9996354  0.178E-01  0.102E+01
232000.193      781405    10190988  0.179E-01  0.102E+01
