Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.400E+03  0.100E+01
164830.508      122886      507514  0.171E-01  0.102E+01
164842.507      237224      975601  0.172E-01  0.102E+01
164854.508      332391     1363457  0.174E-01  0.102E+01
164906.508      427292     1751312  0.189E-01  0.102E+01
164918.508      521702     2139083  0.194E-01  0.102E+01
164930.508      615072     2525476  0.176E-01  0.102E+01
164942.508      708483     2908770  0.180E-01  0.102E+01
164954.508      802383     3294539  0.185E-01  0.102E+01
165006.508      896757     3678547  0.176E-01  0.102E+01
165018.508      991531     4064336  0.190E-01  0.102E+01
