 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.284948566133488E+01 ,     0.863953262405902E-01 ,    -0.126353088203121E+01 , 
   0.49828 ,    -0.286507662819933E+01 ,     0.111981599601993E+00 ,    -0.130379074550051E+01 , 
   0.52832 ,    -0.287891839336501E+01 ,     0.133323107220082E+00 ,    -0.134151965109472E+01 , 
   0.55835 ,    -0.289066532671287E+01 ,     0.150209111872462E+00 ,    -0.137609780714705E+01 , 
   0.58838 ,    -0.289998707189303E+01 ,     0.162580185667731E+00 ,    -0.140694709021005E+01 , 
   0.61841 ,    -0.290657198809359E+01 ,     0.170529450931001E+00 ,    -0.143354101290502E+01 , 
   0.64843 ,    -0.291013019199018E+01 ,     0.174299341495802E+00 ,    -0.145541416170407E+01 , 
   0.67846 ,    -0.291039615299039E+01 ,     0.174273975508690E+00 ,    -0.147217091126471E+01 , 
   0.70848 ,    -0.290713080382757E+01 ,     0.170967356624260E+00 ,    -0.148349322205184E+01 , 
   0.73850 ,    -0.290012313857742E+01 ,     0.165007739477436E+00 ,    -0.148914733293406E+01 , 
   0.76852 ,    -0.288919128109636E+01 ,     0.157118604150347E+00 ,    -0.148898917052993E+01 , 
   0.79854 ,    -0.287418301850986E+01 ,     0.148096779911254E+00 ,    -0.148296831245031E+01 , 
   0.82855 ,    -0.285497580647258E+01 ,     0.138788338114505E+00 ,    -0.147113036221736E+01 , 
   0.85856 ,    -0.283147626521553E+01 ,     0.130062935625603E+00 ,    -0.145361761934470E+01 , 
   0.88857 ,    -0.280361919759744E+01 ,     0.122787331836105E+00 ,    -0.143066795846818E+01 , 
   0.91857 ,    -0.277136617218318E+01 ,     0.117798823215398E+00 ,    -0.140261186597927E+01 , 
   0.94858 ,    -0.273470372546417E+01 ,     0.115879338984450E+00 ,    -0.136986762062842E+01 , 
   0.97858 ,    -0.269364124739876E+01 ,     0.117730920089563E+00 ,    -0.133293464518116E+01 , 
   1.00857 ,    -0.264820862317512E+01 ,     0.123953262012109E+00 ,    -0.129238509844622E+01 , 
   1.03857 ,    -0.259845371119558E+01 ,     0.135023941463937E+00 ,    -0.124885381977322E+01 , 
   1.06856 ,    -0.254443974248537E+01 ,     0.151281869610451E+00 ,    -0.120302678028921E+01 , 
   1.09855 ,    -0.248624272981457E+01 ,     0.172914422525159E+00 ,    -0.115562823552314E+01 , 
   1.12853 ,    -0.242394897560905E+01 ,     0.199948595893457E+00 ,    -0.110740681146909E+01 , 
   1.15851 ,    -0.235765276608674E+01 ,     0.232246418635877E+00 ,    -0.105912078941347E+01 , 
   1.18849 ,    -0.228745433492444E+01 ,     0.269504742406751E+00 ,    -0.101152288292225E+01 , 
   1.21846 ,    -0.221345817313622E+01 ,     0.311259404246132E+00 ,    -0.965344822281725E+00 , 
   1.24843 ,    -0.213577175279757E+01 ,     0.356893641429965E+00 ,    -0.921282076585449E+00 , 
   1.27840 ,    -0.205450472092032E+01 ,     0.405650524090589E+00 ,    -0.879979050901751E+00 , 
