Time       moves_acc moves_gen     G(r)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01
163137.681        4424       25356  0.236E-02
163149.682        5991       45393  0.153E-02
163201.683        6903       67167  0.132E-02
163213.681        8696       87707  0.136E-02
163225.681       10676      108720  0.130E-02
163237.681       11516      129767  0.113E-02
163249.681       12295      150782  0.107E-02
163301.681       12860      171804  0.994E-03
163313.681       13331      192739  0.951E-03
163325.681       13688      213481  0.920E-03
163337.681       13973      233625  0.896E-03
163349.681       14566      253917  0.906E-03
163401.681       14979      274810  0.868E-03
163413.681       15345      295726  0.836E-03
163425.681       15678      316440  0.830E-03
163437.681       15979      336782  0.810E-03
163449.681       17011      357462  0.854E-03
163501.687       17443      378341  0.813E-03
163513.681       18041      399256  0.100E-02
163525.681       19130      420184  0.844E-03
163537.681       19653      441025  0.794E-03
163549.681       21214      461911  0.858E-03
163601.687       21775      482875  0.794E-03
163613.683       23079      504258  0.963E-03
163625.681       23885      525140  0.787E-03
163637.681       24354      546061  0.750E-03
163649.681       24686      566898  0.722E-03
163701.681       24983      587784  0.704E-03
163713.681       25260      608191  0.690E-03
163725.681       26382      628828  0.853E-03
163737.682       27140      649582  0.735E-03
163749.681       27737      670077  0.712E-03
163801.681       29009      690715  0.840E-03
163813.681       30651      711387  0.852E-03
163825.681       31394      731733  0.738E-03
163837.681       31867      752237  0.687E-03
163849.680       32251      773293  0.667E-03
163901.680       32586      794500  0.646E-03
163913.681       32866      815473  0.637E-03
163925.681       33150      836072  0.631E-03
163937.682       33388      856360  0.620E-03
163949.681       34524      876085  0.773E-03
164001.682       35179      895892  0.667E-03
164013.681       36333      916341  0.706E-03
164025.681       37722      936251  0.817E-03
164037.682       38536      955828  0.679E-03
164049.681       39639      975397  0.856E-03
164101.682       40560      995762  0.683E-03
164113.682       41003     1015883  0.645E-03
164125.681       41353     1036024  0.629E-03
164137.682       42752     1055370  0.717E-03
164149.681       43339     1074100  0.653E-03
164201.681       43729     1094235  0.627E-03
164213.682       44043     1113873  0.612E-03
164225.681       44290     1133362  0.596E-03
164237.681       44514     1153480  0.590E-03
164249.681       45664     1173344  0.741E-03
164301.681       46661     1193186  0.829E-03
164313.682       48687     1213264  0.762E-03
164325.681       49430     1233361  0.665E-03
164337.681       49942     1255025  0.619E-03
164349.681       50334     1275651  0.587E-03
164401.681       50666     1296034  0.572E-03
164413.681       50923     1316228  0.565E-03
164425.681       51192     1336448  0.560E-03
164437.681       51437     1358246  0.553E-03
164449.680       51624     1378006  0.543E-03
164501.681       51815     1398159  0.547E-03
164513.682       52022     1418710  0.539E-03
164525.681       53091     1439611  0.721E-03
164537.681       54445     1460402  0.762E-03
164549.681       55223     1479842  0.626E-03
164601.681       55656     1499794  0.572E-03
164613.681       55991     1519932  0.551E-03
164625.680       57171     1540493  0.781E-03
164637.680       58787     1561065  0.627E-03
164649.681       59419     1583628  0.569E-03
164701.681       59813     1605123  0.550E-03
164713.681       60102     1624655  0.536E-03
164725.681       61308     1645052  0.595E-03
164737.681       61848     1665505  0.560E-03
164749.681       62206     1685906  0.538E-03
164801.681       62589     1706336  0.576E-03
164813.681       63958     1727093  0.571E-03
164825.681       64356     1747943  0.535E-03
164837.681       65283     1768518  0.741E-03
164849.682       66891     1789418  0.736E-03
164901.681       68608     1810305  0.701E-03
164913.682       69396     1830581  0.584E-03
164925.681       70957     1850528  0.616E-03
164937.681       72017     1871227  0.662E-03
164949.682       72776     1892086  0.551E-03
165001.681       73206     1912925  0.529E-03
165013.681       73560     1933637  0.515E-03
165025.681       74402     1954133  0.759E-03
165037.681       75340     1975012  0.551E-03
165049.682       76730     1995812  0.579E-03
165101.681       78743     2016333  0.796E-03
165113.681       80657     2037217  0.704E-03
165125.681       81393     2058144  0.605E-03
165137.681       82000     2078620  0.688E-03
165149.681       84096     2099207  0.762E-03
165201.681       85077     2119981  0.608E-03
165213.681       86740     2140436  0.639E-03
165225.687       87365     2161060  0.575E-03
165237.682       87844     2182000  0.500E-03
165249.681       88168     2202511  0.525E-03
165301.681       88409     2223437  0.517E-03
165313.681       88669     2244414  0.516E-03
165325.681       88922     2265367  0.491E-03
165337.681       89125     2286085  0.493E-03
165349.681       89278     2306994  0.491E-03
165401.680       90871     2334512  0.529E-03
165413.680       92593     2362539  0.551E-03
165425.680       94869     2389548  0.742E-03
165437.680       96689     2417355  0.664E-03
165449.680       97511     2438447  0.550E-03
165501.681       98878     2459163  0.649E-03
165513.680      100557     2479952  0.624E-03
165525.683      101229     2500995  0.558E-03
165537.681      101739     2521551  0.530E-03
165549.681      102064     2542442  0.511E-03
165601.682      102322     2563341  0.503E-03
165613.681      102593     2584107  0.494E-03
165625.681      102824     2605121  0.488E-03
165637.681      104028     2627549  0.584E-03
165649.681      105423     2650379  0.676E-03
165701.681      106322     2671407  0.520E-03
165713.681      107626     2692459  0.588E-03
165725.681      108383     2713487  0.502E-03
165737.681      109786     2733702  0.580E-03
165749.681      110405     2754415  0.502E-03
165801.681      110857     2777147  0.472E-03
165813.682      113322     2800414  0.591E-03
165825.681      114197     2824482  0.505E-03
165837.681      115303     2846220  0.625E-03
165849.681      116382     2867003  0.633E-03
165901.681      118477     2887758  0.629E-03
165913.681      120868     2908659  0.675E-03
165925.683      122716     2929582  0.596E-03
165937.681      123414     2950510  0.519E-03
165949.681      123894     2971476  0.480E-03
170001.681      124252     2992228  0.463E-03
170013.681      124564     3012542  0.454E-03
170025.681      125968     3033045  0.512E-03
170037.681      126514     3053434  0.469E-03
170049.681      127717     3074307  0.602E-03
170101.681      128556     3095231  0.498E-03
170113.681      129034     3116170  0.458E-03
170125.681      130477     3137084  0.515E-03
