Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
151738.069        1267      179614  0.663E-01  0.101E+01
151750.069        2023      333845  0.630E-01  0.101E+01
151802.069        3113      504586  0.595E-01  0.101E+01
151814.069        4145      681279  0.561E-01  0.101E+01
151826.069        5188      835100  0.531E-01  0.101E+01
151838.069        6156      992178  0.519E-01  0.101E+01
151850.069        7304     1167392  0.508E-01  0.101E+01
151902.069        8583     1342575  0.478E-01  0.101E+01
151914.069       10455     1513454  0.417E-01  0.101E+01
151926.069       11584     1680611  0.399E-01  0.101E+01
151938.069       12798     1856559  0.358E-01  0.101E+01
151950.069       13892     2033435  0.338E-01  0.101E+01
152002.069       14715     2206426  0.319E-01  0.101E+01
152014.069       15926     2358779  0.322E-01  0.101E+01
152026.069       16899     2509070  0.306E-01  0.101E+01
152038.069       18013     2667808  0.296E-01  0.101E+01
152050.070       19689     2836000  0.226E-01  0.182E+01
152102.069       20997     3007946  0.283E-01  0.101E+01
152114.069       22576     3182608  0.273E-01  0.101E+01
152126.069       24098     3359653  0.274E-01  0.101E+01
152138.069       25595     3535981  0.265E-01  0.101E+01
152150.069       27467     3709413  0.271E-01  0.101E+01
152202.069       29385     3876951  0.257E-01  0.101E+01
152214.069       30938     4052696  0.243E-01  0.101E+01
152226.069       32670     4224796  0.237E-01  0.101E+01
152238.069       34323     4393058  0.231E-01  0.101E+01
152250.069       36269     4562908  0.220E-01  0.101E+01
152302.069       38543     4733276  0.213E-01  0.101E+01
152314.069       41393     4908296  0.212E-01  0.101E+01
152326.069       44033     5083896  0.215E-01  0.101E+01
152338.069       46724     5258618  0.209E-01  0.101E+01
152350.069       49473     5433481  0.201E-01  0.101E+01
152402.069       51952     5608528  0.194E-01  0.101E+01
152414.069       55666     5783781  0.211E-01  0.101E+01
152426.069       58431     5960331  0.185E-01  0.101E+01
152438.071       60709     6136704  0.181E-01  0.101E+01
152450.069       63577     6312055  0.179E-01  0.101E+01
152502.069       67078     6487422  0.174E-01  0.101E+01
152514.069       71013     6661656  0.166E-01  0.101E+01
152526.069       73696     6836815  0.165E-01  0.101E+01
152538.069       77194     7011819  0.157E-01  0.101E+01
152550.069       80547     7186549  0.151E-01  0.101E+01
152602.069       83232     7362363  0.149E-01  0.101E+01
152614.069       86002     7537624  0.146E-01  0.101E+01
152626.069       88955     7713729  0.148E-01  0.101E+01
152638.069       92024     7889864  0.145E-01  0.101E+01
152650.069       94764     8065381  0.156E-01  0.101E+01
152702.069       98739     8241831  0.151E-01  0.101E+01
152714.069      102702     8422242  0.146E-01  0.101E+01
152726.069      105660     8598283  0.146E-01  0.101E+01
