 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.237298562681605E+01 ,     0.435528674587279E+00 ,    -0.152283795626478E+01 , 
   0.49828 ,    -0.236544070080509E+01 ,     0.434023572696406E+00 ,    -0.147790457355263E+01 , 
   0.52832 ,    -0.238419514845889E+01 ,     0.406409513614295E+00 ,    -0.142575900337306E+01 , 
   0.55835 ,    -0.242413488889623E+01 ,     0.356640575786617E+00 ,    -0.137130613259814E+01 , 
   0.58838 ,    -0.247916036207958E+01 ,     0.289907925797598E+00 ,    -0.131928479876202E+01 , 
   0.61841 ,    -0.254258245430816E+01 ,     0.212317391167326E+00 ,    -0.127389527331689E+01 , 
   0.64843 ,    -0.260754645391912E+01 ,     0.130495664360102E+00 ,    -0.123848213385312E+01 , 
   0.67846 ,    -0.266745812273502E+01 ,     0.511496798390778E-01 ,    -0.121529678344806E+01 , 
   0.70848 ,    -0.271638569576889E+01 ,    -0.193909236965563E-01 ,    -0.120535691432280E+01 , 
   0.73850 ,    -0.274941292721273E+01 ,    -0.756150586372531E-01 ,    -0.120841193340033E+01 , 
   0.76852 ,    -0.276292114138421E+01 ,    -0.113221229974205E+00 ,    -0.122301446760291E+01 , 
   0.79854 ,    -0.275478248710474E+01 ,    -0.129426508517453E+00 ,    -0.124668929084385E+01 , 
   0.82855 ,    -0.272445200882998E+01 ,    -0.123166484035386E+00 ,    -0.127618309019419E+01 , 
   0.85856 ,    -0.267295243536412E+01 ,    -0.951667272768955E-01 ,    -0.130777206617468E+01 , 
   0.88857 ,    -0.260275238146667E+01 ,    -0.478758461639335E-01 ,    -0.133759996128692E+01 , 
   0.91857 ,    -0.251754554962727E+01 ,     0.147388706635184E-01 ,    -0.136201707807636E+01 , 
   0.94858 ,    -0.242194507871834E+01 ,     0.875208593829411E-01 ,    -0.137789132815868E+01 , 
   0.97858 ,    -0.232111298828798E+01 ,     0.164555518121062E+00 ,    -0.138286527934280E+01 , 
   1.00857 ,    -0.222034931906472E+01 ,     0.239670702276411E+00 ,    -0.137553826639318E+01 , 
   1.03857 ,    -0.212466873719380E+01 ,     0.306966939374003E+00 ,    -0.135555944788725E+01 , 
   1.06856 ,    -0.203839379945192E+01 ,     0.361333967181287E+00 ,    -0.132362563075075E+01 , 
   1.09855 ,    -0.196479361914771E+01 ,     0.398909916386832E+00 ,    -0.128138605808704E+01 , 
   1.12853 ,    -0.190579429439929E+01 ,     0.417442916925989E+00 ,    -0.123126444509239E+01 , 
   1.15851 ,    -0.186178325328956E+01 ,     0.416521940855892E+00 ,    -0.117621566103679E+01 , 
   1.18849 ,    -0.183152384969346E+01 ,     0.397653814268851E+00 ,    -0.111943998846661E+01 , 
   1.21846 ,    -0.181218944089291E+01 ,     0.364175753256905E+00 ,    -0.106408137796452E+01 , 
   1.24843 ,    -0.179951822413367E+01 ,     0.321006490691188E+00 ,    -0.101293726913215E+01 , 
   1.27840 ,    -0.178808180946521E+01 ,     0.274252901812673E+00 ,    -0.968206278220521E+00 , 
   1.30836 ,    -0.177165240989558E+01 ,     0.230701802251454E+00 ,    -0.931296480312156E+00 , 
   1.33832 ,    -0.174364619486764E+01 ,     0.197237139198461E+00 ,    -0.902711456685692E+00 , 
   1.36827 ,    -0.169761430758542E+01 ,     0.180230148907129E+00 ,    -0.882024223238054E+00 , 
   1.39822 ,    -0.162774875170152E+01 ,     0.184953493963494E+00 ,    -0.867941218746264E+00 , 
   1.42817 ,    -0.152936816684804E+01 ,     0.215069533235992E+00 ,    -0.858450402673558E+00 , 
   1.45811 ,    -0.139934866207598E+01 ,     0.272237698381324E+00 ,    -0.851039897724685E+00 , 
   1.48805 ,    -0.123646743456458E+01 ,     0.355876815517627E+00 ,    -0.842967174882356E+00 , 
   1.51798 ,    -0.104163177589360E+01 ,     0.463105836343815E+00 ,    -0.831554080016241E+00 , 
   1.54791 ,    -0.817973002102949E+00 ,     0.588871844016094E+00 ,    -0.814480454552593E+00 , 
   1.57783 ,    -0.570793425052757E+00 ,     0.726258601825717E+00 ,    -0.790048937411199E+00 , 
   1.60775 ,    -0.307364168786535E+00 ,     0.866953649671890E+00 ,    -0.757395777116080E+00 , 
   1.63766 ,    -0.365817861198378E-01 ,     0.100183834644753E+01 ,    -0.716626951274206E+00 , 
   1.66757 ,     0.231498446969446E+00 ,     0.112165449987994E+01 ,    -0.668865214091439E+00 , 
   1.69747 ,     0.486225689882436E+00 ,     0.121769427820857E+01 ,    -0.616201340080460E+00 , 
   1.72737 ,     0.716978876747097E+00 ,     0.128245759717541E+01 ,    -0.561551157430275E+00 , 
   1.75726 ,     0.913814716193911E+00 ,     0.131022337641875E+01 ,    -0.508428260978648E+00 , 
   1.78715 ,     0.106809616684983E+01 ,     0.129748780948810E+01 ,    -0.460649854842259E+00 , 
