 Q (1/Ang),Si-Si,Si-O ,O-O  
   0.20000 ,    -0.234510600187591E+01 ,     0.160090353614474E+01 ,     0.315020215911866E+01 , 
   0.40000 ,    -0.267573630867427E+01 ,     0.556609320950352E+00 ,     0.272030670418906E+01 , 
   0.60000 ,    -0.262789697471587E+01 ,    -0.423201048655033E-01 ,    -0.926681571445123E+00 , 
   0.80000 ,    -0.238747818361668E+01 ,     0.953753271679778E-01 ,    -0.940069200398660E+00 , 
   1.00000 ,    -0.214469698449874E+01 ,     0.292515880678593E+00 ,    -0.896016654578214E+00 , 
   1.20000 ,    -0.164040508058862E+01 ,     0.550476792541921E+00 ,    -0.612933343713001E+00 , 
   1.40000 ,    -0.101179852622779E+01 ,     0.931665868414918E+00 ,    -0.208877966610299E+00 , 
   1.60000 ,    -0.700337292486113E+00 ,     0.112447608532065E+01 ,    -0.167258091917442E+00 , 
   1.80000 ,    -0.720063109678697E+00 ,     0.708227694221063E+00 ,    -0.587073618984457E+00 , 
   2.00000 ,     0.409626755762301E+00 ,     0.197469826277712E+00 ,    -0.902696686463656E+00 , 
   2.20000 ,     0.778217559595917E+00 ,    -0.292354379994647E+00 ,    -0.800018881908588E+00 , 
   2.40000 ,     0.867114238238154E+00 ,    -0.703133035941942E+00 ,    -0.541702254004729E+00 , 
   2.60000 ,     0.792986585520825E+00 ,    -0.107244173946153E+01 ,     0.166039668820371E-01 , 
   2.80000 ,     0.720883508855053E+00 ,    -0.111693181219115E+01 ,     0.784256428277907E+00 , 
   3.00000 ,     0.107287904021368E+00 ,    -0.697813159431271E+00 ,     0.827537378645758E+00 , 
   3.20000 ,    -0.643228932485690E+00 ,    -0.385308302612807E+00 ,     0.434808998685678E+00 , 
   3.40000 ,    -0.955826095023874E+00 ,    -0.128558055159577E+00 ,     0.885729792366225E-01 , 
   3.60000 ,    -0.653377871970327E+00 ,    -0.279028456453701E+00 ,     0.699198567913967E-02 , 
   3.80000 ,    -0.589968414454967E+00 ,    -0.103909490654909E+00 ,    -0.203951013556041E+00 , 
   4.00000 ,    -0.312977644486908E+00 ,     0.219291815295611E-01 ,    -0.341660515407950E+00 , 
   4.20000 ,     0.316260994654061E+00 ,     0.628803278164943E-01 ,    -0.427628822655686E+00 , 
   4.40000 ,     0.400889593524388E+00 ,     0.939191322399807E-01 ,    -0.371491351359312E+00 , 
   4.60000 ,     0.235145431442600E+00 ,     0.249517261927162E+00 ,    -0.316252614150715E+00 , 
   4.80000 ,     0.294716194763970E-01 ,     0.429502108459768E+00 ,    -0.198597726556235E+00 , 
   5.00000 ,    -0.402400796631433E-01 ,     0.475303749419200E+00 ,     0.100206634781271E+00 , 
   5.20000 ,    -0.358617758961022E-02 ,     0.600111283039828E+00 ,     0.475612910861491E+00 , 
   5.40000 ,    -0.118374672697627E+00 ,     0.670059722688582E+00 ,     0.668559484309091E+00 , 
   5.60000 ,    -0.190974665141172E+00 ,     0.365328331276113E+00 ,     0.455754276254908E+00 , 
   5.80000 ,    -0.179994064160642E+00 ,     0.103416802192187E-01 ,     0.146180089245451E+00 , 
   6.00000 ,    -0.478642396365426E-01 ,    -0.182584544249126E+00 ,    -0.676058504413093E-01 , 
   6.20000 ,     0.160531294432194E-01 ,    -0.347826050421319E+00 ,    -0.142790336661803E+00 , 
   6.40000 ,     0.253654823695366E+00 ,    -0.397712189521172E+00 ,    -0.224935840398419E+00 , 
   6.60000 ,     0.289577730399473E+00 ,    -0.442269855935214E+00 ,    -0.228322237182610E+00 , 
   6.80000 ,     0.249534398891424E+00 ,    -0.440106073685339E+00 ,    -0.237836401525447E+00 , 
   7.00000 ,     0.472674055306931E-01 ,    -0.372772406865505E+00 ,    -0.233518069483613E+00 , 
   7.20000 ,    -0.107094634954884E+00 ,    -0.314935079521449E+00 ,    -0.152514335335895E+00 , 
   7.40000 ,    -0.163966485252836E+00 ,    -0.187047158492764E+00 ,    -0.572676796976001E-01 , 
   7.60000 ,    -0.158052496631928E+00 ,    -0.557761216169798E-01 ,     0.540147677184874E-01 , 
   7.80000 ,    -0.142560526979980E+00 ,     0.793446000120606E-01 ,     0.210838202702010E+00 , 
   8.00000 ,    -0.101704707837043E+00 ,     0.213661737460601E+00 ,     0.243697362497602E+00 , 
   8.20000 ,    -0.910748399467692E-02 ,     0.255253077779235E+00 ,     0.177481977044429E+00 , 
