Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
145420.290      974020     1203134
145432.288     1817755     2242886
145444.288     2682183     3305492
145456.288     3563551     4394528
145508.288     4450512     5487901
145520.288     5330249     6575339
145532.288     6209509     7660711
145544.288     7077964     8734726
145556.288     7967957     9833398
145608.288     8853670    10929031
145620.288     9740856    12026231
145632.288    10628932    13123763
145644.288    11507135    14205742
145656.288    12394399    15296787
145708.288    13282456    16389503
145720.288    14170128    17487012
145732.288    15052994    18575953
145744.288    15938585    19669168
145756.288    16818547    20754475
145808.288    17695284    21838336
145820.288    18581896    22930322
145832.288    19470052    24025158
145844.288    20351312    25115688
145856.288    21239149    26210871
145908.288    22113159    27286166
145920.288    22832201    28174237
145932.288    23586824    29107983
145944.288    24455315    30177793
145956.288    25342266    31270388
150008.288    26207457    32339541
150020.288    27073950    33408894
150032.288    27968091    34511775
150044.288    28860722    35612832
150056.288    29742599    36701323
150108.288    30633514    37798194
150120.288    31525851    38901370
150132.288    32422260    40004539
150144.288    33310436    41101373
150156.288    34204585    42205715
150208.288    35093433    43309040
150220.288    35987205    44411801
150232.288    36877792    45513576
150244.288    37767903    46614828
150256.288    38665739    47721490
150308.288    39557200    48821079
150320.288    40447636    49918641
150332.288    41337753    51017765
150344.288    42221803    52111266
150356.288    43113458    53214086
150408.288    44007775    54315729
