Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
161337.535        3849       23101  0.334E+00  0.253E+00
161349.535        5850       43239  0.334E+00  0.246E+00
161401.541        7641       63341  0.334E+00  0.241E+00
161413.535        9340       82779  0.334E+00  0.236E+00
161425.528       11360      106429  0.333E+00  0.230E+00
161437.535       13396      128947  0.334E+00  0.224E+00
161449.534       15153      149070  0.334E+00  0.219E+00
161501.535       16835      168683  0.334E+00  0.215E+00
161513.535       18556      188854  0.334E+00  0.210E+00
161525.547       19972      208259  0.334E+00  0.206E+00
161537.533       21967      228370  0.335E+00  0.203E+00
161549.537       23633      248985  0.335E+00  0.198E+00
161601.534       25291      268747  0.335E+00  0.193E+00
161613.534       27586      288623  0.337E+00  0.191E+00
161625.531       29364      308703  0.338E+00  0.186E+00
161637.528       31649      334954  0.337E+00  0.180E+00
161649.536       34667      361838  0.340E+00  0.177E+00
161701.537       36629      382347  0.340E+00  0.172E+00
161713.536       38565      404306  0.339E+00  0.167E+00
161725.534       40302      423743  0.339E+00  0.163E+00
161737.545       42526      449717  0.339E+00  0.158E+00
161749.532       44711      475643  0.339E+00  0.153E+00
161801.530       46769      501597  0.340E+00  0.148E+00
161813.533       48855      527198  0.340E+00  0.144E+00
161825.534       50702      550153  0.340E+00  0.140E+00
161837.533       52266      570687  0.340E+00  0.137E+00
161849.539       53790      590172  0.340E+00  0.133E+00
161901.553       55401      610315  0.340E+00  0.130E+00
161913.529       57752      635755  0.341E+00  0.128E+00
161925.530       59780      661465  0.341E+00  0.124E+00
161937.537       61769      686537  0.342E+00  0.120E+00
161949.532       63735      712176  0.342E+00  0.116E+00
162001.530       65668      737691  0.342E+00  0.112E+00
162013.543       67610      763082  0.342E+00  0.109E+00
162025.533       69227      784102  0.343E+00  0.106E+00
162037.537       70717      803563  0.343E+00  0.103E+00
162049.538       72093      822472  0.343E+00  0.101E+00
162101.534       73579      841825  0.343E+00  0.981E-01
162113.529       75432      867657  0.343E+00  0.950E-01
162125.529       77338      893238  0.343E+00  0.919E-01
162137.530       79166      918700  0.343E+00  0.889E-01
162149.535       81697      944313  0.346E+00  0.877E-01
162201.547       83609      969540  0.346E+00  0.847E-01
162213.537       85068      988704  0.346E+00  0.823E-01
162225.537       86511     1008205  0.346E+00  0.803E-01
162237.535       88435     1027639  0.348E+00  0.794E-01
162249.534       90105     1047952  0.348E+00  0.775E-01
162301.536       92265     1070083  0.349E+00  0.750E-01
162313.533       93961     1090809  0.348E+00  0.726E-01
162325.534       95493     1111625  0.349E+00  0.704E-01
162337.542       97108     1132448  0.349E+00  0.683E-01
162349.534       98616     1153257  0.349E+00  0.663E-01
162401.529      100591     1180600  0.349E+00  0.638E-01
162413.530      102555     1207917  0.348E+00  0.615E-01
162425.529      104504     1235278  0.349E+00  0.591E-01
162437.529      106868     1262659  0.350E+00  0.574E-01
162449.529      108881     1289963  0.349E+00  0.552E-01
162501.529      110809     1317278  0.350E+00  0.531E-01
162513.529      112701     1344519  0.350E+00  0.511E-01
162525.542      114080     1365337  0.350E+00  0.496E-01
162537.530      115899     1392702  0.350E+00  0.475E-01
162549.529      117737     1420071  0.350E+00  0.456E-01
162601.529      119546     1447465  0.350E+00  0.438E-01
162613.529      121336     1474785  0.350E+00  0.421E-01
162625.529      123070     1502145  0.351E+00  0.404E-01
162637.529      124879     1529556  0.351E+00  0.390E-01
162649.529      126621     1556874  0.351E+00  0.373E-01
162701.529      129129     1584219  0.353E+00  0.370E-01
162713.529      131076     1611541  0.353E+00  0.353E-01
162725.528      132825     1638799  0.353E+00  0.337E-01
162737.529      135364     1666191  0.355E+00  0.332E-01
162749.531      137347     1693106  0.355E+00  0.316E-01
162801.537      139233     1720357  0.355E+00  0.302E-01
162813.529      141105     1747575  0.354E+00  0.287E-01
162825.529      142892     1774914  0.354E+00  0.274E-01
162837.529      144720     1802260  0.354E+00  0.261E-01
162849.529      146489     1829590  0.354E+00  0.248E-01
162901.529      148088     1856912  0.354E+00  0.237E-01
162913.529      149737     1884237  0.354E+00  0.226E-01
162925.529      151981     1911635  0.356E+00  0.219E-01
162937.530      153788     1938931  0.356E+00  0.208E-01
162949.538      155997     1966249  0.357E+00  0.201E-01
163001.529      157811     1993595  0.357E+00  0.190E-01
163013.529      159592     2020926  0.357E+00  0.180E-01
163025.537      162122     2048313  0.359E+00  0.178E-01
163037.528      163985     2075811  0.359E+00  0.168E-01
163049.529      165764     2103191  0.358E+00  0.159E-01
163101.530      167789     2130702  0.358E+00  0.151E-01
163113.529      169528     2158060  0.358E+00  0.143E-01
163125.533      171110     2183161  0.358E+00  0.136E-01
163137.529      172755     2208517  0.358E+00  0.128E-01
163149.528      174451     2235804  0.358E+00  0.122E-01
163201.536      175846     2258991  0.358E+00  0.116E-01
163213.536      177329     2284235  0.358E+00  0.110E-01
163225.537      178792     2311506  0.358E+00  0.104E-01
163237.529      180369     2339027  0.358E+00  0.970E-02
163249.529      181913     2366714  0.358E+00  0.917E-02
163301.528      183492     2394451  0.358E+00  0.860E-02
163313.528      185469     2422162  0.360E+00  0.825E-02
163325.531      187088     2449415  0.360E+00  0.772E-02
163337.528      188772     2477121  0.359E+00  0.718E-02
163349.529      190398     2504806  0.359E+00  0.660E-02
163401.530      192479     2532453  0.361E+00  0.645E-02
163413.529      194319     2560153  0.362E+00  0.602E-02
163425.529      196038     2587928  0.361E+00  0.553E-02
163437.528      197673     2615729  0.361E+00  0.511E-02
163449.528      199189     2643483  0.361E+00  0.472E-02
163501.528      200765     2671179  0.361E+00  0.431E-02
163513.528      202301     2698955  0.361E+00  0.402E-02
163525.528      203904     2726669  0.361E+00  0.378E-02
163537.529      205830     2754442  0.362E+00  0.355E-02
163549.528      207876     2782213  0.363E+00  0.342E-02
163601.530      209601     2809900  0.362E+00  0.305E-02
163613.528      211794     2837699  0.364E+00  0.295E-02
163625.527      213525     2866001  0.363E+00  0.262E-02
163637.527      215251     2894447  0.363E+00  0.230E-02
