Time       moves_acc moves_gen     G(r)_1     S(Q)_1     Bragg
h/m/s/.th    WEIGHT PARAMETERS   0.400E+03  0.100E+05  0.100E+05
104003.452        1008        3555  0.366E-01  0.120E-01  0.345E-04
104015.452        2436        8399  0.300E-01  0.117E-01  0.338E-04
104027.452        3744       12865  0.312E-01  0.118E-01  0.344E-04
104039.454        4900       17226  0.348E-01  0.116E-01  0.348E-04
104051.451        6092       21604  0.308E-01  0.112E-01  0.342E-04
104103.451        7317       25968  0.294E-01  0.111E-01  0.347E-04
104115.454        8615       30439  0.303E-01  0.114E-01  0.343E-04
104127.453        9983       35147  0.343E-01  0.116E-01  0.331E-04
104139.454       11150       39104  0.315E-01  0.118E-01  0.356E-04
104151.453       12415       43531  0.286E-01  0.110E-01  0.352E-04
104203.453       13655       47933  0.319E-01  0.113E-01  0.335E-04
104215.453       14908       52293  0.284E-01  0.113E-01  0.350E-04
104227.453       16159       56683  0.295E-01  0.113E-01  0.346E-04
104239.454       17408       61082  0.320E-01  0.114E-01  0.344E-04
104251.454       18656       65501  0.304E-01  0.105E-01  0.339E-04
104303.453       19898       69880  0.325E-01  0.111E-01  0.339E-04
104315.453       21103       74266  0.330E-01  0.108E-01  0.342E-04
104327.454       22355       78664  0.292E-01  0.111E-01  0.340E-04
104339.455       23255       81726  0.275E-01  0.108E-01  0.331E-04
104351.454       24143       84785  0.300E-01  0.111E-01  0.332E-04
104403.453       25325       89138  0.320E-01  0.111E-01  0.347E-04
104415.459       26607       93555  0.333E-01  0.110E-01  0.347E-04
104427.452       27487       96621  0.290E-01  0.110E-01  0.341E-04
104439.454       28434       99706  0.343E-01  0.107E-01  0.339E-04
104451.456       29308      102748  0.277E-01  0.104E-01  0.344E-04
104503.455       30129      105740  0.319E-01  0.102E-01  0.337E-04
104515.451       31300      110108  0.332E-01  0.111E-01  0.347E-04
104527.455       32555      114545  0.312E-01  0.112E-01  0.344E-04
104539.451       33770      118900  0.358E-01  0.111E-01  0.350E-04
104551.452       34987      123252  0.305E-01  0.104E-01  0.344E-04
104603.454       35872      126293  0.282E-01  0.104E-01  0.329E-04
104615.453       36762      129322  0.314E-01  0.104E-01  0.346E-04
104627.451       38186      134136  0.339E-01  0.105E-01  0.353E-04
104639.452       39568      138900  0.338E-01  0.109E-01  0.341E-04
104651.453       40918      143628  0.275E-01  0.110E-01  0.333E-04
104703.454       42307      148370  0.301E-01  0.109E-01  0.333E-04
104715.455       43584      152801  0.331E-01  0.107E-01  0.331E-04
104727.452       44796      157192  0.309E-01  0.110E-01  0.347E-04
104739.452       46096      161600  0.289E-01  0.106E-01  0.341E-04
104751.454       47359      165967  0.308E-01  0.105E-01  0.343E-04
104803.454       48620      170397  0.311E-01  0.109E-01  0.342E-04
104815.452       49795      174755  0.320E-01  0.110E-01  0.333E-04
104827.454       51021      179136  0.338E-01  0.109E-01  0.334E-04
104839.451       52316      183547  0.321E-01  0.108E-01  0.327E-04
104851.453       53588      187950  0.312E-01  0.107E-01  0.335E-04
104903.451       54874      192351  0.322E-01  0.101E-01  0.332E-04
104915.453       56148      196736  0.300E-01  0.109E-01  0.333E-04
104927.451       57418      201121  0.304E-01  0.106E-01  0.346E-04
104939.452       58658      205502  0.350E-01  0.109E-01  0.342E-04
104951.452       59918      209905  0.335E-01  0.109E-01  0.337E-04
